n_estimators,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
1033,0.6518623430443788,0.8481133462219039,0.3466497251322477,0.33032000679059503,0.34750000000000003,0.3395841663334666,0.3410134745640773
428,0.5265713662469859,0.7645589929414495,0.47261383673892754,0.33030727442492147,0.35,0.36809276289484205,0.38025346851467273
1483,0.03893128144020108,0.610509662529478,0.49355461051758115,0.37987012987012986,0.36,0.3803078768492603,0.4034331543092428
20,0.6437457318216058,0.9412524192640591,0.3253728866300176,0.325103980986334,0.34562499999999996,0.3338264694122351,0.33248208425714665
915,0.25578431348970854,0.2336588274945166,0.4919468934757806,0.46344962227315173,0.37249999999999994,0.3745701719312275,0.42561667192004
1436,0.28830392153974893,0.2365938685283856,0.49226532517373717,0.4673372379254732,0.3775,0.38927095828335334,0.43159338034564093
1505,0.18519315005934045,0.26001074224121346,0.49323825329322685,0.4719081572022749,0.36875,0.3803145408503265,0.4285527378364571
1414,0.6564183222770255,0.5282401146831346,0.4845327248210767,0.4034122740005093,0.3625,0.3867986138877782,0.40931090317734103
1427,0.8257258030523548,0.521177311679644,0.47551291359817444,0.3935913759443171,0.35875,0.3827269092363055,0.40264529969469925
200,0.07900519677196105,0.36889297555193534,0.49387926563634477,0.4412910618792972,0.379375,0.3811142209782753,0.42391488712347936
729,0.045422561458058675,0.06442274276569449,0.4932320298724199,0.48955521602580426,0.375,0.38113421298147404,0.43473036471992454
800,0.14622640945148213,0.5261188849448312,0.4916222383570169,0.39227145403615993,0.368125,0.38437958150073304,0.4090995684734775
961,0.021234709080471315,0.5061310426118862,0.4945233896898662,0.4053391053391054,0.36812500000000004,0.3859856057576969,0.4134932751966671
