,n_estimators,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
30,729.0,0.00959697299999851,0.06442274276569449,0.49548698267814545,0.48824378236142946,0.37937499999999996,0.3762161801945888,0.43483048630854093
31,729.0,0.9645661849646316,0.06442274276569449,0.47389171247795875,0.412541380188439,0.35812499999999997,0.3851725976276156,0.40743267257350335
32,729.0,0.6070561891209897,0.06442274276569449,0.4842153303599212,0.427548595195654,0.36,0.37701586032253764,0.41219494646952826
33,729.0,0.4851265695933137,0.06442274276569449,0.4874369878643294,0.4464858670741023,0.36875,0.37385045981607357,0.4191308286886264
34,729.0,0.906731296290077,0.06442274276569449,0.4722850326729593,0.4131949749596808,0.35500000000000004,0.3909436225509796,0.40785590754590495
35,729.0,0.2791544324952797,0.06442274276569449,0.48968779172285026,0.4614803497156438,0.374375,0.3843595894975343,0.42747568273400705
36,729.0,0.4833784564669479,0.06442274276569449,0.4874307644435225,0.442530345471522,0.36375,0.3794882047181128,0.4182998286582893
37,729.0,0.7328284250914986,0.06442274276569449,0.48001867026242084,0.4275146422205246,0.35687499999999994,0.38359322937491674,0.4120003854644655
38,729.0,0.8310036729654976,0.06442274276569449,0.4742267399647339,0.40992275698158054,0.36124999999999996,0.38115420498467284,0.40663842548274676
39,729.0,0.4481033697933454,0.06442274276569449,0.4874318016803236,0.43997113997114,0.361875,0.3884712781554045,0.419437304951717
40,729.0,0.877054850254178,0.06442274276569449,0.4758334197697335,0.4099057804940157,0.355625,0.3835732373717179,0.40623435940886676
41,729.0,0.13702787610767508,0.06442274276569449,0.49323825329322685,0.48042610983787454,0.38249999999999995,0.37459016393442623,0.4326886317663819
42,729.0,0.6708519405378703,0.06442274276569449,0.4832538118452443,0.42230710466004584,0.358125,0.3803078768492603,0.4109984483386376
43,729.0,0.8865954098263308,0.06442274276569449,0.47327248210766515,0.4177574059927001,0.353125,0.39010395841663337,0.4085647116292497
44,729.0,0.6461328241514072,0.06442274276569449,0.4806648687895446,0.4249342161106867,0.35375000000000006,0.37617619618819137,0.40888132027210566
45,729.0,0.025332694194698302,0.06442274276569449,0.4967773052587906,0.4902088107970461,0.38062500000000005,0.379494868719179,0.4367764961937539
46,729.0,0.6235114008637425,0.06442274276569449,0.485509801887771,0.4249766573295985,0.356875,0.3852059176329468,0.41314184421257905
47,729.0,0.08500288805540968,0.06442274276569449,0.49548905715174774,0.48431372549019613,0.3725,0.374610155937625,0.4317282346448922
48,729.0,0.40212404599493734,0.06442274276569449,0.48775438232548496,0.4425218572277395,0.375625,0.3811475409836066,0.42176219513420776
49,729.0,0.559469423234673,0.06442274276569449,0.4858251218753241,0.4288345641286818,0.36312500000000003,0.3827668932427029,0.41513789481167723
