,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,min_samples_split_tunability
60,0.0096112439578502,26,21,43,1.0,0.8342447026657552,0.6975,0.7424378635642518,0.8185456415575019
61,0.0096112439578502,26,21,40,1.0,0.8497265892002733,0.7175,0.7443416181914331,0.8278920518479266
62,0.0096112439578502,26,21,40,1.0,0.875991114149009,0.6900000000000001,0.7459545214172396,0.827986408891562
63,0.0096112439578502,26,21,60,1.0,0.780639097744361,0.7137499999999999,0.7376255949233209,0.8080036731669205
64,0.0096112439578502,26,21,27,1.0,0.857775119617225,0.6950000000000001,0.7558434690639874,0.8271546471703031
65,0.0096112439578502,26,21,30,1.0,0.8418660287081339,0.6975,0.7377842411422526,0.8192875674625966
66,0.0096112439578502,26,21,23,1.0,0.8042207792207792,0.70375,0.7652829190904283,0.8183134245778019
67,0.0096112439578502,26,21,50,1.0,0.7873034859876965,0.68125,0.7685880486515071,0.8092853836598008
68,0.0096112439578502,26,21,34,1.0,0.8432159945317839,0.6825000000000001,0.7521946060285564,0.8194776501400851
69,0.0096112439578502,26,21,43,1.0,0.8601332877648667,0.6925000000000001,0.7360655737704918,0.8221747153838397
70,0.0096112439578502,26,21,49,1.0,0.8199248120300752,0.6887500000000001,0.7541512427287149,0.8157065136896975
71,0.0096112439578502,26,21,49,1.0,0.8213431305536568,0.6624999999999999,0.7524061343204653,0.8090623162185306
72,0.0096112439578502,26,21,10,1.0,0.8693438140806563,0.70875,0.7264145954521416,0.8261271023831994
73,0.0096112439578502,26,21,36,1.0,0.8329460013670541,0.6950000000000001,0.7735589635113695,0.825376241219606
74,0.0096112439578502,26,21,10,1.0,0.8330656185919345,0.6900000000000002,0.7230830248545743,0.8115371608616273
75,0.0096112439578502,26,21,26,1.0,0.8366712235133287,0.68875,0.7295875198307773,0.8137521858360264
76,0.0096112439578502,26,21,51,1.0,0.81338004101162,0.6937499999999999,0.7492596509783184,0.8140974229974846
77,0.0096112439578502,26,21,4,1.0,0.8772556390977442,0.6912499999999999,0.7246959280803807,0.8233003917945312
78,0.0096112439578502,26,21,23,1.0,0.8865686944634312,0.6775,0.7295610787942887,0.82340744331443
79,0.0096112439578502,26,21,53,1.0,0.821308954203691,0.71875,0.7266261237440508,0.8166712694869354
80,0.0096112439578502,26,21,27,1.0,0.8028708133971293,0.7225,0.7409307244843998,0.8165753844703822
81,0.0096112439578502,26,21,48,1.0,0.8198564593301436,0.7275,0.7295610787942888,0.819229384531108
82,0.0096112439578502,26,21,3,1.0,0.8577067669172932,0.70875,0.7163934426229508,0.8207125523850609
83,0.0096112439578502,26,21,7,1.0,0.8418831168831169,0.7150000000000001,0.7294288736118457,0.8215779976237407
84,0.0096112439578502,26,21,32,1.0,0.8433526999316474,0.7037500000000001,0.7326546800634586,0.8199393449987765
85,0.0096112439578502,26,21,51,1.0,0.8419002050580998,0.7075000000000001,0.747726070861978,0.8242815689800194
86,0.0096112439578502,26,21,33,1.0,0.8692925495557076,0.67625,0.7426758328926495,0.8220545956120893
87,0.0096112439578502,26,21,18,1.0,0.841848940533151,0.69375,0.7280274986779481,0.8159066098027749
88,0.0096112439578502,26,21,27,1.0,0.8786226930963773,0.695,0.7688524590163934,0.8356187880281927
89,0.0096112439578502,26,21,7,1.0,0.8120300751879699,0.69625,0.7476467477525119,0.8139817057351204
90,0.0096112439578502,26,21,11,1.0,0.8407211209842789,0.6712499999999999,0.7589899524061343,0.8177402683476032
91,0.0096112439578502,26,21,20,1.0,0.8799213943950785,0.6999999999999998,0.7249074563722898,0.826207212691842
92,0.0096112439578502,26,21,41,1.0,0.8434381408065619,0.6987500000000001,0.7184029613960867,0.8151477755506622
93,0.0096112439578502,26,21,52,1.0,0.8225905673274095,0.7262500000000001,0.7394764674775252,0.8220792587012336
94,0.0096112439578502,26,21,41,1.0,0.8199931647300067,0.71,0.741195134849286,0.8177970748948231
95,0.0096112439578502,26,21,40,1.0,0.8017429938482572,0.7150000000000001,0.7558963511369646,0.8181598362463055
96,0.0096112439578502,26,21,35,1.0,0.8604066985645933,0.7250000000000001,0.7557377049180327,0.8352861008706566
97,0.0096112439578502,26,21,49,1.0,0.8381578947368421,0.66375,0.7311739820200951,0.8082704691892343
98,0.0096112439578502,26,21,54,1.0,0.822453861927546,0.71375,0.7395029085140138,0.81892669261039
99,0.0096112439578502,26,21,13,1.0,0.8577922077922079,0.6587500000000001,0.732971972501322,0.8123785450733825
100,0.0096112439578502,26,21,32,1.0,0.8471975393028023,0.7150000000000001,0.7279217345319936,0.8225298184586991
101,0.0096112439578502,26,21,52,1.0,0.8355092276144909,0.69375,0.7606028556319406,0.8224655208116078
102,0.0096112439578502,26,21,42,1.0,0.8367908407382091,0.70375,0.7164463246959281,0.8142467913585343
103,0.0096112439578502,26,21,27,1.0,0.8473000683526999,0.7112499999999999,0.7459545214172396,0.8261261474424848
104,0.0096112439578502,26,21,50,1.0,0.8288790157211208,0.72375,0.7378371232152301,0.8226165347340877
105,0.0096112439578502,26,21,22,1.0,0.8616199589883801,0.7075,0.7571919619249073,0.8315779802283219
106,0.0096112439578502,26,21,35,1.0,0.8473855092276146,0.725,0.737625594923321,0.8275027760377338
107,0.0096112439578502,26,21,8,1.0,0.8433526999316474,0.6950000000000001,0.7476996298254892,0.8215130824392842
108,0.0096112439578502,26,21,18,1.0,0.8680963773069035,0.7112499999999999,0.7526441036488631,0.8329976202389415
109,0.0096112439578502,26,21,12,1.0,0.8512132604237868,0.7275,0.7591221575885776,0.8344588545030911
110,0.0096112439578502,26,21,51,1.0,0.7715994531784006,0.6787500000000001,0.7620571126388154,0.803101641454304
111,0.0096112439578502,26,21,36,1.0,0.8564593301435405,0.7024999999999999,0.7393442622950819,0.8245758981096556
112,0.0096112439578502,26,21,15,1.0,0.880041011619959,0.7025,0.7393442622950819,0.8304713184787602
113,0.0096112439578502,26,21,44,1.0,0.843233082706767,0.6900000000000001,0.7442887361184558,0.8193804547063057
114,0.0096112439578502,26,21,45,1.0,0.8603896103896107,0.6962499999999999,0.7687466948704389,0.8313465763150123
115,0.0096112439578502,26,21,33,1.0,0.8483253588516746,0.7125,0.7197250132205182,0.8201375930180481
116,0.0096112439578502,26,21,29,1.0,0.8497949419002049,0.71125,0.7228450555261766,0.8209724993565953
117,0.0096112439578502,26,21,30,1.0,0.8824675324675324,0.6987500000000001,0.7735060814383924,0.8386809034764812
118,0.0096112439578502,26,21,29,1.0,0.8746069719753929,0.7075,0.7442094130089898,0.8315790962460957
119,0.0096112439578502,26,21,59,1.0,0.7702153110047847,0.71,0.7246694870438921,0.8012211995121692
120,0.0096112439578502,26,21,19,1.0,0.8797505126452496,0.7274999999999999,0.7476731887890005,0.8387309253585624
121,0.0096112439578502,26,21,51,1.0,0.8211722488038277,0.67375,0.7589635113696456,0.8134714400433682
122,0.0096112439578502,26,21,37,1.0,0.8536739576213259,0.70625,0.7217345319936541,0.820414622403745
123,0.0096112439578502,26,21,24,1.0,0.8603554340396444,0.7075000000000001,0.7424378635642517,0.827573324400974
124,0.0096112439578502,26,21,42,1.0,0.8524606971975393,0.7,0.758857747223691,0.8278296111053076
125,0.0096112439578502,26,21,36,1.0,0.8603383458646616,0.72375,0.7328133262823903,0.829225418036763
126,0.0096112439578502,26,21,33,1.0,0.8590738209159262,0.71625,0.7441829719725013,0.8298766982221069
127,0.0096112439578502,26,21,20,1.0,0.8721462747778537,0.7024999999999999,0.7721047065044949,0.8366877453205871
128,0.0096112439578502,26,21,46,1.0,0.8315789473684211,0.6600000000000001,0.7410893707033315,0.8081670795179381
129,0.0096112439578502,26,21,35,1.0,0.8407552973342447,0.70625,0.7608408249603384,0.8269615305736457
130,0.0096112439578502,26,21,42,1.0,0.8589029391660971,0.67375,0.7638551031200423,0.8241270105715348
131,0.0096112439578502,26,21,33,1.0,0.8420881749829119,0.68875,0.7361713379164463,0.8167523782248396
132,0.0096112439578502,26,21,17,1.0,0.8276144907723856,0.6950000000000001,0.780195663670016,0.8257025386106003
133,0.0096112439578502,26,21,59,1.0,0.8057245386192754,0.70875,0.7328662083553675,0.8118351867436607
134,0.0096112439578502,26,21,6,1.0,0.8564422419685578,0.6762499999999999,0.742781597038604,0.8188684597517903
135,0.0096112439578502,26,21,21,1.0,0.85,0.71125,0.7638022210470651,0.8312630552617664
136,0.0096112439578502,26,21,12,1.0,0.8523581681476419,0.6987500000000001,0.7344262295081967,0.8213835994139596
137,0.0096112439578502,26,21,30,1.0,0.8540498974709501,0.6799999999999999,0.7377842411422527,0.8179585346533007
138,0.0096112439578502,26,21,15,1.0,0.8577238550922761,0.6900000000000001,0.7297461660497091,0.8193675052854963
139,0.0096112439578502,26,21,48,1.0,0.8434552289815448,0.7000000000000001,0.7412215758857748,0.8211692012168299
140,0.0096112439578502,26,21,55,1.0,0.8251367053998633,0.68375,0.7231359069275516,0.8080056530818538
141,0.0096112439578502,26,21,34,1.0,0.8578776486671224,0.71,0.7555790586991009,0.8308641768415559
142,0.0096112439578502,26,21,55,1.0,0.8185064935064936,0.7274999999999999,0.7262559492332099,0.8180656106849259
143,0.0096112439578502,26,21,8,1.0,0.8720266575529733,0.67625,0.7279217345319936,0.8190495980212418
144,0.0096112439578502,26,21,46,1.0,0.8224367737525633,0.71875,0.7458487572712851,0.8217588827559621
145,0.0096112439578502,26,21,34,1.0,0.8251367053998633,0.6824999999999999,0.7393971443680593,0.8117584624419806
