mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.0014310677846272786,1.1894408501860113e-06,0.001834551493326823,6.257699230521369e-06,0.017579038823261565,0.275,"{'l1_ratio': 0.017579038823261565, 'alpha': 0.275}",0.7949619848186328,0.8106405449974985,0.8175494186046512,0.8077173161402609,0.009450114336990225,41,1489,0.8401465568053454
0.001474618911743164,7.327897585063306e-06,0.0018339951833089192,9.193467676050889e-06,0.11662912394208903,0.04,"{'l1_ratio': 0.11662912394208903, 'alpha': 0.04}",0.7954282961416599,0.8109215670530978,0.816142441860465,0.8074974350184076,0.008796304843823809,49,1489,0.8401016443272072
0.0014313062032063801,3.3510794071051307e-06,0.0018485387166341145,8.736955739537439e-06,0.002022001804377659,0.326,"{'l1_ratio': 0.002022001804377659, 'alpha': 0.326}",0.7947334613888047,0.8114403770018961,0.8179476744186046,0.8080405042697686,0.009777329989802299,8,1489,0.8402649658607824
0.0014504591623942058,6.880715949348882e-06,0.0018334388732910156,9.285069660781163e-06,0.0034005881378753947,0.064,"{'l1_ratio': 0.0034005881378753947, 'alpha': 0.064}",0.7950391886800611,0.8116658122772669,0.8166366279069766,0.8077805429547681,0.009235216423067339,36,1489,0.8402579747782628
0.0014456113179524739,1.1358225965014002e-05,0.0018392403920491536,1.0940154312400979e-05,0.016862941195380652,0.779,"{'l1_ratio': 0.016862941195380652, 'alpha': 0.779}",0.794829194176976,0.8090130875985893,0.818125,0.8073224272585217,0.009585314862681634,52,1489,0.8399646574781142
0.001439491907755534,4.4660636006123595e-06,0.0018967787424723308,5.8423201353567655e-05,0.12413656192961667,0.318,"{'l1_ratio': 0.12413656192961667, 'alpha': 0.318}",0.7956907892705161,0.8000111173560457,0.8143023255813953,0.803334744069319,0.007953288286810753,62,1489,0.8390977969944854
0.0014231204986572266,7.496612131293187e-06,0.001839001973470052,1.695102257699976e-05,0.004044003608755258,0.711,"{'l1_ratio': 0.004044003608755258, 'alpha': 0.711}",0.7945975825926909,0.8110234761501832,0.8184593023255814,0.8080267870228185,0.009969303768645826,9,1489,0.8402587268650116
0.0014341672261555989,1.4225863875889384e-05,0.0018308162689208984,2.1937964346952854e-06,0.3275983509645502,0.323,"{'l1_ratio': 0.3275983509645502, 'alpha': 0.323}",0.7861082459900316,0.75232692438345,0.7935697674418605,0.7773349792717807,0.01794381383777981,76,1489,0.8324567332622823
0.0014186700185139973,6.035753105814465e-06,0.0018518765767415364,3.2125128001225373e-06,0.00820091159080484,0.769,"{'l1_ratio': 0.00820091159080484, 'alpha': 0.769}",0.7947149324620622,0.8104459912666993,0.8184534883720931,0.8078714707002849,0.009860726013960104,31,1489,0.840156213149497
0.0014428297678629558,4.6895721727790605e-06,0.0018223921457926433,1.0693161132529043e-05,0.0015974649581206495,0.197,"{'l1_ratio': 0.0015974649581206495, 'alpha': 0.197}",0.7948508112581758,0.8115021400910387,0.8173691860465117,0.8079073791319087,0.009538030213901743,23,1489,0.8403261285091989
