,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
73,6.6582144896189375,0.11756154091994311,0.03270785013834635,0.00048427527688775686,0.03459846045911775,27,2,5,235,0.42721868618885206,"{'learning_rate': 0.03459846045911775, 'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 235, 'subsample': 0.42721868618885206}",0.5166481646790968,0.4852504509594828,0.4591456761141477,0.48701476391757575,0.023508419030226834,13
74,41.71375981966654,2.823616316302485,0.11182490984598796,0.009223615065249026,0.16658838121164196,72,2,4,661,0.6149320911860151,"{'learning_rate': 0.16658838121164196, 'max_depth': 72, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 661, 'subsample': 0.6149320911860151}",0.4889371844850178,0.4466751756643501,0.369613822052721,0.4350753940673629,0.0493992739849529,82
75,4.882556438446045,0.040196120106223844,0.06000200907389323,0.0010382276295139055,0.20167602055858494,62,4,6,720,0.13109051688846637,"{'learning_rate': 0.20167602055858494, 'max_depth': 62, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 720, 'subsample': 0.13109051688846637}",0.14968456520938722,-0.2085671190218139,-0.4785421991401426,-0.1791415843175231,0.2573151290159532,198
76,7.463486115137736,0.2858142213945377,0.028563181559244793,0.0028642052881705147,0.15252779908756306,81,3,9,181,0.5505052787641911,"{'learning_rate': 0.15252779908756306, 'max_depth': 81, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 181, 'subsample': 0.5505052787641911}",0.4638817271099078,0.416766648259023,0.3850736858615815,0.42190735374350413,0.03237794497296069,102
77,14.600521882375082,0.059624379969495836,0.09296131134033203,0.004832364623198951,0.011024341180212019,65,2,9,839,0.27852912012404724,"{'learning_rate': 0.011024341180212019, 'max_depth': 65, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 839, 'subsample': 0.27852912012404724}",0.5249030659082368,0.501209703077001,0.46066850508473023,0.49559375802332256,0.026522617143130763,6
78,79.3771649201711,0.6572490159814146,0.2517055670420329,0.004558475829449932,0.02510642897295467,75,1,2,959,0.8714377520841192,"{'learning_rate': 0.02510642897295467, 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 959, 'subsample': 0.8714377520841192}",0.49404597672085715,0.4387800940370571,0.3877750352789878,0.44020036867896734,0.043396552349844145,72
79,26.648249467213947,0.5131490229411518,0.10476867357889812,0.001412956315922533,0.017717223512388268,85,4,5,714,0.5696567136554134,"{'learning_rate': 0.017717223512388268, 'max_depth': 85, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 714, 'subsample': 0.5696567136554134}",0.5167637318461925,0.48654943053013355,0.4439883449958866,0.48243383579073756,0.029852613764371663,17
80,1.177229642868042,0.05122270182589518,0.006466388702392578,0.0024375757265149285,0.1780541993339841,98,3,6,24,0.9202500965512306,"{'learning_rate': 0.1780541993339841, 'max_depth': 98, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 24, 'subsample': 0.9202500965512306}",0.4929433491515063,0.4426620217635492,0.3688395209726928,0.43481496396258273,0.05096810950164751,83
81,8.778277476628622,0.1898128932233123,0.026813348134358723,0.0018272468168960272,0.12611951208778582,85,1,5,117,0.9439015211115362,"{'learning_rate': 0.12611951208778582, 'max_depth': 85, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 117, 'subsample': 0.9439015211115362}",0.48219669343514426,0.40446401441110846,0.34164109614011584,0.4094339346621229,0.057489094984565746,115
82,26.82219401995341,1.2854382992386257,0.08718005816141765,0.003947791489207391,0.2733232142622816,56,4,9,501,0.5307138590924712,"{'learning_rate': 0.2733232142622816, 'max_depth': 56, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 501, 'subsample': 0.5307138590924712}",0.4234983681745502,0.3747212502541972,0.30054937543006166,0.3662563312862697,0.050549347797119726,143
83,37.59873986244202,0.19861827176262722,0.08700044949849446,0.004959387329340776,0.0918852138335888,17,4,8,940,0.8400734332513529,"{'learning_rate': 0.0918852138335888, 'max_depth': 17, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 940, 'subsample': 0.8400734332513529}",0.5028556023244819,0.4479839504117651,0.4299909505601669,0.46027683443213796,0.030990865507301527,48
84,5.910353183746338,0.06928047223406067,0.034649928410847984,0.004385010962826194,0.21579073628213838,16,3,5,341,0.32052973470010865,"{'learning_rate': 0.21579073628213838, 'max_depth': 16, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 341, 'subsample': 0.32052973470010865}",0.40479368878199284,0.29070219178238754,0.18667379658557037,0.29405655904998357,0.08907865691911158,170
85,8.561166922251383,0.171838672042233,0.07962520917256673,0.0027306455738310247,0.04404554678553188,35,4,6,875,0.18296748763153303,"{'learning_rate': 0.04404554678553188, 'max_depth': 35, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 875, 'subsample': 0.18296748763153303}",0.46977298273203416,0.4062421967669779,0.3549779420754702,0.41033104052482744,0.04695397975530667,113
86,4.309415817260742,0.12286884121978041,0.028590043385823567,0.0030904554617455673,0.18485033704500772,29,2,9,235,0.27220214864850095,"{'learning_rate': 0.18485033704500772, 'max_depth': 29, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 235, 'subsample': 0.27220214864850095}",0.3709012219462582,0.25746269609826444,0.1742646924506457,0.2675428701650561,0.08059234295693496,174
87,58.66730388005575,12.31220939479204,0.12824678421020508,0.022391528174088772,0.20630269929930056,60,2,8,917,0.6660409003596959,"{'learning_rate': 0.20630269929930056, 'max_depth': 60, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 917, 'subsample': 0.6660409003596959}",0.4612161183818325,0.41344162708423204,0.3568062819662805,0.41048800914411504,0.042676272715118244,112
88,21.231944799423218,1.0879202687731182,0.0424962043762207,0.0019195063960218447,0.18013757569690603,26,1,7,402,0.9824926355677984,"{'learning_rate': 0.18013757569690603, 'max_depth': 26, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 402, 'subsample': 0.9824926355677984}",0.46304591523429794,0.380437899715076,0.3385512661879343,0.3940116937124361,0.05172307881340392,128
89,32.423904259999595,0.724010049107923,0.12394491831461589,0.003554555963513168,0.045201006810956054,95,2,6,727,0.5004864631620137,"{'learning_rate': 0.045201006810956054, 'max_depth': 95, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 727, 'subsample': 0.5004864631620137}",0.505606569977737,0.47517421746267463,0.4366149706181376,0.47246525268618306,0.028230764107843694,30
90,33.125007232030235,2.850444569743981,0.09414585431416829,0.0019916718215701604,0.06292495129977554,63,2,5,448,0.7801497624347388,"{'learning_rate': 0.06292495129977554, 'max_depth': 63, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 448, 'subsample': 0.7801497624347388}",0.5080554371115525,0.4668296841647458,0.41812274475111966,0.4643359553424727,0.036757187971681975,43
91,17.13614320755005,0.24048580780005893,0.05971384048461914,0.003133985974069022,0.04952968140280454,76,4,4,406,0.6060885831385109,"{'learning_rate': 0.04952968140280454, 'max_depth': 76, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 406, 'subsample': 0.6060885831385109}",0.5064113833960577,0.4670445587048625,0.4323052072949065,0.46858704979860893,0.030273374364991914,35
92,21.425860087076824,0.4459723319114793,0.07878629366556804,0.004005756541642571,0.1351309553506118,20,3,4,725,0.4704926448171398,"{'learning_rate': 0.1351309553506118, 'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 725, 'subsample': 0.4704926448171398}",0.46391720913344303,0.43973530066144817,0.3461576956589142,0.41660340181793515,0.050781488172491396,106
93,18.99216636021932,0.21575183143402127,0.0915075143178304,0.001924340146115026,0.01854252797186512,41,3,2,688,0.41211524819220346,"{'learning_rate': 0.01854252797186512, 'max_depth': 41, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 688, 'subsample': 0.41211524819220346}",0.5220923288983657,0.48614077370276043,0.4452679118584789,0.4845003381532016,0.03138487995807113,16
94,17.862844546635944,0.7384516087371633,0.07703018188476562,0.02244700979121966,0.28386600648939114,65,1,9,365,0.4243813475083389,"{'learning_rate': 0.28386600648939114, 'max_depth': 65, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 365, 'subsample': 0.4243813475083389}",0.4134999251873068,0.30996331292414914,0.21294737642253625,0.31213687151133074,0.08188965938672335,163
