dataset,model,score,hyperparameters,iteration
iris,RandomForest,0.94,"{'bootstrap': 1, 'max_depth': 70.0, 'min_samples_leaf': 7.0, 'min_samples_split': 10.0, 'n_estimators': 1381.0}",11
iris,RandomForest,0.9533,"{'bootstrap': 1, 'max_depth': 17.0, 'min_samples_leaf': 2.0, 'min_samples_split': 3.0, 'n_estimators': 1438.0}",12
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 48.0, 'min_samples_leaf': 5.0, 'min_samples_split': 4.0, 'n_estimators': 1970.0}",13
iris,RandomForest,0.94,"{'bootstrap': 1, 'max_depth': 61.0, 'min_samples_leaf': 8.0, 'min_samples_split': 9.0, 'n_estimators': 1404.0}",14
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 25.0, 'min_samples_leaf': 11.0, 'min_samples_split': 2.0, 'n_estimators': 481.0}",15
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 101.0, 'min_samples_leaf': 6.0, 'min_samples_split': 9.0, 'n_estimators': 580.0}",16
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 12.0, 'min_samples_leaf': 6.0, 'min_samples_split': 6.0, 'n_estimators': 588.0}",17
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 11.0, 'min_samples_leaf': 9.0, 'min_samples_split': 2.0, 'n_estimators': 1458.0}",18
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 37.0, 'min_samples_leaf': 11.0, 'min_samples_split': 8.0, 'n_estimators': 1226.0}",19
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 31.0, 'min_samples_leaf': 4.0, 'min_samples_split': 4.0, 'n_estimators': 1737.0}",20
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 52.0, 'min_samples_leaf': 4.0, 'min_samples_split': 11.0, 'n_estimators': 122.0}",21
iris,RandomForest,0.96,"{'bootstrap': 0, 'max_depth': 27.0, 'min_samples_leaf': 4.0, 'min_samples_split': 5.0, 'n_estimators': 159.0}",22
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 28.0, 'min_samples_leaf': 4.0, 'min_samples_split': 5.0, 'n_estimators': 1648.0}",23
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 45.0, 'min_samples_leaf': 1.0, 'min_samples_split': 5.0, 'n_estimators': 153.0}",24
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 44.0, 'min_samples_leaf': 1.0, 'min_samples_split': 5.0, 'n_estimators': 1745.0}",25
iris,RandomForest,0.96,"{'bootstrap': 0, 'max_depth': 53.0, 'min_samples_leaf': 1.0, 'min_samples_split': 4.0, 'n_estimators': 1775.0}",26
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 44.0, 'min_samples_leaf': 3.0, 'min_samples_split': 2.0, 'n_estimators': 937.0}",27
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 95.0, 'min_samples_leaf': 3.0, 'min_samples_split': 6.0, 'n_estimators': 1550.0}",28
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 38.0, 'min_samples_leaf': 5.0, 'min_samples_split': 7.0, 'n_estimators': 1825.0}",29
iris,RandomForest,0.96,"{'bootstrap': 0, 'max_depth': 93.0, 'min_samples_leaf': 1.0, 'min_samples_split': 4.0, 'n_estimators': 1608.0}",30
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 34.0, 'min_samples_leaf': 3.0, 'min_samples_split': 5.0, 'n_estimators': 1064.0}",31
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 58.0, 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 203.0}",32
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 87.0, 'min_samples_leaf': 5.0, 'min_samples_split': 2.0, 'n_estimators': 827.0}",33
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 22.0, 'min_samples_leaf': 3.0, 'min_samples_split': 3.0, 'n_estimators': 833.0}",34
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 69.0, 'min_samples_leaf': 2.0, 'min_samples_split': 3.0, 'n_estimators': 696.0}",35
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 49.0, 'min_samples_leaf': 2.0, 'min_samples_split': 8.0, 'n_estimators': 1005.0}",36
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 40.0, 'min_samples_leaf': 1.0, 'min_samples_split': 7.0, 'n_estimators': 300.0}",37
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 32.0, 'min_samples_leaf': 9.0, 'min_samples_split': 6.0, 'n_estimators': 1890.0}",38
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 77.0, 'min_samples_leaf': 2.0, 'min_samples_split': 2.0, 'n_estimators': 723.0}",39
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 57.0, 'min_samples_leaf': 3.0, 'min_samples_split': 4.0, 'n_estimators': 1121.0}",40
iris,RandomForest,0.96,"{'bootstrap': 0, 'max_depth': 66.0, 'min_samples_leaf': 1.0, 'min_samples_split': 3.0, 'n_estimators': 1325.0}",41
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 21.0, 'min_samples_leaf': 10.0, 'min_samples_split': 5.0, 'n_estimators': 1519.0}",42
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 84.0, 'min_samples_leaf': 5.0, 'min_samples_split': 7.0, 'n_estimators': 2001.0}",43
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 17.0, 'min_samples_leaf': 7.0, 'min_samples_split': 11.0, 'n_estimators': 1670.0}",44
iris,RandomForest,0.9533,"{'bootstrap': 1, 'max_depth': 42.0, 'min_samples_leaf': 2.0, 'min_samples_split': 10.0, 'n_estimators': 1315.0}",45
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 60.0, 'min_samples_leaf': 8.0, 'min_samples_split': 2.0, 'n_estimators': 279.0}",46
iris,RandomForest,0.9533,"{'bootstrap': 1, 'max_depth': 73.0, 'min_samples_leaf': 3.0, 'min_samples_split': 3.0, 'n_estimators': 704.0}",47
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 47.0, 'min_samples_leaf': 7.0, 'min_samples_split': 6.0, 'n_estimators': 478.0}",48
iris,RandomForest,0.96,"{'bootstrap': 0, 'max_depth': 64.0, 'min_samples_leaf': 1.0, 'min_samples_split': 8.0, 'n_estimators': 229.0}",49
iris,XGBoost,0.9533,"{'colsample_bytree': 0.937303979062269, 'learning_rate': 0.15432036590241935, 'max_depth': 6.0, 'n_estimators': 466.0, 'subsample': 0.7360838620922443}",0
iris,XGBoost,0.9467,"{'colsample_bytree': 0.8252677521011823, 'learning_rate': 0.247796958884973, 'max_depth': 7.0, 'n_estimators': 686.0, 'subsample': 0.790506314379974}",1
iris,XGBoost,0.94,"{'colsample_bytree': 0.7669261554667486, 'learning_rate': 0.2830013348663934, 'max_depth': 9.0, 'n_estimators': 797.0, 'subsample': 0.8792955202884543}",2
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6486170501967776, 'learning_rate': 0.18179776743845658, 'max_depth': 2.0, 'n_estimators': 367.0, 'subsample': 0.5940318794732153}",3
iris,XGBoost,0.94,"{'colsample_bytree': 0.9671218584165444, 'learning_rate': 0.29705511660077216, 'max_depth': 1.0, 'n_estimators': 619.0, 'subsample': 0.8558964516638667}",4
iris,XGBoost,0.9667,"{'colsample_bytree': 0.7970404372711257, 'learning_rate': 0.13027046015271757, 'max_depth': 2.0, 'n_estimators': 990.0, 'subsample': 0.5610692727255633}",5
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5992961397575001, 'learning_rate': 0.11879153122294678, 'max_depth': 7.0, 'n_estimators': 319.0, 'subsample': 0.6545385141628599}",6
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6742388711453922, 'learning_rate': 0.04198438385087924, 'max_depth': 3.0, 'n_estimators': 279.0, 'subsample': 0.7709948553363122}",7
iris,XGBoost,0.96,"{'colsample_bytree': 0.600452381957246, 'learning_rate': 0.21658177191799427, 'max_depth': 3.0, 'n_estimators': 340.0, 'subsample': 0.8785431140541042}",8
iris,XGBoost,0.9533,"{'colsample_bytree': 0.6769887634135361, 'learning_rate': 0.07244616084034643, 'max_depth': 9.0, 'n_estimators': 99.0, 'subsample': 0.6955316485929233}",9
iris,XGBoost,0.96,"{'colsample_bytree': 0.7607278544907154, 'learning_rate': 0.2706949434627883, 'max_depth': 5.0, 'n_estimators': 445.0, 'subsample': 0.6307045248581065}",10
iris,XGBoost,0.96,"{'colsample_bytree': 0.7790489293967457, 'learning_rate': 0.12782693421827995, 'max_depth': 2.0, 'n_estimators': 63.0, 'subsample': 0.847229100379513}",11
iris,XGBoost,0.96,"{'colsample_bytree': 0.6750111445372788, 'learning_rate': 0.011787301838249425, 'max_depth': 1.0, 'n_estimators': 505.0, 'subsample': 0.7202441211020825}",12
iris,XGBoost,0.9533,"{'colsample_bytree': 0.7727098815320061, 'learning_rate': 0.2744284169004016, 'max_depth': 7.0, 'n_estimators': 424.0, 'subsample': 0.9509842845900709}",13
iris,XGBoost,0.9533,"{'colsample_bytree': 0.8999030615100065, 'learning_rate': 0.16489955808041704, 'max_depth': 7.0, 'n_estimators': 271.0, 'subsample': 0.9514736401158479}",14
iris,XGBoost,0.9467,"{'colsample_bytree': 0.8783135420947858, 'learning_rate': 0.18969896744132614, 'max_depth': 6.0, 'n_estimators': 697.0, 'subsample': 0.694525615339166}",15
iris,XGBoost,0.96,"{'colsample_bytree': 0.6049654457259839, 'learning_rate': 0.1644184401355915, 'max_depth': 10.0, 'n_estimators': 295.0, 'subsample': 0.7819083138222709}",16
iris,XGBoost,0.9467,"{'colsample_bytree': 0.8097477462952651, 'learning_rate': 0.17115731874072052, 'max_depth': 2.0, 'n_estimators': 788.0, 'subsample': 0.9726674671880002}",17
iris,XGBoost,0.9467,"{'colsample_bytree': 0.9822693785903825, 'learning_rate': 0.1488279512696498, 'max_depth': 4.0, 'n_estimators': 888.0, 'subsample': 0.9322446777938258}",18
iris,XGBoost,0.9533,"{'colsample_bytree': 0.9023536438004813, 'learning_rate': 0.24851916132906934, 'max_depth': 8.0, 'n_estimators': 261.0, 'subsample': 0.841861739263017}",19
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5110392606431129, 'learning_rate': 0.07725024721649482, 'max_depth': 4.0, 'n_estimators': 953.0, 'subsample': 0.518602680092989}",20
iris,XGBoost,0.9533,"{'colsample_bytree': 0.5154120304921845, 'learning_rate': 0.011761384720142268, 'max_depth': 4.0, 'n_estimators': 149.0, 'subsample': 0.5017496348583883}",21
iris,XGBoost,0.9667,"{'colsample_bytree': 0.7187839002365852, 'learning_rate': 0.10070717447465946, 'max_depth': 2.0, 'n_estimators': 598.0, 'subsample': 0.5612992862296003}",22
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5237226939582903, 'learning_rate': 0.06856928608237402, 'max_depth': 4.0, 'n_estimators': 951.0, 'subsample': 0.5067619897401147}",23
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5017007660091577, 'learning_rate': 0.06354408086464515, 'max_depth': 5.0, 'n_estimators': 985.0, 'subsample': 0.5000226828462031}",24
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5409256580920249, 'learning_rate': 0.09908608572145872, 'max_depth': 5.0, 'n_estimators': 596.0, 'subsample': 0.5552668473838107}",25
iris,XGBoost,0.96,"{'colsample_bytree': 0.5463043156135218, 'learning_rate': 0.03901307193224903, 'max_depth': 5.0, 'n_estimators': 886.0, 'subsample': 0.5440929552604297}",26
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5726563790612658, 'learning_rate': 0.04438829540508061, 'max_depth': 3.0, 'n_estimators': 996.0, 'subsample': 0.6093241875989386}",27
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5642606450196628, 'learning_rate': 0.09226445514184539, 'max_depth': 3.0, 'n_estimators': 573.0, 'subsample': 0.6004145921566966}",28
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5702378668179119, 'learning_rate': 0.03366137134619148, 'max_depth': 3.0, 'n_estimators': 800.0, 'subsample': 0.6235360912963317}",29
iris,XGBoost,0.96,"{'colsample_bytree': 0.7239473763113984, 'learning_rate': 0.007563908938657132, 'max_depth': 1.0, 'n_estimators': 697.0, 'subsample': 0.649280122887087}",30
iris,XGBoost,0.9667,"{'colsample_bytree': 0.7185907178242534, 'learning_rate': 0.09716479638054186, 'max_depth': 6.0, 'n_estimators': 611.0, 'subsample': 0.5641557994936304}",31
iris,XGBoost,0.9667,"{'colsample_bytree': 0.7345185519428004, 'learning_rate': 0.10685679020364879, 'max_depth': 11.0, 'n_estimators': 510.0, 'subsample': 0.5768090036239176}",32
iris,XGBoost,0.9467,"{'colsample_bytree': 0.8503348861626174, 'learning_rate': 0.19533848589217273, 'max_depth': 9.0, 'n_estimators': 524.0, 'subsample': 0.6791032931478612}",33
iris,XGBoost,0.9667,"{'colsample_bytree': 0.641155383319995, 'learning_rate': 0.1443418328424685, 'max_depth': 6.0, 'n_estimators': 763.0, 'subsample': 0.538805226216515}",34
iris,XGBoost,0.9667,"{'colsample_bytree': 0.630455602604664, 'learning_rate': 0.14568744291306218, 'max_depth': 8.0, 'n_estimators': 773.0, 'subsample': 0.5300806132359871}",35
iris,XGBoost,0.9667,"{'colsample_bytree': 0.636875177270112, 'learning_rate': 0.21751541219111994, 'max_depth': 10.0, 'n_estimators': 881.0, 'subsample': 0.5171941665248925}",36
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6852326452369082, 'learning_rate': 0.25492138040924306, 'max_depth': 10.0, 'n_estimators': 879.0, 'subsample': 0.8154949992502872}",37
iris,XGBoost,0.96,"{'colsample_bytree': 0.6998564474688126, 'learning_rate': 0.20984362093875825, 'max_depth': 11.0, 'n_estimators': 394.0, 'subsample': 0.8099766548933285}",38
iris,XGBoost,0.96,"{'colsample_bytree': 0.5512343366862574, 'learning_rate': 0.09064621641644571, 'max_depth': 5.0, 'n_estimators': 579.0, 'subsample': 0.7371711557731893}",39
iris,XGBoost,0.9533,"{'colsample_bytree': 0.9571856997438317, 'learning_rate': 0.11569294641830477, 'max_depth': 8.0, 'n_estimators': 201.0, 'subsample': 0.661463374959345}",40
iris,XGBoost,0.9667,"{'colsample_bytree': 0.506940899054244, 'learning_rate': 0.06751132005300653, 'max_depth': 4.0, 'n_estimators': 935.0, 'subsample': 0.5861247166431997}",41
iris,XGBoost,0.96,"{'colsample_bytree': 0.6072323002610583, 'learning_rate': 0.2984716849770165, 'max_depth': 10.0, 'n_estimators': 662.0, 'subsample': 0.9005375694833174}",42
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6285884321487039, 'learning_rate': 0.05270373883402604, 'max_depth': 8.0, 'n_estimators': 744.0, 'subsample': 0.6128174255612082}",43
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5808670158425324, 'learning_rate': 0.02619043616763827, 'max_depth': 7.0, 'n_estimators': 732.0, 'subsample': 0.7551898186479691}",44
iris,XGBoost,0.9533,"{'colsample_bytree': 0.8433062125643518, 'learning_rate': 0.131102460960549, 'max_depth': 2.0, 'n_estimators': 821.0, 'subsample': 0.5806653745466849}",45
iris,XGBoost,0.9667,"{'colsample_bytree': 0.661817241630433, 'learning_rate': 0.024166316068647706, 'max_depth': 2.0, 'n_estimators': 641.0, 'subsample': 0.7169782328617046}",46
iris,XGBoost,0.9667,"{'colsample_bytree': 0.5312627612306582, 'learning_rate': 0.055893196860202776, 'max_depth': 5.0, 'n_estimators': 834.0, 'subsample': 0.5000079883114769}",47
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6517382929021281, 'learning_rate': 0.018582404199074042, 'max_depth': 2.0, 'n_estimators': 662.0, 'subsample': 0.7068238670712008}",48
iris,XGBoost,0.9533,"{'colsample_bytree': 0.7509438545511867, 'learning_rate': 0.0782240257414304, 'max_depth': 6.0, 'n_estimators': 953.0, 'subsample': 0.6383444266185354}",49
digits,KNN,0.9405,"{'n_neighbors': 26.0, 'p': 0, 'weights': 0}",0
digits,KNN,0.9455,"{'n_neighbors': 31.0, 'p': 0, 'weights': 1}",1
digits,KNN,0.9561,"{'n_neighbors': 15.0, 'p': 1, 'weights': 1}",2
digits,KNN,0.9488,"{'n_neighbors': 17.0, 'p': 0, 'weights': 1}",3
digits,KNN,0.9483,"{'n_neighbors': 19.0, 'p': 0, 'weights': 1}",4
digits,KNN,0.9561,"{'n_neighbors': 12.0, 'p': 1, 'weights': 0}",5
digits,KNN,0.9416,"{'n_neighbors': 25.0, 'p': 0, 'weights': 0}",6
digits,KNN,0.9488,"{'n_neighbors': 30.0, 'p': 1, 'weights': 1}",7
digits,KNN,0.951,"{'n_neighbors': 6.0, 'p': 0, 'weights': 0}",8
digits,KNN,0.9661,"{'n_neighbors': 3.0, 'p': 1, 'weights': 1}",9
digits,KNN,0.9588,"{'n_neighbors': 10.0, 'p': 1, 'weights': 1}",10
digits,KNN,0.9594,"{'n_neighbors': 4.0, 'p': 0, 'weights': 1}",11
digits,KNN,0.9488,"{'n_neighbors': 29.0, 'p': 1, 'weights': 1}",12
digits,KNN,0.946,"{'n_neighbors': 25.0, 'p': 1, 'weights': 0}",13
digits,KNN,0.9449,"{'n_neighbors': 13.0, 'p': 0, 'weights': 0}",14
digits,KNN,0.9522,"{'n_neighbors': 19.0, 'p': 1, 'weights': 1}",15
digits,KNN,0.9561,"{'n_neighbors': 9.0, 'p': 0, 'weights': 1}",16
digits,KNN,0.9544,"{'n_neighbors': 17.0, 'p': 1, 'weights': 1}",17
digits,KNN,0.951,"{'n_neighbors': 16.0, 'p': 0, 'weights': 1}",18
digits,KNN,0.9644,"{'n_neighbors': 1.0, 'p': 1, 'weights': 0}",19
digits,KNN,0.9672,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",20
digits,KNN,0.9672,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",21
digits,KNN,0.9644,"{'n_neighbors': 1.0, 'p': 1, 'weights': 0}",22
digits,KNN,0.9599,"{'n_neighbors': 7.0, 'p': 1, 'weights': 0}",23
digits,KNN,0.9638,"{'n_neighbors': 4.0, 'p': 1, 'weights': 0}",24
digits,KNN,0.9599,"{'n_neighbors': 7.0, 'p': 1, 'weights': 0}",25
digits,KNN,0.9644,"{'n_neighbors': 1.0, 'p': 1, 'weights': 0}",26
digits,KNN,0.9549,"{'n_neighbors': 10.0, 'p': 1, 'weights': 0}",27
digits,KNN,0.9666,"{'n_neighbors': 3.0, 'p': 1, 'weights': 0}",28
digits,KNN,0.9488,"{'n_neighbors': 21.0, 'p': 1, 'weights': 0}",29
digits,KNN,0.9594,"{'n_neighbors': 6.0, 'p': 1, 'weights': 0}",30
digits,KNN,0.9555,"{'n_neighbors': 13.0, 'p': 1, 'weights': 0}",31
digits,KNN,0.9583,"{'n_neighbors': 8.0, 'p': 1, 'weights': 0}",32
digits,KNN,0.9672,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",33
digits,KNN,0.9627,"{'n_neighbors': 5.0, 'p': 1, 'weights': 0}",34
digits,KNN,0.9494,"{'n_neighbors': 22.0, 'p': 1, 'weights': 0}",35
digits,KNN,0.9505,"{'n_neighbors': 11.0, 'p': 0, 'weights': 0}",36
digits,KNN,0.9555,"{'n_neighbors': 13.0, 'p': 1, 'weights': 0}",37
digits,KNN,0.9544,"{'n_neighbors': 15.0, 'p': 1, 'weights': 0}",38
digits,KNN,0.9533,"{'n_neighbors': 5.0, 'p': 0, 'weights': 0}",39
digits,KNN,0.9666,"{'n_neighbors': 3.0, 'p': 1, 'weights': 0}",40
digits,KNN,0.9583,"{'n_neighbors': 8.0, 'p': 1, 'weights': 0}",41
digits,KNN,0.9405,"{'n_neighbors': 28.0, 'p': 0, 'weights': 0}",42
digits,KNN,0.9555,"{'n_neighbors': 11.0, 'p': 1, 'weights': 0}",43
digits,KNN,0.9527,"{'n_neighbors': 22.0, 'p': 1, 'weights': 1}",44
digits,KNN,0.9516,"{'n_neighbors': 2.0, 'p': 0, 'weights': 0}",45
digits,KNN,0.9561,"{'n_neighbors': 15.0, 'p': 1, 'weights': 1}",46
digits,KNN,0.946,"{'n_neighbors': 25.0, 'p': 1, 'weights': 0}",47
digits,KNN,0.9483,"{'n_neighbors': 19.0, 'p': 0, 'weights': 1}",48
digits,KNN,0.9638,"{'n_neighbors': 4.0, 'p': 1, 'weights': 0}",49
digits,RandomForest,0.9382,"{'bootstrap': 1, 'max_depth': 15.0, 'min_samples_leaf': 3.0, 'min_samples_split': 7.0, 'n_estimators': 542.0}",0
digits,RandomForest,0.9293,"{'bootstrap': 1, 'max_depth': 92.0, 'min_samples_leaf': 5.0, 'min_samples_split': 11.0, 'n_estimators': 807.0}",1
digits,RandomForest,0.9327,"{'bootstrap': 1, 'max_depth': 75.0, 'min_samples_leaf': 5.0, 'min_samples_split': 10.0, 'n_estimators': 106.0}",2
digits,RandomForest,0.9232,"{'bootstrap': 1, 'max_depth': 60.0, 'min_samples_leaf': 11.0, 'min_samples_split': 5.0, 'n_estimators': 1380.0}",3
digits,RandomForest,0.9277,"{'bootstrap': 1, 'max_depth': 55.0, 'min_samples_leaf': 9.0, 'min_samples_split': 11.0, 'n_estimators': 1086.0}",4
