param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
136,14,3,log2,5,0.8683148122493684,0.004126603881588909,0.8729890030144021,0.8735444345204867,0.864317500681137,0.8664852629887596,0.8642378600420559
77,2,7,sqrt,14,0.8790466295810008,0.005821922733979887,0.8831263257787205,0.888125209333482,0.8747099054791363,0.872116694494317,0.8771550128193486
19,11,3,log2,11,0.8760914216078156,0.00784358226985107,0.8785691358713855,0.8902366863905326,0.8721998281438841,0.8681144030794382,0.8713370545538378
195,5,8,sqrt,1,0.807613470610403,0.0051272691824753676,0.8136597074913476,0.8042390030144022,0.7999231537693077,0.8125482908699693,0.8076971979069881
207,7,6,log2,3,0.8520623915271957,0.005279287547330051,0.8592818466004243,0.8558983197499164,0.8464263009717555,0.8529631207952885,0.8457423695185933
58,10,5,sqrt,9,0.8785750446611049,0.005612782697993678,0.8823517918946076,0.8878370269063304,0.8740462334867929,0.8737081100717464,0.874932060946047
118,4,10,log2,12,0.8793239950444066,0.005106059734452745,0.8829588589929666,0.8876144356369319,0.8754685873566993,0.8745855543058341,0.8759925389296018
148,12,1,sqrt,7,0.8754779723509106,0.005335340869273884,0.8807762085519704,0.883028636820364,0.870372983659697,0.8708312666354625,0.8723807660870597
80,9,9,log2,7,0.8748462159294723,0.00508477796628998,0.8793834431171151,0.8823950541475942,0.8694165973886253,0.8717031220527724,0.8713328629412544
131,8,1,sqrt,13,0.879785205887924,0.00540523700887028,0.8826671876744446,0.8885243385061963,0.8786765681870576,0.8729606058277388,0.8760973292441823
182,13,7,log2,9,0.8787272982328398,0.005431447050626257,0.8818382270849615,0.8879354136429607,0.8747015222539698,0.8734761741754749,0.8756851540068323
27,3,5,sqrt,4,0.8586128749532562,0.005527034341461515,0.8686299821368761,0.8590990286926425,0.8555458527486499,0.8576430562444548,0.8521464549436577
43,1,2,log2,2,0.8176748701555734,0.005333427331743066,0.8255017025789886,0.8178728927096126,0.8088638634093182,0.8168460909719651,0.819289801107983
226,15,9,sqrt,11,0.8795256445625889,0.0047711547316350396,0.8821871162219493,0.8876549067768227,0.876081959998044,0.8749027196579643,0.8768015201581636
174,6,4,log2,15,0.8796512795820093,0.005832228280885337,0.8835742994306129,0.8891146589259797,0.87618535310843,0.8732931404260076,0.8760889460190159
94,10,7,sqrt,5,0.8678956536272805,0.00473297256339656,0.8722765713966729,0.8742457016858323,0.8623816742697861,0.8673459407725143,0.8632283800115967
212,12,8,log2,5,0.8680950452107596,0.004169586895906647,0.8731508875739644,0.872735011722675,0.8627798774651921,0.86690232844079,0.8649071208511767
56,4,3,sqrt,15,0.8777019035852656,0.005946970001250939,0.8820629116891816,0.8870617952439432,0.8740825607958476,0.8709067156619604,0.8743955345353948
109,9,8,log2,11,0.8795124040756711,0.006070091006833325,0.8826699787875406,0.8899910684380932,0.8758067107717458,0.8737053156633579,0.875388946717618
161,7,4,sqrt,2,0.8407373316747904,0.004228653989744803,0.8453988500614046,0.8444275427040302,0.8358271099529841,0.8424826921330418,0.8355504635224915
144,4,1,log2,4,0.8617918873579251,0.00430069322951958,0.8687834933571508,0.8644670369543375,0.8576353716213856,0.8604479436647268,0.8576255911920247
209,15,10,sqrt,10,0.87900835739007,0.00478332230183089,0.8817237914480296,0.8871134308362175,0.8742683889537036,0.8755314615454475,0.876404714166952
215,14,10,sqrt,10,0.8790422119113239,0.004710560254725105,0.8816079602545495,0.8870506307915597,0.8742278700320658,0.8756809623942492,0.8766436360841955
210,15,10,sqrt,10,0.8790086378194969,0.004782251021941241,0.8817196047783856,0.8871134308362174,0.8742334588488435,0.8756236770222785,0.8763530176117589
211,14,9,sqrt,10,0.8791027078871781,0.005530135936876087,0.881564698001563,0.8888816009824718,0.8744486282947822,0.8746833585994426,0.8759352535576312
