param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_all_datasets_test_score,std_all_datasets_test_score
230,15,2,log2,15,0.8921443993092136,0.03054732831542778
229,8,4,log2,13,0.892724998256685,0.03030552242879464
59,1,4,sqrt,10,0.891806195809607,0.029037401237589508
182,1,4,sqrt,9,0.8915751093398937,0.028334536063817063
176,1,3,sqrt,9,0.8919582129629422,0.028367632223782944
188,1,3,sqrt,9,0.8919705661443336,0.02834918820847371
164,15,2,log2,11,0.8924676266420113,0.0293301958607401
229,1,3,log2,12,0.892872271278079,0.029876902713430253
229,1,3,sqrt,12,0.892872271278079,0.029876902713430253
230,1,3,log2,12,0.8928730287389335,0.029872281962557787
230,1,3,sqrt,12,0.8928730287389335,0.029872281962557787
99,2,10,log2,6,0.8842535149743214,0.025388325824699087
228,1,5,sqrt,11,0.8924820906636842,0.029176275342404967
228,11,4,log2,12,0.8927230146711377,0.029582143087167806
56,5,7,sqrt,1,0.8244292577306165,0.03736223690347993
228,1,4,sqrt,12,0.8927973126226625,0.02968427586033371
227,4,3,log2,12,0.8928780080813647,0.029861026526593705
210,7,9,sqrt,5,0.8811824673780597,0.024786174059346522
163,2,5,log2,3,0.8685426247818553,0.02353321877511122
228,12,3,log2,12,0.8927867203292212,0.02958185251539206
210,1,1,sqrt,4,0.8758197826603829,0.023787726939195782
228,15,3,log2,12,0.892845696427351,0.029532132760864107
77,8,7,log2,12,0.8915775603753646,0.02937270792914713
227,2,3,sqrt,12,0.8928780080813647,0.029861026526593705
227,3,3,sqrt,12,0.8928780080813647,0.029861026526593705
174,9,2,sqrt,15,0.8921664694104869,0.031168430118766823
227,4,3,sqrt,12,0.8928780080813647,0.029861026526593705
227,3,3,log2,12,0.8928780080813647,0.029861026526593705
227,1,3,log2,12,0.8928780080813647,0.029861026526593705
94,6,10,log2,13,0.8919929721120805,0.02939869106875054
228,1,4,log2,12,0.8927973126226625,0.02968427586033371
227,5,3,log2,12,0.8928780080813647,0.029861026526593705
32,15,7,log2,10,0.8901531484600274,0.028680622289693588
125,7,6,sqrt,14,0.8922600352709822,0.0300063622807393
196,8,1,sqrt,6,0.8852415873481381,0.025640411147787975
58,2,1,sqrt,6,0.8841811302398931,0.02563198451771833
227,6,3,log2,12,0.8928780080813647,0.029861026526593705
199,1,1,sqrt,2,0.861037756339746,0.024072888483519073
43,7,8,log2,3,0.8664804383939378,0.025085545190753383
227,12,7,log2,1,0.8408813337594664,0.023778538555302417
227,12,6,sqrt,1,0.8408813337594664,0.023778538555302417
227,12,3,log2,1,0.8408813337594664,0.023778538555302417
227,11,3,sqrt,1,0.8408813337594664,0.023778538555302417
227,10,7,log2,1,0.8408813337594664,0.023778538555302417
227,8,7,sqrt,1,0.8408813337594664,0.023778538555302417
227,9,1,log2,1,0.8408813337594664,0.023778538555302417
227,9,1,sqrt,1,0.8408813337594664,0.023778538555302417
227,12,3,sqrt,11,0.8927908098113158,0.029217319651101862
