param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
228,12,3,log2,9,0.8530263014076551,0.005736636508567032,0.8560253794337144,0.8436854722084693,0.8605508795779592,0.854778028592927,0.8500917472252058
228,12,2,log2,9,0.8527747572110627,0.005870177007778187,0.8561628979511977,0.8430180614879399,0.8601285031370542,0.8546336933323264,0.8499306301467956
105,10,7,log2,9,0.8527286926833305,0.005666147373139293,0.8552036224389971,0.843627849992028,0.860131300332027,0.8552104749357344,0.8494702157178662
117,5,3,sqrt,15,0.8494920856256323,0.006419336986186024,0.8531900382927579,0.8381912218427361,0.8566348066159256,0.8523232102847265,0.8471211510920158
188,14,5,sqrt,14,0.8516909063360059,0.006051779020609376,0.8546473991670626,0.8415914920517705,0.8592960579131247,0.8541464219680504,0.8487731605800215
229,4,3,log2,12,0.8521694092551207,0.006319506606792839,0.8549123738714816,0.8414941496667142,0.8602532580328446,0.8546269800643914,0.8495602846401719
229,2,3,log2,12,0.8521694092551207,0.006319506606792839,0.8549123738714816,0.8414941496667142,0.8602532580328446,0.8546269800643914,0.8495602846401719
228,4,2,log2,12,0.851888753095426,0.00598367866632812,0.854449506666294,0.8417414217023169,0.8591500443355403,0.8549425036573325,0.8491602891156462
229,3,3,log2,12,0.8521694092551207,0.006319506606792839,0.8549123738714816,0.8414941496667142,0.8602532580328446,0.8546269800643914,0.8495602846401719
228,2,2,log2,12,0.851888753095426,0.00598367866632812,0.854449506666294,0.8417414217023169,0.8591500443355403,0.8549425036573325,0.8491602891156462
78,11,6,log2,10,0.8523961603687281,0.00635981627325784,0.8563373116806886,0.8419025401327549,0.8600255663620521,0.8548409654798168,0.8488744181883281
228,1,3,log2,12,0.8521790257776495,0.006332929117557338,0.8549509461385807,0.8414756881798933,0.8602750761536331,0.8546191479184675,0.8495742704976728
