,params_1,mean_def,mean_test_score_1,mean_test_score_2,mean_test_score_3,mean_test_score_4
19,"{'learning_rate': 0.005, 'max_depth': 7, 'n_estimators': 100}",0.7414157748043422,0.8091561062280114,0.8496641736941886,0.82235033980885,0.4844924794863184
20,"{'learning_rate': 0.005, 'max_depth': 7, 'n_estimators': 200}",0.7365950311189241,0.8003237750087268,0.8523034736522046,0.8235947487625888,0.4701581270521766
21,"{'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 50}",0.7312767746644296,0.8052284467036136,0.834905504069592,0.8075278939680134,0.47744525391649956
22,"{'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 100}",0.7329315776439924,0.8091561062280114,0.8404630474391356,0.8130126879630204,0.46909446894580226
23,"{'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 200}",0.7302760046229892,0.8003237750087268,0.8436193976574012,0.8160242680926723,0.46113657773315686
24,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.7317430028313915,0.7875120116409962,0.8303431690532498,0.8003982408935936,0.5087185897377265
25,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7388697725633379,0.7993802973788148,0.841040398787757,0.8060080817141325,0.5090503123726471
26,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.747465407648335,0.8130867073787756,0.8514539549883127,0.8152231533527724,0.5100978148734795
27,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.7449099112667096,0.8103990414220213,0.8501131814550508,0.8214958174196235,0.49763160477014257
28,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.7424833204233404,0.8061566278764203,0.854217592181803,0.8226753435865296,0.4868837180486087
29,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.7420537393185229,0.8092559254160441,0.8583103266611332,0.8245540488092292,0.4760946563876851
30,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.7413014078811866,0.8091561062280114,0.8495327491062189,0.8220849102263531,0.4844318659641631
31,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.7369928712540583,0.8018173367691529,0.8523267785975239,0.8232584843359546,0.4705688853136021
32,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.736436963774248,0.8094585054184757,0.8551346278270359,0.8248585153081015,0.4562962065433793
33,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50}",0.7329865348736839,0.8091561062280114,0.8402240682989143,0.8128325175797498,0.4697334473880603
34,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.7304910018044171,0.8018173367691529,0.8437222377003764,0.8158048999266126,0.4606195328215261
35,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",0.7318718039313159,0.8086862304430874,0.8457371012722303,0.8192532859914202,0.45381059801852563
36,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 50}",0.7375828440783512,0.7931044355803437,0.8408337976692497,0.8060249190654262,0.510368223998385
37,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 100}",0.746693917920202,0.8112711355854425,0.8514088455725745,0.8151121555273647,0.5089835349954263
38,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 200}",0.7525204641339094,0.8248267382070199,0.8610220197433166,0.8262843815764201,0.49794871700888077
39,"{'learning_rate': 0.02, 'max_depth': 5, 'n_estimators': 50}",0.7419220265498957,0.8048321115778491,0.8542422017955177,0.8231367084608333,0.48547708436538256
40,"{'learning_rate': 0.02, 'max_depth': 5, 'n_estimators': 100}",0.7408795966292099,0.8074403536227109,0.8583393745440265,0.8247617809713693,0.47297687737873284
41,"{'learning_rate': 0.02, 'max_depth': 5, 'n_estimators': 200}",0.7431946668328725,0.8222439902573333,0.8624825395618719,0.8266972720380821,0.46135486547420257
42,"{'learning_rate': 0.02, 'max_depth': 7, 'n_estimators': 50}",0.7366634422350486,0.8006691219441405,0.8522953769260565,0.8234210666580014,0.4702682034119962
43,"{'learning_rate': 0.02, 'max_depth': 7, 'n_estimators': 100}",0.7368600765225016,0.8082053725863956,0.8551639462022821,0.8253180570297175,0.4587529302716114
44,"{'learning_rate': 0.02, 'max_depth': 7, 'n_estimators': 200}",0.7355542737551033,0.8111509211212695,0.8580010685217783,0.824511419209616,0.44855368616774927
45,"{'learning_rate': 0.02, 'max_depth': 10, 'n_estimators': 50}",0.7304451599160843,0.8006691219441405,0.8439282425861586,0.8158953604732133,0.46128791466082425
46,"{'learning_rate': 0.02, 'max_depth': 10, 'n_estimators': 100}",0.7314244032889226,0.807422899972937,0.8458292769843775,0.8189084420227258,0.45353699417564997
47,"{'learning_rate': 0.02, 'max_depth': 10, 'n_estimators': 200}",0.7300251315030111,0.8106190750742269,0.8487221969471243,0.819170707899088,0.4415885460916053
