param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_all_datasets_test_score,std_all_datasets_test_score
95,8,5,7,0.05531723222783038,0.7500478354169064,0.8925622312771532,0.029887128065273123
114,8,5,8,0.06165857377341247,0.7556818649728467,0.8901736403647101,0.0313172059817082
103,8,5,1,0.07199067862764423,0.7522819848102624,0.8639459518186555,0.016568640744064805
84,8,5,1,0.06963243053372101,0.7509013495491113,0.8602662402268431,0.017316386757503428
146,1,5,1,0.054847957162380896,0.8331522420417692,0.8651171025187049,0.016927771868232702
123,7,5,5,0.053601237503025145,0.7555988078278868,0.8932158641784019,0.028686353001023256
107,8,5,4,0.057179677305673506,0.7557540824693539,0.8916165895140106,0.02731335176334974
42,10,2,8,0.48987281288500106,0.9873297056039203,0.8674336093229504,0.037129745971384735
114,8,5,5,0.051022339647405816,0.7558904582018054,0.8928246677594422,0.02841980829684614
103,7,5,5,0.05677237295858805,0.7558722420154671,0.8929948857829958,0.028414353415282124
117,7,5,4,0.05806291297883431,0.7558539964235694,0.8920923102077843,0.027491739997815116
113,9,5,5,0.05591353483148052,0.7555908304525623,0.8931522251946648,0.02862963034635734
105,8,5,5,0.05736635700104471,0.7556818649728467,0.8928917314649165,0.028414724539080425
125,6,5,5,0.0512171903126236,0.7555988078278868,0.8932903544038846,0.028668874135460886
123,5,5,5,0.051244167056954004,0.7555988078278868,0.8933179708340615,0.028594030497518394
120,6,5,5,0.05471203087279697,0.7553397605194728,0.8928225591975497,0.028536208612892612
49,7,4,4,0.16795316715785522,0.8449817389750301,0.8918854941866684,0.027584461540002266
125,5,5,5,0.05470365212554518,0.7555854605267013,0.8927010821623338,0.028371467510413605
123,5,5,5,0.054888018176628604,0.7554795925541792,0.8930991837835199,0.02884187058413332
121,6,5,5,0.054841584176716335,0.755205794703552,0.8930553001952877,0.028632565706552288
119,7,1,7,0.13151793278160637,0.9443518904621883,0.8864409232972374,0.03357583890867098
129,1,5,5,0.0515792600948508,0.7555854605267013,0.8932777946917483,0.028921618994452843
144,5,5,4,0.05131125470322051,0.7555988078278868,0.8923361265379185,0.027619608307931753
131,5,5,4,0.05005806710658889,0.7555988078278868,0.8918465817441279,0.027035169130667173
128,5,2,5,0.05207060121931419,0.7555988078278868,0.8929100410049754,0.028674743237767798
130,5,1,5,0.05351582510750826,0.7555988078278868,0.893143934118944,0.028828949693325057
98,2,5,8,0.41934520431559175,0.8496085646549193,0.8655336034626184,0.04083157885074728
142,1,1,5,0.05333015519361481,0.8881299539235012,0.8931105789639198,0.028934507720985027
14,9,2,4,0.07822082841050557,0.9897456804658684,0.8756156086151323,0.026057735024539074
125,2,1,5,0.0508951454525906,0.7555988078278868,0.8927412222804681,0.028551720783166624
124,2,1,5,0.051244167056954004,0.7555988078278868,0.8928752403891866,0.028431582831307506
122,1,1,5,0.05125577809095927,0.7555988078278868,0.8925777909978375,0.02847430937322486
123,4,1,5,0.05101945241140154,0.7555988078278868,0.8927076290396757,0.028424193778145923
146,10,5,3,0.15468214677339448,0.9762370863874817,0.8919725275542797,0.02840874971386954
144,2,2,8,0.18345031927881345,0.808355063867024,0.879064729332429,0.03689473235661231
121,3,1,5,0.05115779973780934,0.7555988078278868,0.8927621323873826,0.028395983847102894
48,9,4,1,0.3603957192849877,0.8447642240193571,0.873310965960426,0.016684771473568862
73,2,2,6,0.21843328249441224,0.8261171018443298,0.8822729970821035,0.03267076446377192
123,6,5,5,0.05131125470322051,0.7556220529122868,0.8929985461685863,0.028548409900976804
121,6,5,5,0.051747287225096326,0.7556120799048885,0.893108285123794,0.028569777742423228
86,9,4,3,0.1422156591318658,0.8206749127363842,0.8914082167280108,0.02712181529309174
123,6,5,7,0.051244167056954004,0.7555988078278868,0.8921864592719784,0.030065892061301468
84,4,1,6,0.06360586610269217,0.9805278654417983,0.8922287923456498,0.02956706009343616
121,5,5,7,0.0512171903126236,0.7555988078278868,0.8922683002330869,0.030298887695627257
123,6,5,5,0.0509407158216467,0.7556559635143193,0.8931300654354638,0.028662555616216678
120,5,5,5,0.051244167056954004,0.7555988078278868,0.8933358607134301,0.028562101698513555
120,5,5,5,0.0512171903126236,0.7555988078278868,0.8932261903372053,0.028562765262132177
32,10,3,8,0.12221043974942047,0.9152793778770248,0.8883885483253209,0.030443397505354117
15,3,4,1,0.2481186887732713,0.7649860745623933,0.8515264172675554,0.019462260559281686
120,5,5,5,0.05122221712550765,0.7527444190442307,0.8929648266754826,0.028421019229236767
104,9,4,8,0.0774853416800543,0.8822349822577208,0.8893442222642041,0.03145414194467552
120,5,5,5,0.05114661793297576,0.7555908304525623,0.893324941215703,0.028737086075917143
120,5,5,5,0.051196287578568964,0.7556120799048885,0.8931891951176281,0.028727705162145074
63,5,2,8,0.1870008639563202,0.9948817323338647,0.8830108540663948,0.033292503385337735
119,5,5,5,0.05124318921205196,0.7555988078278868,0.8932541851988244,0.02850983343125457
119,5,5,5,0.05124222158589009,0.7555988078278868,0.8932629498349071,0.028523763250368456
122,5,5,5,0.05024430945449448,0.7555988078278868,0.8932713233098765,0.028605671442188212
122,5,5,5,0.05024081104867516,0.7555988078278868,0.8932807918097602,0.028762316128414785
44,6,3,1,0.43792816813304325,0.7922563515322903,0.8733502309977732,0.016970837537411777
122,6,5,5,0.05009191226952214,0.7555908304525623,0.8930571013514589,0.028570414810293102
122,5,5,5,0.050417728639627665,0.7555908304525623,0.893196608006533,0.028580204636982905
120,5,4,5,0.05101305873492954,0.7555908304525623,0.893065673703985,0.028685498910104554
47,2,2,1,0.08623940156232984,0.7665373655292387,0.8534618169104862,0.018745579357225754
120,5,5,5,0.050944933356074695,0.7555854605267013,0.8930938739012999,0.028610991160077755
120,5,5,5,0.052331300416244744,0.75558893105098,0.8933474520537228,0.028763520951774355
119,6,1,7,0.07952219024446655,0.8641023913347666,0.8899345201124736,0.031082091974174428
120,5,5,5,0.0523543272406586,0.7555988078278868,0.8931607802370166,0.028645018051497044
59,6,3,2,0.11901599503670558,0.9453699000586653,0.8825756071238621,0.023189247497850427
120,5,5,5,0.051358725802710795,0.7555988078278868,0.8930544496842245,0.028780764601854945
65,9,1,8,0.3879597419853793,0.9695931238449985,0.8709967795287341,0.03872614397325381
119,3,5,3,0.052331300416244744,0.75558893105098,0.8885234035860308,0.025245893868179565
122,4,5,3,0.051244167056954004,0.7555988078278868,0.8885803976815472,0.025329953940589872
122,5,5,3,0.05126128869895219,0.7555988078278868,0.8887175084911323,0.02546816933157029
121,5,5,5,0.051244167056954004,0.7555988078278868,0.8933481511458499,0.0285792843837195
124,1,5,5,0.0512171903126236,0.7512707329282243,0.8933717693659811,0.02852211070250064
124,1,5,5,0.05122221712550765,0.750468820834785,0.8932355956773035,0.028783015923431122
127,3,5,5,0.05113114584863063,0.751107782677686,0.8934331830752551,0.02863537308438839
141,5,5,5,0.05113247985051757,0.7510768711068462,0.8934724257597582,0.028722955772226545
130,3,5,5,0.05113626288340502,0.750350413475464,0.8934353086212472,0.02888561420165252
129,4,5,5,0.05113114584863063,0.750913801231114,0.8932314290334202,0.02884264234992207
139,5,5,5,0.051244167056954004,0.7500278481377511,0.8933875335831726,0.029000614187449796
138,5,5,5,0.051244167056954004,0.7507985322269817,0.8931945271350867,0.02907383609005037
146,5,5,5,0.0512171903126236,0.7510859670769979,0.8932950637041805,0.02908687500727489
136,5,5,5,0.05122221712550765,0.7505134396683374,0.8933403123438979,0.028870719903120175
144,5,5,5,0.05124318921205196,0.7509908697352976,0.8934433269251111,0.0288539984551113
144,1,5,8,0.051052629874162155,0.7510711501475162,0.8907427706024436,0.03142673663806468
