theta,score_credit-g,score_Phoneme,score_diabetes,score_kc2
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10},0.76125,0.8875801898896587,0.7799841353781067,0.8631823461091754
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100},0.7562500000000001,0.8915094944829356,0.7751983077736647,0.8632984901277585
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100},0.7650000000000001,0.8947529082199981,0.7734796404019038,0.853658536585366
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.7562500000000001,0.8915143058763151,0.7702538339502907,0.8537166085946574
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10},0.76625,0.8859603541185527,0.7799576943416182,0.8608013937282231
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100},0.7562500000000001,0.890820396031135,0.7751454257006875,0.8537166085946574
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100},0.7612500000000001,0.8926695748866649,0.7718667371760972,0.8560975609756099
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None},0.7550000000000001,0.890818792233342,0.7784769962982548,0.8559814169570267
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10},0.75625,0.8845714652296637,0.7751454257006875,0.8584785133565622
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.76125,0.8942904798562997,0.7768112109994711,0.8489547038327526
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100},0.76375,0.8935922932170044,0.7669751454257007,0.841637630662021
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100},0.76625,0.8935960354118553,0.7751718667371762,0.853658536585366
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100},0.7562500000000001,0.8917457873577964,0.7751454257006875,0.8537166085946574
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None},0.7562500000000001,0.8910502737148235,0.7718402961396086,0.8512775842044134
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10},0.7562500000000001,0.8852659096741082,0.7734531993654151,0.8584785133565622
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.7587500000000001,0.8915121674792574,0.7800105764145954,0.8584785133565622
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100},0.7675000000000001,0.9028494140792063,0.7735060814383925,0.8608013937282231
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100},0.76375,0.8963727439911041,0.7816234796404019,0.8584204413472707
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10},0.7675,0.891052412111881,0.7767318878900052,0.8583042973286876
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None},0.75875,0.8991473141732955,0.7783712321523004,0.8608013937282231
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10},0.7662500000000001,0.8885029082199983,0.7636964569011107,0.8560394889663183
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10},0.76625,0.8871182961252245,0.7783447911158117,0.8584204413472707
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100},0.7625,0.9028499486784707,0.7767847699629826,0.8583623693379792
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10},0.7612500000000001,0.8845725344281925,0.7767847699629825,0.853658536585366
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.7612500000000001,0.8910486699170302,0.7800634584875727,0.8488385598141696
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10},0.75375,0.8859587503207595,0.7848757271285034,0.8537166085946574
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100},0.76375,0.9026136558036095,0.7751718667371761,0.8441347270615562
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None},0.7437500000000001,0.8912822897955692,0.7703331570597567,0.8560394889663183
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None},0.765,0.8979925797622101,0.7799841353781067,0.8584204413472707
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None},0.7600000000000001,0.890357433068172,0.7718667371760972,0.8560975609756097
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10},0.7525000000000001,0.8885055812163204,0.7702538339502908,0.8344947735191639
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100},0.7625,0.8947502352236762,0.7621364357482813,0.8537166085946574
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100},0.7637499999999999,0.8970650500384911,0.7767318878900052,0.8608013937282231
