iter	Passed	Remaining
305	34402	78023
306	34508	77898
307	34615	77772
308	34723	77650
309	34833	77531
310	34946	77422
311	35059	77310
312	35165	77185
313	35293	77105
314	35399	76979
315	35505	76852
316	35609	76723
317	35715	76596
318	35822	76474
319	35934	76361
320	36046	76247
321	36153	76124
322	36280	76042
323	36382	75909
324	36487	75781
325	36597	75665
326	36708	75549
327	36818	75432
328	36925	75309
329	37033	75189
330	37141	75068
331	37258	74966
332	37372	74856
333	37481	74739
334	37593	74626
335	37701	74505
336	37813	74392
337	37923	74276
338	38041	74175
339	38143	74043
340	38260	73940
341	38366	73816
342	38475	73698
343	38585	73581
344	38693	73462
345	38805	73349
346	38915	73232
347	39029	73123
348	39135	73000
349	39258	72908
350	39371	72798
351	39478	72677
352	39592	72567
353	39702	72451
354	39824	72357
355	39935	72242
356	40047	72129
357	40170	72036
358	40287	71934
359	40397	71817
360	40508	71703
361	40619	71589
362	40754	71517
363	40876	71420
364	41026	71374
365	41172	71321
366	41304	71242
367	41483	71242
368	41595	71128
369	41705	71011
370	41819	70901
371	41926	70778
372	42038	70665
373	42147	70546
374	42271	70451
375	42382	70336
376	42492	70219
377	42609	70114
378	42722	70001
379	42840	69897
380	42958	69793
381	43072	69683
382	43193	69583
383	43304	69468
384	43414	69350
385	43532	69246
386	43638	69123
387	43752	69011
388	43860	68890
389	43977	68784
390	44087	68668
391	44216	68580
392	44328	68467
393	44437	68348
394	44550	68235
395	44664	68125
396	44771	68003
397	44879	67883
398	44987	67763
399	45102	67653
400	45219	67547
401	45324	67423
402	45429	67298
403	45537	67179
404	45644	67058
405	45758	66947
406	45866	66828
407	45978	66714
408	46080	66586
409	46198	66481
410	46308	66364
411	46413	66240
412	46529	66133
413	46641	66019
414	46759	65914
415	46890	65826
416	47016	65732
417	47142	65638
418	47259	65531
419	47365	65410
420	47475	65293
421	47583	65173
422	47693	65057
423	47801	64938
424	47913	64824
425	48031	64718
426	48149	64612
427	48261	64498
428	48371	64383
429	48483	64269
430	48595	64155
431	48699	64031
432	48808	63913
433	48909	63785
434	49017	63666
435	49124	63546
436	49247	63447
437	49354	63327
438	49461	63206
439	49564	63081
440	49669	62959
441	49782	62847
442	49942	62794
443	50054	62680
444	50176	62579
445	50286	62462
446	50391	62340
447	50495	62217
448	50598	62093
449	50707	61975
450	50819	61862
451	50924	61739
452	51033	61623
453	51153	61518
454	51265	61405
455	51367	61280
456	51477	61164
457	51587	61048
458	51697	60933
459	51800	60809
460	51902	60684
461	52016	60573
462	52130	60461
463	52241	60348
464	52346	60226
465	52456	60111
466	52572	60002
467	52680	59884
468	52798	59777
469	52907	59661
470	53012	59540
471	53127	59431
472	53237	59315
473	53344	59196
474	53449	59075
475	53559	58960
476	53666	58841
477	53777	58727
478	53886	58611
479	53997	58497
480	54118	58393
481	54238	58289
482	54340	58165
483	54446	58046
484	54558	57933
485	54668	57818
486	54783	57708
487	54889	57588
488	55006	57481
489	55125	57375
490	55234	57259
491	55347	57147
492	55460	57035
493	55572	56922
494	55682	56807
495	55793	56693
496	55909	56584
497	56023	56473
498	56144	56369
499	56254	56254
500	56369	56144
501	56488	56038
502	56597	55922
503	56710	55809
504	56826	55701
505	56939	55589
506	57066	55490
507	57201	55399
508	57330	55302
509	57454	55201
510	57587	55108
511	57705	55000
512	57821	54891
513	57939	54783
514	58053	54671
515	58178	54570
516	58288	54455
517	58396	54338
518	58509	54225
519	58622	54113
520	58734	54000
521	58906	53941
522	59015	53825
523	59138	53720
524	59261	53617
525	59373	53503
526	59480	53385
527	59589	53269
528	59701	53155
529	59816	53044
530	59931	52933
531	60039	52817
532	60156	52707
533	60261	52587
534	60372	52473
535	60479	52355
536	60590	52241
537	60699	52125
538	60810	52010
539	60915	51890
540	61023	51774
541	61135	51660
542	61240	51541
543	61346	51422
544	61456	51307
545	61560	51187
546	61665	51068
547	61772	50951
548	61879	50833
549	61986	50716
550	62120	50620
551	62228	50504
552	62341	50391
553	62448	50274
554	62560	50161
555	62669	50045
556	62775	49927
557	62883	49810
558	62985	49689
559	63115	49590
560	63229	49479
561	63338	49363
562	63446	49247
563	63552	49129
564	63660	49012
565	63769	48897
566	63873	48777
567	63981	48661
568	64096	48551
569	64201	48432
570	64310	48317
571	64415	48199
572	64526	48084
573	64633	47968
574	64740	47851
575	64852	47738
576	64967	47627
577	65092	47523
578	65199	47407
579	65311	47294
580	65422	47180
581	65536	47068
582	65636	46947
583	65747	46833
584	65856	46718
585	65965	46603
586	66093	46502
587	66201	46386
588	66304	46267
589	66414	46152
590	66524	46037
591	66630	45920
592	66735	45803
593	66842	45687
594	66942	45566
595	67064	45459
596	67172	45344
597	67280	45228
598	67392	45115
599	67557	45038
600	67668	44924
601	67780	44811
602	67891	44698
603	68010	44589
604	68123	44477
605	68228	44359
606	68339	44246
607	68445	44129
608	68555	44015
609	68663	43899
610	68776	43787
611	68887	43673
612	69005	43564
613	69115	43450
614	69220	43333
615	69330	43218
616	69438	43103
617	69542	42985
618	69648	42869
619	69758	42755
620	69864	42638
621	69985	42531
622	70111	42427
623	70222	42313
624	70331	42198
625	70440	42084
626	70546	41967
627	70649	41849
628	70755	41733
629	70888	41632
630	71021	41532
631	71155	41432
632	71279	41326
633	71400	41218
634	71522	41111
635	71638	41000
636	71754	40889
637	71862	40774
638	71970	40659
639	72085	40547
640	72192	40432
641	72300	40316
642	72405	40200
643	72513	40085
644	72617	39967
645	72724	39851
646	72837	39739
647	72953	39628
648	73084	39526
649	73193	39411
650	73300	39296
651	73415	39184
652	73536	39077
653	73670	38975
654	73796	38870
655	73917	38761
656	74052	38660
657	74163	38546
658	74269	38431
659	74380	38317
660	74494	38205
661	74618	38098
662	74738	37989
663	74846	37873
664	74956	37760
665	75080	37652
666	75186	37536
667	75294	37421
668	75396	37303
669	75505	37189
670	75619	37077
671	75727	36962
672	75835	36847
673	75939	36730
674	76056	36619
675	76170	36507
676	76282	36394
677	76386	36278
678	76489	36160
679	76593	36044
680	76752	35953
681	76873	35844
682	76996	35736
683	77119	35628
684	77230	35514
685	77341	35401
686	77452	35287
687	77565	35174
688	77728	35084
689	77853	34977
690	77975	34868
691	78101	34761
692	78220	34651
693	78338	34541
694	78451	34428
695	78557	34312
696	78670	34199
697	78780	34085
698	78897	33974
699	79019	33865
700	79134	33753
701	79241	33638
702	79354	33525
703	79466	33411
704	79573	33296
705	79681	33181
706	79788	33066
707	79904	32954
708	80028	32846
709	80134	32730
710	80238	32614
711	80349	32501
712	80450	32383
713	80556	32267
714	80661	32151
715	80769	32037
716	80872	31920
717	80989	31809
718	81098	31695
719	81211	31582
720	81315	31465
721	81419	31349
722	81527	31235
723	81629	31118
724	81741	31005
725	81851	30891
726	81960	30777
727	82066	30662
728	82180	30549
729	82294	30437
730	82404	30324
731	82511	30209
732	82615	30093
733	82719	29977
734	82832	29864
735	82945	29752
736	83056	29638
737	83168	29526
738	83274	29410
739	83385	29297
740	83488	29181
741	83594	29066
742	83753	28970
743	83866	28857
744	83996	28750
745	84110	28638
746	84222	28525
747	84330	28410
748	84442	28297
749	84554	28184
750	84664	28071
751	84773	27957
752	84887	27844
753	85007	27734
754	85126	27623
755	85235	27509
756	85346	27396
757	85454	27282
758	85565	27168
759	85684	27058
760	85792	26943
761	85905	26831
762	86018	26718
763	86130	26605
764	86246	26493
765	86357	26380
766	86471	26268
767	86581	26154
768	86707	26046
769	86844	25940
770	86989	25837
771	87119	25729
772	87240	25619
773	87352	25505
774	87465	25393
775	87580	25281
776	87699	25169
777	87820	25059
778	87949	24950
779	88070	24840
780	88189	24729
781	88299	24615
782	88409	24501
783	88515	24386
784	88631	24274
785	88740	24160
786	88846	24046
787	88966	23935
788	89075	23821
789	89189	23708
790	89301	23595
791	89413	23482
792	89522	23368
793	89639	23256
794	89748	23142
795	89880	23034
796	90019	22928
797	90143	22818
798	90264	22707
799	90370	22592
800	90474	22477
801	90582	22363
802	90694	22250
803	90805	22136
804	90931	22026
805	91039	21912
806	91149	21799
807	91251	21683
808	91360	21569
809	91469	21455
810	91574	21341
811	91681	21226
812	91798	21114
813	91919	21003
814	92033	20890
815	92145	20777
816	92256	20664
817	92356	20548
818	92460	20433
819	92567	20319
820	92666	20203
821	92774	20089
822	92898	19979
823	93010	19866
824	93123	19753
825	93286	19651
826	93396	19537
827	93502	19423
828	93614	19310
829	93726	19197
830	93838	19083
831	93955	18971
832	94069	18859
833	94172	18744
834	94282	18630
835	94387	18516
836	94492	18401
837	94603	18288
838	94710	18174
839	94831	18063
840	94949	17951
841	95048	17835
842	95157	17722
843	95257	17606
844	95368	17493
845	95475	17379
846	95575	17264
847	95690	17152
848	95820	17042
849	95981	16937
850	96119	16829
851	96257	16720
852	96389	16611
853	96531	16503
854	96659	16392
855	96780	16280
856	96922	16172
857	97052	16062
858	97180	15951
859	97313	15841
860	97448	15732
861	97588	15623
862	97728	15514
863	97871	15405
864	98007	15296
865	98144	15186
866	98285	15077
867	98424	14967
868	98563	14858
869	98710	14749
870	98872	14643
871	99029	14536
872	99175	14427
873	99330	14320
874	99457	14208
875	99581	14095
876	99709	13984
877	99840	13873
878	99965	13760
879	100081	13647
880	100199	13534
881	100306	13419
882	100418	13305
883	100525	13191
884	100635	13076
885	100745	12962
886	100864	12849
887	100975	12735
888	101084	12621
889	101193	12507
890	101304	12392
891	101416	12279
892	101547	12167
893	101667	12054
894	101798	11942
895	101922	11830
896	102034	11716
897	102151	11602
898	102268	11489
899	102379	11375
900	102545	11267
901	102656	11153
902	102777	11040
903	102906	10928
904	103025	10814
905	103148	10701
906	103270	10588
907	103386	10475
908	103497	10361
909	103613	10247
910	103723	10133
911	103845	10020
912	103954	9905
913	104062	9791
914	104175	9677
915	104285	9563
916	104402	9449
917	104512	9335
918	104623	9221
919	104729	9106
920	104865	8995
921	104972	8880
922	105076	8765
923	105184	8651
924	105290	8537
925	105404	8423
926	105515	8309
927	105621	8194
928	105728	8080
929	105844	7966
930	105956	7852
931	106070	7739
932	106194	7625
933	106318	7512
934	106429	7398
935	106550	7285
936	106662	7171
937	106774	7057
938	106904	6944
939	107023	6831
940	107155	6718
941	107278	6605
942	107388	6491
943	107499	6377
944	107603	6262
945	107714	6148
946	107831	6034
947	107941	5920
948	108054	5806
949	108166	5692
950	108276	5578
951	108383	5464
952	108505	5351
953	108619	5237
954	108739	5123
955	108871	5010
956	108974	4896
957	109079	4782
958	109189	4668
959	109293	4553
960	109399	4439
961	109507	4325
962	109616	4211
963	109730	4097
964	109851	3984
965	109968	3870
966	110070	3756
967	110178	3642
968	110283	3528
969	110387	3414
970	110493	3300
971	110608	3186
972	110713	3072
973	110834	2958
974	110938	2844
975	111052	2730
976	111161	2616
977	111265	2502
978	111373	2389
979	111479	2275
980	111581	2161
981	111695	2047
982	111813	1933
983	111987	1820
984	112109	1707
985	112220	1593
986	112332	1479
987	112444	1365
988	112546	1251
989	112648	1137
990	112768	1024
991	112878	910
992	112990	796
993	113101	682
994	113212	568
995	113322	455
996	113426	341
997	113537	227
998	113644	113
999	113765	0
