,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
12,0.5748998880386352,0.10895886201369465,0.04924986362457275,0.06042298817736224,17,27,60,"{'model__max_depth': 17, 'model__min_samples_leaf': 27, 'model__min_samples_split': 60}",0.8947582954027116,0.8851806112248759,0.891684457197861,0.8871831800377511,0.8982690752681917,0.8880505820867839,0.8841275729593624,0.9120632530668209,0.9120711330295305,0.8955298790001419,0.894891803927403,0.009635907552523878,16
13,0.44734897613525393,0.047693662389141675,0.034400653839111325,0.020361586137127685,10,28,17,"{'model__max_depth': 10, 'model__min_samples_leaf': 28, 'model__min_samples_split': 17}",0.8936100651209735,0.8902672774386398,0.8905485302657246,0.8865921828345317,0.8905394380010595,0.8953462152539106,0.8800821213344535,0.9084493809380066,0.9023163453460334,0.8860714991447209,0.8923823055678055,0.007765351114274172,26
14,0.49398653507232665,0.02935449228614368,0.03050680160522461,0.008596926243364729,15,47,52,"{'model__max_depth': 15, 'model__min_samples_leaf': 47, 'model__min_samples_split': 52}",0.8948007550539118,0.88672856879434,0.9045530424536021,0.8954347132966491,0.9048852131893603,0.8854629235631494,0.8879463241186262,0.909172519054356,0.910116296126574,0.8948352299797424,0.8973935585630312,0.008777426199378515,6
15,0.5136312246322632,0.07884664478518379,0.05653836727142334,0.04689964815132966,12,55,53,"{'model__max_depth': 12, 'model__min_samples_leaf': 55, 'model__min_samples_split': 53}",0.889875435514708,0.8845315851279613,0.9013859035953239,0.8935647375305651,0.9013034670623621,0.8916571804038663,0.8828667789258278,0.907077055124582,0.9078759621131393,0.8908576672643316,0.8950995772662667,0.008399507322872585,15
16,0.7555985689163208,0.04213712781055541,0.035999178886413574,0.012159623357622324,25,3,38,"{'model__max_depth': 25, 'model__min_samples_leaf': 3, 'model__min_samples_split': 38}",0.8812888809091703,0.886337333436854,0.8908176612998059,0.8832244080026477,0.8920954275607149,0.8766537314048034,0.8652750652521528,0.8914632120910148,0.8876529470454384,0.8797232799556782,0.8834531946958281,0.007838150704105259,37
17,0.7529649496078491,0.0945014100732367,0.030750131607055663,0.007383471328439411,19,7,22,"{'model__max_depth': 19, 'model__min_samples_leaf': 7, 'model__min_samples_split': 22}",0.8795425761119575,0.8790039451081628,0.8857375099560297,0.8802918495727241,0.8773011006489452,0.8745515998142752,0.8519712635944512,0.8727149623519628,0.8820066506885268,0.8728858969276632,0.8756007354774699,0.008780423367145827,38
18,0.4795995235443115,0.03807399281365192,0.04230010509490967,0.01903835501523778,9,39,19,"{'model__max_depth': 9, 'model__min_samples_leaf': 39, 'model__min_samples_split': 19}",0.8937908219217965,0.8920348120614524,0.9014101496344303,0.8838481373586607,0.8887118928034119,0.8926864247639346,0.880969526365749,0.9068430808472051,0.8981981556038052,0.8889337440612357,0.8927426745421683,0.007441684384877896,24
19,0.2577264070510864,0.017340523810214444,0.036692142486572266,0.005551696885190287,4,25,15,"{'model__max_depth': 4, 'model__min_samples_leaf': 25, 'model__min_samples_split': 15}",0.850723997709605,0.8393581556498025,0.8602846242530705,0.8359343271784763,0.8496975912772449,0.8601397541694096,0.8479409657439838,0.8652223301170963,0.8604870786796093,0.8522288777599569,0.8522017702538255,0.0090704106109599,45
20,0.5758108615875244,0.01812306935018997,0.041049838066101074,0.024628663699185465,18,58,10,"{'model__max_depth': 18, 'model__min_samples_leaf': 58, 'model__min_samples_split': 10}",0.8917703490911209,0.8907980230786401,0.906226625302924,0.8942636296078083,0.9030406957643381,0.8896423345541215,0.8832274387575361,0.9064866640723406,0.9081632776765507,0.8896296053835904,0.8963248643288969,0.008385231015521785,13
21,0.5665496349334717,0.10291004616075292,0.033396434783935544,0.01339569450959113,26,53,3,"{'model__max_depth': 26, 'model__min_samples_leaf': 53, 'model__min_samples_split': 3}",0.8917388076359437,0.889584283620765,0.9051828333193919,0.8954480486181576,0.9062860280987347,0.8883609313873462,0.8884924661494987,0.910886714019181,0.9105175680737856,0.8889119226260401,0.8975409603548844,0.009073799384640403,4
