theta,score,theta,score,theta,score,theta,score
"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.999999), ('n_estimators', 2000)])",0.69875,"OrderedDict([('max_depth', 57), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.8380848515952442,"OrderedDict([('max_depth', 42), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1631)])",0.7816499206768904,"OrderedDict([('max_depth', 94), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 150)])",0.8584204413472707
"OrderedDict([('max_depth', 99), ('max_features', 'auto'), ('min_samples_leaf', 0.004555737994028121), ('min_samples_split', 0.2828534962760089), ('n_estimators', 1115)])",0.6987500000000001,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 0.999999), ('min_samples_split', 0.061990451917815444), ('n_estimators', 469)])",0.7057603070738174,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.64169751454257,"OrderedDict([('max_depth', 77), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 453)])",0.8536004645760743
"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.999999), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.69875,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 0.17766623457395525), ('min_samples_split', 1e-06), ('n_estimators', 457)])",0.7057603070738174,"OrderedDict([('max_depth', 79), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 2000)])",0.7718402961396087,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1299)])",0.8584204413472707
"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 0.8755030221438141), ('min_samples_split', 1e-06), ('n_estimators', 921)])",0.69875,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.036627190956206), ('n_estimators', 501)])",0.7462423017705928,"OrderedDict([('max_depth', 8), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.999999), ('n_estimators', 1126)])",0.6531200423056583,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 0.7007661438364932), ('min_samples_split', 1e-06), ('n_estimators', 1079)])",0.8033681765389084
"OrderedDict([('max_depth', 5), ('max_features', 'auto'), ('min_samples_leaf', 0.8416243382767118), ('min_samples_split', 0.038702947086821926), ('n_estimators', 1978)])",0.69875,"OrderedDict([('max_depth', 79), ('max_features', 'sqrt'), ('min_samples_leaf', 0.06458135643046767), ('min_samples_split', 0.05728320404434237), ('n_estimators', 1926)])",0.7941210118894877,"OrderedDict([('max_depth', 43), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 2000)])",0.7800105764145954,"OrderedDict([('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.09733616987184766), ('n_estimators', 1594)])",0.8344367015098723
"OrderedDict([('max_depth', 89), ('max_features', 'auto'), ('min_samples_leaf', 0.3596210939422664), ('min_samples_split', 0.020647979525529735), ('n_estimators', 7)])",0.69875,"OrderedDict([('max_depth', 72), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 485)])",0.9023843127191856,"OrderedDict([('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1155)])",0.7750661025912216,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.40550586006084893), ('n_estimators', 1193)])",0.8369337979094077
"OrderedDict([('max_depth', 32), ('max_features', 'auto'), ('min_samples_leaf', 0.002583065673943473), ('min_samples_split', 0.18026644721147084), ('n_estimators', 229)])",0.7125,"OrderedDict([('max_depth', 91), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 469)])",0.9021560388332904,"OrderedDict([('max_depth', 28), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1478)])",0.7783712321523003,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 0.999999), ('min_samples_split', 0.999999), ('n_estimators', 1822)])",0.8033681765389084
"OrderedDict([('max_depth', 82), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.6951692999549139), ('n_estimators', 22)])",0.69875,"OrderedDict([('max_depth', 85), ('max_features', 'auto'), ('min_samples_leaf', 0.14794250612268456), ('min_samples_split', 1e-06), ('n_estimators', 450)])",0.7700603027970234,"OrderedDict([('max_depth', 51), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.25617148018070074), ('n_estimators', 2000)])",0.757297726070862,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.018628364184223922), ('min_samples_split', 0.6210958258865639), ('n_estimators', 1652)])",0.7914053426248547
"OrderedDict([('max_depth', 71), ('max_features', 'auto'), ('min_samples_leaf', 0.02712982704106425), ('min_samples_split', 0.10522292249423541), ('n_estimators', 83)])",0.7262500000000001,"OrderedDict([('max_depth', 83), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.3549750972763653), ('n_estimators', 1901)])",0.7788544606962621,"OrderedDict([('max_depth', 56), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1742)])",0.7783976731887889,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.41991340673843697), ('n_estimators', 2000)])",0.8490127758420443
"OrderedDict([('max_depth', 3), ('max_features', 'auto'), ('min_samples_leaf', 0.0018746096917984718), ('min_samples_split', 0.05675345643914238), ('n_estimators', 1)])",0.7,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.8401681849285774,"OrderedDict([('max_depth', 30), ('max_features', 'auto'), ('min_samples_leaf', 0.999999), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.6531200423056583,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 985)])",0.8536004645760743
