theta,score_credit-g,score_Phoneme,score_diabetes,score_kc2
"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 0.25}",0.735,0.8834156616200495,0.7702009518773135,0.8488385598141696
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 3, 'learning_rate': 0.5}",0.75125,0.8663047429646739,0.748995240613432,0.8560394889663183
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 8, 'learning_rate': 0.5}",0.7449999999999999,0.8977589598836712,0.7588841882601798,0.8392566782810684
"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.5}",0.7312500000000001,0.8938301898896587,0.7636700158646219,0.8322299651567944
"{'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.01}",0.755,0.8785636386964331,0.7685616076150185,0.8487804878048781
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 7, 'learning_rate': 0.5}",0.7350000000000001,0.8859598195192884,0.7426229508196721,0.8415795586527294
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.5}",0.735,0.8753212941578992,0.7687995769434162,0.8440766550522648
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.5}",0.7224999999999999,0.8767016294585579,0.7606292966684294,0.8537166085946574
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.25}",0.75875,0.8651441279616799,0.7652829190904284,0.8584204413472707
"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 1}",0.73125,0.8750882088786245,0.7637493389740877,0.8440766550522648
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 3, 'learning_rate': 0.25}",0.7500000000000001,0.868614746386109,0.7540719196192491,0.8225900116144018
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 1}",0.7262500000000001,0.8693091908305535,0.763802221047065,0.8415795586527294
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 7, 'learning_rate': 0.25}",0.7337499999999999,0.8915164442733726,0.7605499735589636,0.8464576074332172
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.1}",0.7525000000000001,0.8690782439483364,0.7637493389740878,0.8608594657375145
"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.25}",0.7237500000000001,0.8938264476948079,0.7653093601269167,0.8510452961672474
"{'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 6, 'learning_rate': 0.5}",0.73,0.888506650414849,0.7491274457958751,0.8465737514518002
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.25}",0.745,0.8933602771362585,0.7588313061872025,0.8488385598141696
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 1}",0.7325,0.8706927337267985,0.7524590163934426,0.8249128919860628
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.5}",0.7362500000000001,0.8924348858095973,0.757218402961396,0.8486643437862951
"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 4, 'learning_rate': 0.25}",0.7474999999999999,0.881336070481567,0.754071919619249,0.8344947735191637
"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 1}",0.7374999999999999,0.878325742023779,0.7442358540454787,0.7799070847851335
"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 0.25}",0.74375,0.8780990719356769,0.7701745108408249,0.8463995354239258
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 0.25}",0.7362500000000001,0.8815680865623129,0.7557112638815442,0.8272357723577237
"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 1}",0.74875,0.8693059832349672,0.7573506081438394,0.8490127758420443
"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.01}",0.74,0.8713909203660937,0.7684558434690638,0.8512775842044136
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 8, 'learning_rate': 0.01}",0.7525,0.8896608502266702,0.7605235325224748,0.8488966318234612
"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.1}",0.74,0.8706948721238559,0.7588841882601798,0.8560394889663183
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.25}",0.7325,0.8716149174578737,0.7540190375462718,0.841637630662021
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 8, 'learning_rate': 0.01}",0.74375,0.8702303053630998,0.7491803278688525,0.8367595818815332
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.25}",0.7275,0.8954468180651782,0.7603913273400316,0.8488385598141696
"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 6, 'learning_rate': 0.1}",0.71875,0.8945198229407236,0.7670015864621893,0.8584204413472707
"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.1}",0.7525000000000001,0.8695385339149773,0.775039661554733,0.8488966318234612
"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.01}",0.7424999999999999,0.8241943589085622,0.7717874140666314,0.8608013937282231
"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 4, 'learning_rate': 0.25}",0.73125,0.8824918740911812,0.7572712850343732,0.8440766550522648
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 1}",0.73125,0.862588743477889,0.7475145425700689,0.8176538908246226
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 1}",0.72875,0.8773992814985887,0.7654680063458488,0.8488385598141696
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 7, 'learning_rate': 1}",0.7350000000000001,0.8933672269266957,0.7637228979375992,0.8512195121951219
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 4, 'learning_rate': 0.25}",0.74375,0.8769368531348901,0.7686144896879957,0.8561556329849012
