,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
23,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1114, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751399170747027,0.8121001905122857,0.8520606545012439,kc1
24,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1497, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752658785181705,0.8119045874812564,0.8520595287681102,kc1
25,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 19, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10896328392147037,0.8048085902861184,0.8506388535533767,kc1
26,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 804, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751649717918821,0.8121066326271219,0.8534835811822449,kc1
27,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 604, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10750887060419305,0.812340953274529,0.8515855951188211,kc1
28,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1123, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.107516527199388,0.8120485160356278,0.8520606545012439,kc1
29,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 325, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10762738676276826,0.8111680294809839,0.851111661469532,kc1
30,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 252, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10775254046182436,0.8104064216242008,0.8520606545012439,kc1
31,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1588, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753673459342114,0.8118434116005167,0.8520595287681102,kc1
32,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1619, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753761960447228,0.8118353407993197,0.8520595287681102,kc1
33,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1817, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752793294994271,0.8118429119899708,0.8511116614695322,kc1
34,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 741, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10750316107937989,0.812096514963336,0.8534835811822449,kc1
35,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 265, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10770512737404778,0.8106739927840391,0.8515867208519549,kc1
36,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1102, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1075195409222887,0.8120738245011212,0.8520606545012439,kc1
37,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 732, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10750020469575028,0.8120698485255657,0.8530096475329557,kc1
38,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 575, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1074743987853339,0.8121167524918352,0.8515855951188211,kc1
39,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1132, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751987168684371,0.8119792066272569,0.8525345881505331,kc1
40,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 229, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10768029484786842,0.8107064454602458,0.8530096475329557,kc1
41,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 224, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10766365385905433,0.8105158374342114,0.8530096475329557,kc1
