,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
10,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 33}",0.09126615566841814,0.9124240965071448,0.8797733367856058,0.07510423389056951,0.9611854310747049,0.9087180758155124,0.09425883784098046,0.9316594148392043,0.8743953732912724,0.10687829912585327,0.8129009809313841,0.8534835811822449,0.08882325181626932,0.9439505591832862,0.8824963168533936
11,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 53}",0.09438253169217292,0.9094017391783972,0.8755774069984436,0.07932631982972556,0.9585022138165618,0.903501628664495,0.09598716852402772,0.9298979181367704,0.8728706624605678,0.1072488591652117,0.8124113163769475,0.8515833436525536,0.09496777924972674,0.9367955083833094,0.8743539932161578
12,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 56}",0.0947390000288015,0.909106642717162,0.8760236591289767,0.07988175498644486,0.9580284559048229,0.9050228957182647,0.09619751316597082,0.9296909289582247,0.8720820189274449,0.10723102151370145,0.8125287347594023,0.8530062703335547,0.0956457104490889,0.936178451246198,0.8739834515366429
13,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 17}",0.08756682443889158,0.9167619557629727,0.8848513023378082,0.0701111766287766,0.9645759734441516,0.9119782372657319,0.09268226726723125,0.9333310979344326,0.8762355415352261,0.10597214971762665,0.8176767873017047,0.8587024799900936,0.08150170414193181,0.951463964371602,0.892488950560181
14,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 37}",0.09195959405602694,0.911664830763182,0.8789267281430703,0.0760300071034268,0.9605409973904004,0.9074139640277581,0.0946163381825831,0.9313386594420606,0.8737118822292324,0.1069207929568589,0.8125221391298723,0.8530096475329559,0.09027123798123896,0.9422575270903952,0.8815714187823346
15,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 24}",0.0893819202301402,0.9144703421540945,0.8817563111601427,0.07248055870638621,0.9631046076429473,0.9089352310815275,0.09343966578287385,0.93254730815224,0.8753417455310201,0.10641142616677217,0.8144913601489941,0.8539597662978015,0.08519603026452856,0.9477380926721969,0.8887885017302224
16,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 32}",0.09103643582083182,0.912598084404288,0.8804634972533381,0.07483501933110387,0.9615352378697587,0.9093700136902234,0.09416410651210423,0.9317729020083847,0.8748159831756046,0.10681101512975302,0.8125737701382116,0.8544314484808231,0.0883356023103662,0.9445104276007967,0.8832365436667009
17,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 40}",0.09243993055194047,0.9112685008054761,0.87869683209493,0.07676445792501138,0.9600752898049315,0.9067622621913799,0.09486955581079365,0.9310747031094987,0.8736067297581493,0.10704046225128205,0.8123853536857503,0.8539575148315339,0.0910852462206748,0.9415386566217236,0.8804608215986569
18,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 14}",0.08680014955339146,0.9172865546494819,0.8856054699223853,0.06884024948262583,0.9656046690876348,0.9139340508898645,0.0924565083482467,0.9335549126939767,0.8763932702418507,0.1060970398839249,0.8170059467960987,0.8577546126915154,0.07980680049876845,0.9529806900202173,0.8943399458663105
19,"{'random_state': 42, 'n_estimators': 1064, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 29}",0.09050872638970398,0.9132561390190729,0.8808004057579832,0.0740377581808565,0.961924046223114,0.9082832932068168,0.09390936696796101,0.9319803008238476,0.8743427970557308,0.10677766689698917,0.8135421749433647,0.8558588780943589,0.08731011351300919,0.9455780340859649,0.8847166546750265
