,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
10,"{'random_state': 42, 'n_estimators': 232, 'max_depth': 2, 'min_samples_leaf': 23, 'min_samples_split': 60}",0.1354514023631929,0.8641028808115273,0.8131064674997084,0.1260906968786485,0.9346824853689611,0.8674217532927347,0.1612201758027731,0.8671484423512157,0.7537854889589906,0.11025335353010042,0.8007112016646054,0.8449493982956401,0.1442413832412496,0.8538693938613265,0.7862692294514682
11,"{'random_state': 42, 'n_estimators': 1594, 'max_depth': 1, 'min_samples_leaf': 54, 'min_samples_split': 17}",0.1531012646801442,0.8490095884881217,0.7888484345254267,0.1559275640289018,0.9299649646191479,0.8341679648774962,0.1821605334173862,0.8301282916954257,0.728391167192429,0.11366132818775729,0.7951699556226984,0.8454244576780627,0.16065563308653155,0.8407751420152147,0.7474101483537192
12,"{'random_state': 42, 'n_estimators': 787, 'max_depth': 6, 'min_samples_leaf': 52, 'min_samples_split': 57}",0.10978530198599107,0.889788078214012,0.8565501561934138,0.09411279788044644,0.946957777129753,0.891981305764056,0.11898331717438826,0.9026385215944647,0.843217665615142,0.10988472917154438,0.8016767072979896,0.8492159268723756,0.1161603637175852,0.9078793068338407,0.8417857265220817
13,"{'random_state': 42, 'n_estimators': 814, 'max_depth': 14, 'min_samples_leaf': 31, 'min_samples_split': 50}",0.10058260985263515,0.9011936474572617,0.8677887589560278,0.08792049345325169,0.9514558196152854,0.8978503989047821,0.1011794433442665,0.9242617900442467,0.8645636172450052,0.10942995081332227,0.8029615361505646,0.84826580810753,0.10380055179970016,0.9260954440189504,0.8604752115667935
14,"{'random_state': 42, 'n_estimators': 381, 'max_depth': 15, 'min_samples_leaf': 18, 'min_samples_split': 27}",0.09641760693317604,0.9054184193958584,0.8720655489822167,0.08258919572815675,0.9552584474542524,0.901544870887032,0.09772834708672326,0.9281372368387885,0.8688748685594112,0.10897521489070583,0.8031734453033197,0.8458950141279509,0.09637767002711832,0.9351045479870729,0.8719474423544729
15,"{'random_state': 42, 'n_estimators': 1733, 'max_depth': 8, 'min_samples_leaf': 8, 'min_samples_split': 17}",0.09634712485963069,0.9056097704960029,0.8722468268962643,0.07795684772229652,0.957309764969677,0.9043693055752253,0.10558568705631496,0.9185711803797023,0.8594637223974763,0.10784247371601911,0.8078366670782401,0.8496898605216648,0.09400349094389215,0.9387214695563924,0.8754644190906911
16,"{'random_state': 42, 'n_estimators': 293, 'max_depth': 10, 'min_samples_leaf': 21, 'min_samples_split': 53}",0.09921067305989248,0.9020354746092715,0.8689062426927437,0.08523909458577193,0.9535136901591116,0.8989378275031866,0.10187986106295233,0.9227672598161204,0.8647213459516297,0.10925011152062936,0.8018341500975341,0.8477896229919735,0.10047362507021626,0.9300267983643197,0.8641761743241855
17,"{'random_state': 42, 'n_estimators': 692, 'max_depth': 2, 'min_samples_leaf': 11, 'min_samples_split': 28}",0.13510958259333672,0.8644788006765706,0.8131106110053847,0.12448114730483337,0.9348518295441035,0.8698121134872304,0.16134830175045853,0.8673370782680149,0.7529968454258674,0.11027398133085979,0.8016599807991083,0.8444743389132172,0.1443348999871952,0.8540663140950556,0.7851591461952239
18,"{'random_state': 42, 'n_estimators': 1159, 'max_depth': 5, 'min_samples_leaf': 47, 'min_samples_split': 57}",0.1125372639476195,0.8859487768226747,0.8523021978079943,0.09488301182616907,0.9461645838711548,0.8908943492423169,0.12592484203280319,0.8937357814668323,0.8374342797055732,0.10979129668849819,0.8022831073971194,0.8477930001913746,0.1195499052430075,0.9016116345555926,0.8330871620927125
19,"{'random_state': 42, 'n_estimators': 838, 'max_depth': 7, 'min_samples_leaf': 48, 'min_samples_split': 16}",0.10719215419666682,0.8932607837327252,0.8600339160010588,0.09301890345624567,0.9477579401885693,0.8932861256668083,0.11326769430031473,0.9096449713011765,0.8491062039957941,0.10973126652067841,0.8024440414179344,0.8487408674899528,0.1127507525094285,0.9131961820232206,0.8490024668516807
