,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
174,"{'random_state': 42, 'ccp_alpha': 0.7468993526303445, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
175,"{'random_state': 42, 'ccp_alpha': 0.9440931338131873, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
176,"{'random_state': 42, 'ccp_alpha': 0.46083887647874955, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
177,"{'random_state': 42, 'ccp_alpha': 0.899883750681295, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
178,"{'random_state': 42, 'ccp_alpha': 0.0033223385647749293, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.11979702373079991,0.844662342567632,0.836296930936982,0.09818559241341493,0.9116329572458722,0.8769843742623802,0.13403922684665318,0.8489336062856154,0.8253417455310201,0.11275431191535328,0.7676528318564009,0.840677241053236,0.13420896374777824,0.850429974882639,0.8021843629012917
179,"{'random_state': 42, 'ccp_alpha': 0.8216644510498231, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
180,"{'random_state': 42, 'ccp_alpha': 0.3074543482179154, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
181,"{'random_state': 42, 'ccp_alpha': 0.07205685866802747, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.16130544515953943,0.6825036507093367,0.7782982886626584,0.16455718526072,0.7658877292288583,0.7865703630269556,0.18565335142350115,0.722112476986223,0.7274973711882229,0.13068242275343245,0.5,0.8454244576780627,0.16432882120050415,0.7420143966222654,0.7537009627573921
182,"{'random_state': 42, 'ccp_alpha': 0.6497609379218536, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
183,"{'random_state': 42, 'ccp_alpha': 0.6774934126561779, 'max_depth': 7, 'min_samples_leaf': 45, 'min_samples_split': 48}",0.20119863087368137,0.5,0.7015658822772635,0.23877361967367955,0.5,0.6059552471321343,0.22798631186553314,0.5,0.6483701366982124,0.13068242275343245,0.5,0.8454244576780627,0.20735216920208033,0.5,0.706513687600644
