,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
567,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 56, 'min_samples_split': 48}",0.11241228444579572,0.8697534876608938,0.8451103438319194,0.09501950272011765,0.9269026920513701,0.8780720388991172,0.11856919983176832,0.8847079136593559,0.8384858044164037,0.11446313108659426,0.7783126231556503,0.845416577546127,0.12159730414470267,0.889090721777199,0.8184669544660295
568,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 24, 'min_samples_split': 48}",0.10925187037546755,0.8732824732063795,0.8490416735679116,0.08989414950773,0.9319030031083834,0.8804649955152717,0.11718452975386466,0.8851708052050664,0.8415878023133544,0.11601377224463849,0.775006582974197,0.8321441838997649,0.11391502999563705,0.9010495015378712,0.8419697125432556
569,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 31, 'min_samples_split': 48}",0.11075344172120902,0.8677743425786348,0.847719739245943,0.08946842818166546,0.9336888765149697,0.8806842751262807,0.11770201870638224,0.8853424683757932,0.8411671924290219,0.1177036149007884,0.7565120058395008,0.8359401560266123,0.118139705096,0.8955540195842756,0.8330873334018569
570,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 48}",0.11069737192206461,0.8710137998886303,0.8483797772851633,0.09132899712035694,0.9303589559306176,0.8785063494311476,0.11804481807356644,0.8821000602977065,0.8422187171398529,0.12123587797804869,0.7704083397325301,0.8269376681563868,0.11217979451628637,0.9011878435936671,0.8458563744132663
571,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 55, 'min_samples_split': 48}",0.11221938899767812,0.8700800889789533,0.845194035374295,0.09503939623347772,0.9269358743936786,0.8780720388991172,0.11825980849357567,0.8848422893325847,0.8401156677181915,0.11383241530212948,0.7794823842163565,0.845416577546127,0.12174593596152965,0.8890598079731935,0.8171718573337445
572,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 7, 'min_samples_split': 48}",0.11080748991442968,0.8677724621751941,0.8496088436485589,0.09153831651678722,0.9296610176791296,0.8791582873058585,0.1178575666966994,0.8829501412530533,0.8421135646687696,0.12119389418066562,0.7569541551200507,0.831677004649278,0.1126401822635665,0.9015245346485425,0.8454865179703293
573,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 48}",0.11057774774750977,0.8684309173380297,0.8496827487148145,0.09178703289003162,0.9274375384174615,0.8774198649860738,0.11808186812923152,0.882165684741044,0.8422712933753942,0.12019851351401215,0.7628823203674493,0.8326282491472572,0.11224357645676382,0.9012381258261639,0.8464115873505328
574,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 35, 'min_samples_split': 48}",0.1106582620409531,0.8701723041719833,0.8481598132679731,0.09028158480807741,0.9341239748883267,0.8798123495255631,0.11788799014216789,0.8851747136963428,0.8408517350157728,0.11596587512978637,0.7659688532441342,0.8392576915716361,0.11849759808378076,0.8954216748591295,0.8327174769589201
575,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 13, 'min_samples_split': 48}",0.1099595558750501,0.8713990342607376,0.8512455138290176,0.08999616471821226,0.9320176978933755,0.8824189208327432,0.11760704434489896,0.8844696312905318,0.8418506834910622,0.11923572322697802,0.766845805659421,0.8368914005245915,0.11299929121011112,0.9022630021996223,0.843821050467674
576,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 29, 'min_samples_split': 48}",0.11000111967020793,0.8714227079353773,0.8474916265963404,0.0893301303547177,0.9342589365651411,0.8806845111646131,0.11755439474298342,0.8855527405627293,0.8416403785488958,0.1172074565960094,0.7672317278447484,0.8321475610991659,0.11591249698712117,0.8986474267688911,0.8354940555726864
577,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 47, 'min_samples_split': 48}",0.11206016400303324,0.8711261766679086,0.8436066952672475,0.09397159491993393,0.929566308223748,0.8758978898173062,0.11813929625071307,0.8851686988590737,0.840273396424816,0.11471007197577329,0.7794488151196678,0.8383075728067905,0.1214196928657127,0.8903208844691448,0.8199479220200775
578,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 14, 'min_samples_split': 48}",0.1101360565066641,0.8711760637254317,0.8511919959592007,0.09054885946124325,0.931453747717488,0.8830710947457868,0.1175286435158458,0.884650094418495,0.8418506834910622,0.1195613021753271,0.7662079724637556,0.8354695995767243,0.1129054208742402,0.902392440301988,0.8443766060232296
579,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 18, 'min_samples_split': 48}",0.10975105216526382,0.8714078410279816,0.849776611684969,0.0901918734353315,0.9333121190169276,0.8806814426662889,0.11737870573120132,0.8846361401030572,0.8419032597266035,0.11837074754571116,0.7655043436404968,0.8321453096328983,0.11306288194881134,0.9021787613514446,0.844376434714085
580,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 48}",0.11066047307334338,0.8687676262751608,0.849698937428968,0.09169809914333484,0.9287988566339533,0.8778546475947694,0.11808186812923152,0.882165684741044,0.8422712933753942,0.12061904222131167,0.762991631083171,0.8326282491472572,0.11224288279949553,0.9011143326424748,0.8460415595984513
581,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 37, 'min_samples_split': 48}",0.11095722056448297,0.869533493634348,0.8486669730518008,0.090835116169411,0.9337499495659755,0.8815507718453477,0.1180033951224527,0.885124985938425,0.8408517350157728,0.11633632525441003,0.763955494274397,0.8397327509540589,0.11865404571165816,0.8953035447585945,0.8325326343920239
