Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
196;exponential;7;1.0;0.021262343752724643;0.35000000000000003;2251;4;0.9576086956521739;33.38387660980224
197;exponential;7;0.6;0.021262343752724643;0.35000000000000003;1751;4;0.9576086956521739;18.816918897628785
198;exponential;13;0.8;0.021262343752724643;0.1;1851;32;0.9570652173913043;14.858842945098877
199;exponential;7;0.1;0.021262343752724643;0.35000000000000003;4701;4;0.9475543478260869;14.654362154006957
200;log_loss;9;0.5;0.045929202883612456;0.55;701;128;0.9527173913043478;11.312349462509156
201;exponential;9;0.30000000000000004;0.021262343752724643;0.35000000000000003;3501;128;0.9491847826086957;23.661361169815063
202;exponential;9;0.8;0.021262343752724643;0.6500000000000001;1501;16;0.9559782608695653;45.24686079025268
203;exponential;7;0.8;0.021262343752724643;0.3;3651;4;0.9559782608695653;43.21291718482971
204;exponential;5;0.5;0.021262343752724643;0.2;3251;4;0.9554347826086957;14.176834726333619
205;exponential;13;0.8;0.021262343752724643;0.7500000000000001;3651;32;0.9543478260869567;155.7100414276123
206;exponential;5;0.6;0.021262343752724643;0.2;3201;32;0.954891304347826;15.06938157081604
207;exponential;3;1.0;0.021262343752724643;0.2;1951;4;0.9519021739130433;7.344603729248047
208;exponential;5;1.0;0.46293735614364534;0.9000000000000001;1651;2;0.9519021739130433;18.245781230926514
209;log_loss;5;1.0;0.021262343752724643;0.15000000000000002;3551;2;0.9565217391304348;17.51397819519043
210;exponential;1;0.7000000000000001;0.004556754060844206;0.2;2351;128;0.930163043478261;3.4039791584014893
211;log_loss;11;0.6;0.021262343752724643;0.15000000000000002;1751;64;0.9538043478260869;12.607099676132203
212;log_loss;5;0.1;0.021262343752724643;0.15000000000000002;4851;2;0.9508152173913043;7.658071613311767
213;exponential;5;0.8;0.021262343752724643;0.25;1501;4;0.95625;10.517439889907838
214;log_loss;11;0.5;0.021262343752724643;0.45;3451;8;0.955163043478261;64.6524308681488
215;exponential;13;0.8;0.021262343752724643;0.9500000000000001;1851;4;0.9548913043478262;124.59644393920898
216;exponential;7;0.5;1.0;0.4;401;4;0.9494565217391303;3.012811803817749
217;exponential;5;0.8;0.021262343752724643;0.8;2001;128;0.9519021739130435;37.28273091316223
218;exponential;13;0.8;0.021262343752724643;0.45;1501;128;0.9543478260869565;39.5200270652771
219;log_loss;7;1.0;0.021262343752724643;0.7500000000000001;4651;4;0.9519021739130433;139.8990996837616
220;exponential;9;0.7000000000000001;1.0;0.4;2151;16;0.9546195652173912;4.02178726196289
221;exponential;9;0.4;0.0098431332023037;0.45;3701;32;0.9524456521739131;47.30612244606018
222;log_loss;11;0.9;0.21431099571326834;0.35000000000000003;1951;4;0.9570652173913043;8.038121366500855
223;exponential;3;0.6;0.0098431332023037;0.8500000000000001;4551;64;0.9480978260869565;46.169062757492064
224;log_loss;1;0.9;0.21431099571326834;0.05;4951;32;0.9355978260869566;4.01494197845459
225;log_loss;9;0.4;0.09921256574801249;0.35000000000000003;2751;4;0.9546195652173914;15.620947551727294
226;exponential;1;1.0;0.0098431332023037;0.2;1851;8;0.9364130434782609;2.8061935901641846
227;exponential;7;1.0;1.0;0.4;1001;4;0.9557065217391305;3.467940616607666
228;exponential;11;0.1;1.0;0.4;1301;64;0.930163043478261;5.432481336593628
229;log_loss;3;1.0;0.002109491677524035;0.7500000000000001;2701;2;0.9358695652173914;36.64849939346313
230;exponential;13;0.4;0.021262343752724643;0.1;1601;4;0.9584239130434782;13.349502229690552
231;exponential;9;0.2;0.0098431332023037;0.55;3701;128;0.9445652173913043;28.619193696975707
232;log_loss;5;0.7000000000000001;0.045929202883612456;0.4;1201;16;0.9532608695652174;11.816740798950196
233;exponential;7;0.5;0.21431099571326834;0.45;851;8;0.9508152173913043;10.172753810882568
234;exponential;15;1.0;0.21431099571326834;0.8500000000000001;1;4;0.8980978260869564;0.09580926895141602
235;exponential;11;0.7000000000000001;0.0098431332023037;0.8;4351;2;0.955163043478261;195.74014549255372
236;exponential;13;0.5;0.021262343752724643;0.7500000000000001;1501;64;0.9524456521739129;46.998765516281125
237;exponential;5;0.1;0.0098431332023037;0.9000000000000001;4551;128;0.9331521739130435;18.773320627212524
238;exponential;5;1.0;0.004556754060844206;0.7000000000000001;3151;16;0.9516304347826088;63.24224228858948
