Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
114;5;log2;0.9272727272727272;0.23737373737373738;1782;0.9138586956521738;14.60156445503235
115;13;log2;0.5545454545454546;0.4757575757575757;744;0.6103260869565217;5.169917297363281
116;8;sqrt;0.6454545454545454;0.36262626262626263;1572;0.8706521739130435;9.728247499465942
117;15;sqrt;0.1272727272727273;0.24141414141414141;30;0.6103260869565217;1.3370212078094483
118;18;log2;0.36363636363636365;0.21313131313131314;1092;0.8785326086956522;6.311773681640625
119;19;sqrt;0.22727272727272727;0.3545454545454545;1318;0.6103260869565217;6.184225606918335
120;7;log2;0.8090909090909091;0.19696969696969696;1244;0.917391304347826;9.839913177490235
121;8;sqrt;0.1;0.35050505050505054;109;0.6103260869565217;1.7145219802856446
122;8;sqrt;0.3727272727272727;0.491919191919192;141;0.6103260869565217;1.6947339057922364
123;13;sqrt;0.7636363636363636;0.11616161616161616;1053;0.9266304347826086;11.992541456222535
124;2;log2;0.3727272727272727;0.36262626262626263;427;0.6103260869565217;2.8362772941589354
125;1;log2;0.9363636363636363;0.38282828282828285;665;0.8225543478260869;4.20301456451416
126;3;sqrt;1.0;0.297979797979798;1577;0.90625;12.298438262939452
127;18;log2;0.8454545454545453;0.15252525252525254;1860;0.9258152173913043;16.281517124176027
128;11;sqrt;0.26363636363636367;0.24545454545454545;1238;0.6103260869565217;6.0716132640838625
129;19;sqrt;0.7999999999999999;0.2696969696969697;89;0.9076086956521741;1.7704676628112792
130;9;sqrt;0.38181818181818183;0.40303030303030307;889;0.6103260869565217;4.1235997676849365
131;9;log2;0.8727272727272727;0.3868686868686869;1984;0.8864130434782609;12.663228082656861
132;3;log2;0.9636363636363636;0.3181818181818182;1881;0.9;12.760079145431519
133;8;sqrt;0.7636363636363636;0.19696969696969696;744;0.9190217391304347;8.288893985748292
134;2;sqrt;0.1090909090909091;0.11212121212121212;832;0.6103260869565217;3.8131496906280518
135;18;log2;0.9727272727272727;0.4636363636363636;1782;0.86875;10.346172189712524
136;10;log2;0.8636363636363635;0.10808080808080808;613;0.9274456521739131;6.721686601638794
137;15;sqrt;0.38181818181818183;0.40303030303030307;683;0.6103260869565217;3.943020963668823
138;16;log2;0.6636363636363636;0.1484848484848485;325;0.923641304347826;2.628973960876465
139;10;log2;0.6727272727272727;0.29393939393939394;755;0.89375;4.078051137924194
140;5;sqrt;0.5181818181818182;0.3666666666666667;539;0.8366847826086957;2.5673060417175293
141;2;log2;0.24545454545454545;0.29393939393939394;1223;0.6103260869565217;4.3986310958862305
142;16;log2;0.7909090909090909;0.10404040404040404;896;0.9285326086956524;8.200250101089477
143;10;sqrt;0.6272727272727272;0.41515151515151516;97;0.8426630434782609;0.5257388591766358
144;6;log2;0.40909090909090906;0.4636363636363636;38;0.6103260869565217;0.19093117713928223
145;3;sqrt;0.3909090909090909;0.10808080808080808;475;0.9095108695652174;2.8330209732055662
146;18;log2;0.49090909090909085;0.43939393939393945;269;0.6103260869565217;1.0461042404174805
147;9;sqrt;0.9727272727272727;0.12828282828282828;448;0.9277173913043477;4.969175624847412
148;13;log2;0.7727272727272727;0.15656565656565657;1268;0.9258152173913043;9.896971321105957
149;1;log2;0.1;0.4555555555555556;1031;0.6103260869565217;3.7080477714538573
150;16;log2;0.5181818181818182;0.2535353535353535;1223;0.8923913043478262;6.682971239089966
151;8;sqrt;0.9636363636363636;0.4191919191919192;350;0.8894021739130435;2.2087635517120363
152;3;sqrt;0.36363636363636365;0.4555555555555556;560;0.6103260869565217;2.45368914604187
153;5;sqrt;0.33636363636363636;0.3747474747474747;1688;0.6103260869565217;7.355446672439575
154;1;log2;0.38181818181818183;0.1808080808080808;1161;0.8239130434782609;5.996306753158569
155;9;sqrt;0.42727272727272725;0.21313131313131314;896;0.8975543478260871;5.778997802734375
156;16;log2;0.4545454545454546;0.1;1228;0.9258152173913043;10.007822799682618
157;10;log2;0.7999999999999999;0.3303030303030303;822;0.89375;5.444643497467041
158;16;log2;0.4363636363636364;0.3868686868686869;1878;0.6103260869565217;7.951796007156372
159;8;log2;0.5727272727272728;0.2494949494949495;792;0.8983695652173914;5.259129810333252
160;15;log2;0.8636363636363635;0.4191919191919192;1976;0.8730978260869566;12.540497255325317
161;16;sqrt;0.47272727272727266;0.2494949494949495;1789;0.89375;11.390757942199707
162;11;sqrt;0.7454545454545454;0.25757575757575757;1208;0.9116847826086957;10.639984846115112
163;13;sqrt;0.9727272727272727;0.3666666666666667;1070;0.9019021739130435;8.59225606918335
164;6;sqrt;0.2727272727272727;0.18484848484848487;78;0.8663043478260869;0.5170971870422363
165;2;log2;0.6909090909090908;0.407070707070707;823;0.8505434782608695;4.981775903701783
166;7;log2;0.7363636363636363;0.39494949494949494;623;0.8644021739130434;3.8962516307830812
167;18;sqrt;0.7909090909090909;0.4191919191919192;1897;0.86875;13.324390316009522
168;16;log2;0.5272727272727272;0.407070707070707;134;0.7769021739130435;0.7296704769134521
