Iteracja;estimator__loss;estimator__n_estimators;estimator__min_samples_split;estimator__subsample;estimator__max_depth;estimator__learning_rate;estimator__max_features;Srednia dokladnosc;Czas
59;exponential;4801;64;0.4;3;0.0098431332023037;0.1;0.7934807515014813;11.128256797790527
60;log_loss;4351;64;0.2;11;0.004556754060844206;0.2;0.7955738746721803;13.655312156677246
61;log_loss;1;2;1.0;9;0.045929202883612456;0.1;0.7521790499718053;0.03640170097351074
62;exponential;2101;64;0.6;5;0.0098431332023037;0.1;0.7931773224850747;7.795519018173218
63;log_loss;251;64;0.9;3;0.0098431332023037;0.1;0.7764162258442756;0.8057924747467041
64;log_loss;3251;64;0.1;11;0.0098431332023037;0.1;0.790787930864728;7.067599773406982
65;log_loss;2901;64;0.8;11;0.0009765625;0.1;0.7982666953089337;23.97118468284607
66;log_loss;701;16;0.1;7;0.0009765625;0.1;0.7898852519176893;2.1296812534332275
67;exponential;4051;64;0.9;9;0.0009765625;0.2;0.7964707356587274;30.298519229888917
68;log_loss;701;64;0.6;3;0.09921256574801249;0.9000000000000001;0.7812039597934176;4.612773132324219
69;exponential;2851;64;0.4;7;0.46293735614364534;0.1;0.7701310383716871;9.564118957519531
70;log_loss;1651;128;0.30000000000000004;1;0.021262343752724643;0.2;0.783899913178128;2.5469007015228273
71;log_loss;4551;64;0.1;7;0.09921256574801249;0.9000000000000001;0.5989277051278609;15.852692127227783
72;exponential;801;64;0.30000000000000004;13;0.0009765625;0.1;0.7916834492450078;3.147735929489136
73;log_loss;2401;64;0.7000000000000001;7;0.0009765625;0.1;0.7979690842530186;13.536818313598634
74;log_loss;1751;16;0.6;7;0.21431099571326834;0.15000000000000002;0.7770145807040627;9.664771127700806
75;log_loss;3201;128;0.4;11;0.004556754060844206;0.8;0.7886867520564252;33.841796255111696
76;exponential;1001;32;0.5;11;0.21431099571326834;0.15000000000000002;0.7752168309121668;7.364624834060669
77;exponential;1851;64;0.9;11;0.002109491677524035;1.0;0.7919806127655004;56.09300999641418
78;exponential;2401;64;0.9;7;0.002109491677524035;0.15000000000000002;0.7943744797400714;14.175068235397339
79;log_loss;2351;32;0.30000000000000004;9;0.045929202883612456;0.3;0.7695313409056327;13.940925216674804
80;exponential;301;64;0.5;11;0.0009765625;0.1;0.7922822516402173;1.7059220314025878
81;exponential;4051;16;0.5;9;0.46293735614364534;0.7000000000000001;0.7719252078802037;11.486475086212158
82;log_loss;3951;32;0.7000000000000001;9;0.002109491677524035;0.35000000000000003;0.7925789676252876;39.44186811447143
83;exponential;3401;64;0.2;3;0.46293735614364534;0.15000000000000002;0.7557620185637693;6.671844100952148
84;exponential;51;2;1.0;5;1.0;0.25;0.7665391190712747;0.24593958854675294
85;exponential;901;32;0.2;15;0.002109491677524035;0.15000000000000002;0.7961740196736572;3.680646800994873
86;log_loss;4951;32;0.5;13;0.0098431332023037;0.6500000000000001;0.7779127842968772;75.73694086074829
87;exponential;1401;8;0.6;5;0.46293735614364534;0.2;0.7713295382329511;5.8889237403869625
88;log_loss;2301;8;0.2;1;0.021262343752724643;0.9500000000000001;0.7943758223463387;4.693250465393066
89;exponential;1601;64;0.8;1;0.21431099571326834;0.8500000000000001;0.7868925825479087;4.918454551696778
90;log_loss;301;32;0.1;15;1.0;0.8;0.6081966112617814;1.2204320907592774
91;exponential;701;32;1.0;3;0.0009765625;0.1;0.7587528977918603;1.9958345890045166
92;exponential;2601;128;0.7000000000000001;9;0.46293735614364534;0.7500000000000001;0.7608540766001629;20.03017840385437
93;log_loss;2851;4;0.8;5;0.46293735614364534;0.55;0.7719238652739364;11.506214904785157
94;log_loss;4251;32;0.6;9;0.002109491677524035;0.6500000000000001;0.7880888447320605;56.840984201431276
95;log_loss;851;8;0.30000000000000004;11;0.21431099571326834;0.2;0.747373414605766;6.809819555282592
96;exponential;1351;32;0.30000000000000004;9;1.0;0.3;0.7548709755377139;5.98163537979126
97;log_loss;3751;4;1.0;3;0.021262343752724643;0.4;0.7764153307734307;15.1023193359375
98;exponential;3651;8;0.1;11;0.46293735614364534;0.9500000000000001;0.6404974803755717;13.530813360214234
99;exponential;3351;16;1.0;7;0.46293735614364534;0.6500000000000001;0.7719283406281607;13.207581758499146
100;exponential;2701;64;0.7000000000000001;3;0.0098431332023037;0.1;0.7958723807989403;7.545187091827392
101;log_loss;4351;4;0.8;3;1.0;0.8500000000000001;0.6366007894524851;30.783450078964233
102;exponential;1251;64;0.6;13;0.002109491677524035;0.1;0.7955743222076028;8.71722412109375
103;log_loss;4101;4;0.2;11;0.0009765625;0.1;0.797370281857809;41.42840747833252
104;log_loss;601;64;0.5;15;0.004556754060844206;0.1;0.7955734271367578;3.6065381526947022
105;log_loss;2601;4;0.30000000000000004;1;0.002109491677524035;0.1;0.7461847605237955;3.955014371871948
106;log_loss;2001;64;0.1;3;0.002109491677524035;0.1;0.7853951290244623;3.2865588665008545
107;log_loss;4451;4;0.8;9;0.0009765625;0.2;0.7976674453783017;60.65303297042847
108;log_loss;4151;64;1.0;1;0.002109491677524035;0.1;0.7584552867359452;6.3574871063232425
109;exponential;4501;64;0.7000000000000001;13;0.21431099571326834;0.15000000000000002;0.7725244578108357;13.697271347045898
110;exponential;4401;16;0.7000000000000001;5;0.0009765625;0.8;0.7985652014356935;45.894414806365965
111;exponential;251;64;1.0;3;0.21431099571326834;0.15000000000000002;0.7946738809376762;0.6443570613861084
112;log_loss;951;2;0.4;5;1.0;0.1;0.6078833364660812;3.6725415706634523
113;log_loss;901;64;0.1;13;0.004556754060844206;0.1;0.7919815078363452;1.8232339382171632
114;exponential;4801;64;0.2;13;0.0009765625;0.6000000000000001;0.7988646026332984;26.910304832458497
115;log_loss;3901;64;0.2;7;0.002109491677524035;0.1;0.7973716244640763;11.011959409713745
116;exponential;2101;16;0.7000000000000001;7;1.0;0.3;0.7710305845707688;5.034498023986816
117;log_loss;2501;8;0.2;3;1.0;0.8500000000000001;0.48522775077647395;9.215738153457641
118;log_loss;1551;64;1.0;9;0.004556754060844206;0.1;0.7937761248802843;10.749542188644408
119;log_loss;651;8;0.7000000000000001;15;0.0009765625;0.7000000000000001;0.7904858444545886;25.61351523399353
120;log_loss;1601;16;0.8;5;0.0009765625;0.8;0.7958719332635178;18.772055912017823
121;exponential;2851;64;0.4;7;0.0009765625;0.2;0.7937788100928189;10.968868255615234
122;exponential;201;4;0.9;7;0.0009765625;0.6000000000000001;0.7958723807989402;3.43258056640625
123;exponential;751;16;0.2;9;0.0009765625;0.9000000000000001;0.7970690905185145;7.12290849685669
124;exponential;851;16;0.7000000000000001;15;0.0098431332023037;0.3;0.7868948202250208;15.545935153961182
125;log_loss;1101;128;0.30000000000000004;15;0.004556754060844206;0.3;0.7967719269980218;4.748741579055786
126;exponential;4051;4;0.2;11;0.004556754060844206;0.1;0.7940759736133115;38.560926246643064
127;log_loss;4451;64;0.2;13;0.021262343752724643;0.1;0.7743213125318869;14.346451807022095
128;exponential;3551;4;0.5;3;0.004556754060844206;0.9500000000000001;0.7952735784037307;21.44269895553589
129;log_loss;601;8;0.8;1;0.021262343752724643;0.9500000000000001;0.7874886997305837;1.8638200283050537
130;log_loss;501;32;0.2;5;0.0009765625;0.45;0.7934780662889468;1.8455655574798584
131;log_loss;4651;8;0.2;13;0.002109491677524035;0.25;0.7946761186147884;38.18205008506775
132;log_loss;1601;64;0.6;13;0.0009765625;0.1;0.7952749210099979;10.86365213394165
133;exponential;3251;2;0.6;13;0.004556754060844206;0.55;0.7898865945239566;132.77527961730956
134;log_loss;3601;16;1.0;9;0.21431099571326834;0.8500000000000001;0.7767151795064579;23.028539752960206
135;log_loss;1001;2;0.8;3;0.0009765625;0.4;0.7782090527465249;4.028595495223999
136;exponential;3301;64;0.7000000000000001;13;0.002109491677524035;0.1;0.7928779212874699;24.95926375389099
137;log_loss;3301;64;0.2;5;0.0009765625;0.8;0.7946761186147884;14.50572590827942
138;exponential;2701;8;0.30000000000000004;3;0.004556754060844206;0.8;0.7946743284730987;10.712441730499268
139;exponential;1801;16;0.9;5;0.0009765625;0.1;0.7919815078363452;8.710748195648193
140;log_loss;4051;4;0.7000000000000001;13;0.0009765625;0.6000000000000001;0.7841975242340432;167.2424894809723
141;exponential;2351;2;0.2;1;0.002109491677524035;0.5;0.7626451133607225;3.597586965560913
142;log_loss;3751;64;0.8;7;0.002109491677524035;0.25;0.7961713344611226;19.99371576309204
143;log_loss;2901;32;0.4;7;0.0098431332023037;0.25;0.7862928850818542;12.709090757369996
144;exponential;3301;16;0.6;11;0.045929202883612456;0.9000000000000001;0.7767165221127252;72.23910613059998
145;log_loss;1101;4;0.2;5;0.004556754060844206;0.45;0.7979672941113288;4.441102123260498
146;log_loss;1501;8;0.6;9;0.0098431332023037;0.25;0.789887042059379;13.998250150680542
147;log_loss;3151;64;0.4;5;0.004556754060844206;0.1;0.7964720782649947;9.677233839035035
148;exponential;4851;4;0.30000000000000004;7;0.004556754060844206;0.45;0.7877894435344558;37.02094807624817
149;log_loss;1401;16;0.5;9;0.004556754060844206;0.35000000000000003;0.7943767174171835;13.459535884857178
150;exponential;951;128;0.2;9;0.004556754060844206;0.9500000000000001;0.796771031927177;5.103260183334351
151;log_loss;2801;8;0.8;11;0.002109491677524035;0.35000000000000003;0.7847958790938303;54.095686483383176
152;exponential;2501;64;0.2;5;0.004556754060844206;0.3;0.7958728283343627;7.231612730026245
153;exponential;4851;2;0.2;13;0.0009765625;0.35000000000000003;0.8000631024945625;106.53673605918884
154;exponential;2051;2;0.2;13;0.0009765625;0.3;0.8003616086213224;43.04282879829407
155;exponential;1751;128;0.2;7;0.0009765625;0.35000000000000003;0.7904840543128989;4.5302647113800045
156;exponential;1101;4;0.2;15;0.004556754060844206;0.8;0.7994660902410425;21.64687123298645
157;log_loss;4351;16;0.30000000000000004;11;0.0009765625;0.7000000000000001;0.7952749210099979;49.56039338111877
158;log_loss;151;8;0.2;7;0.004556754060844206;0.8;0.8000648926362522;1.165980863571167
159;log_loss;3051;16;0.2;3;0.004556754060844206;0.2;0.789890174807336;5.769389867782593
160;exponential;4551;8;0.2;9;0.0009765625;0.6000000000000001;0.8003620561567448;40.087152528762815
161;log_loss;3451;8;0.5;15;0.0009765625;0.8;0.7907834555105036;105.79694123268128
162;log_loss;551;32;0.2;5;0.004556754060844206;0.8;0.7949759673478155;2.5545257091522218
163;exponential;1101;64;0.9;5;0.004556754060844206;0.8500000000000001;0.7970681954476696;12.687238216400146
164;log_loss;3001;32;0.4;13;0.0009765625;0.5;0.8000635500299849;32.953103160858156
165;log_loss;1701;16;0.4;13;0.0009765625;0.9500000000000001;0.7955752172784475;36.93926911354065
166;log_loss;1101;8;0.4;3;0.0009765625;0.55;0.7868898973353741;3.886294221878052
167;exponential;4551;64;0.6;9;0.0009765625;0.55;0.798268037915201;46.20956196784973
168;log_loss;4551;32;0.6;7;0.0009765625;0.9500000000000001;0.7991653464371705;68.73930373191834
169;log_loss;2901;8;0.2;11;0.0009765625;0.4;0.8006610098189272;23.915462684631347
170;log_loss;2401;32;0.6;11;0.0009765625;0.7000000000000001;0.7961726770673898;40.02711534500122
171;exponential;1101;8;0.1;7;0.004556754060844206;0.7500000000000001;0.7967714794625994;5.508185577392578
172;log_loss;1201;32;0.1;1;0.045929202883612456;0.5;0.7886898848043822;1.6740930557250977
173;log_loss;2201;16;0.6;9;0.0009765625;0.55;0.8021580158069511;31.12319769859314
174;log_loss;2451;4;0.6;11;0.0009765625;0.55;0.7931773224850747;67.7136878490448
175;log_loss;3351;8;0.6;13;0.0009765625;0.9500000000000001;0.7836023021222129;121.33578906059265
176;exponential;3751;16;0.4;13;0.004556754060844206;0.7500000000000001;0.784800801983477;70.36074566841125
177;log_loss;4701;8;1.0;9;0.004556754060844206;0.1;0.7862906474047421;49.73129601478577
178;exponential;4501;128;0.5;11;0.004556754060844206;0.4;0.7925776250190203;29.118352031707765
179;log_loss;3451;2;0.4;7;0.045929202883612456;0.1;0.7862937801526991;24.289429330825804
180;log_loss;1201;32;0.9;11;0.0009765625;0.9000000000000001;0.7919828504426125;38.21732425689697
181;exponential;551;2;0.9;11;0.045929202883612456;0.15000000000000002;0.7904836067774765;15.460458707809448
182;exponential;951;64;1.0;3;0.0098431332023037;0.9000000000000001;0.7967696893209097;8.055633544921875
183;log_loss;1351;2;0.2;3;0.004556754060844206;0.8;0.7985678866482282;4.617593383789062
184;log_loss;3351;64;0.4;7;0.002109491677524035;0.1;0.7955743222076027;13.436848354339599
185;exponential;1101;8;0.5;7;0.004556754060844206;0.1;0.7940764211487339;6.796248960494995
186;log_loss;4551;16;0.5;11;0.0009765625;0.3;0.7952740259391531;52.587930250167844
187;log_loss;2451;2;0.8;3;0.045929202883612456;0.1;0.7859939314196719;6.851075220108032
188;exponential;3751;32;0.1;1;0.004556754060844206;1.0;0.7868952677604433;6.287365245819092
189;log_loss;801;8;0.9;9;0.021262343752724643;0.4;0.7862924375464317;10.622168588638306
190;log_loss;1101;128;0.9;9;0.004556754060844206;0.9000000000000001;0.7967714794625994;22.612151765823363
191;exponential;1101;4;0.9;15;0.004556754060844206;0.9500000000000001;0.7755184697868837;81.8882221698761
192;exponential;3951;4;1.0;13;0.0098431332023037;0.1;0.7862928850818542;107.50086784362793
193;exponential;3151;128;0.6;7;0.004556754060844206;0.2;0.7955738746721803;12.41680974960327
194;exponential;351;64;0.8;3;0.0098431332023037;0.3;0.7892864495224797;1.2747630596160888
195;exponential;2201;128;0.1;5;0.004556754060844206;0.9000000000000001;0.7955734271367578;5.286771297454834
196;exponential;3401;128;0.1;7;0.0098431332023037;0.7000000000000001;0.7916856869221199;7.6149420738220215
197;exponential;4351;16;0.6;7;0.0009765625;0.3;0.8000617598882951;35.56187520027161
198;exponential;4551;32;0.30000000000000004;9;0.0009765625;0.8500000000000001;0.8009599634811095;44.79135408401489
199;log_loss;501;32;0.5;9;0.0009765625;0.8500000000000001;0.7949746247415483;7.740835189819336
200;exponential;4551;4;0.30000000000000004;3;0.0009765625;0.1;0.7853946814890398;10.038845777511597
201;exponential;4651;32;0.7000000000000001;9;0.0009765625;0.55;0.8003620561567448;61.32142333984375
202;log_loss;4251;32;0.8;9;0.0009765625;0.1;0.7982666953089337;34.10625853538513
203;exponential;4851;2;0.5;9;0.004556754060844206;0.2;0.79228090903395;69.55284309387207
204;exponential;1701;8;0.7000000000000001;5;0.021262343752724643;0.45;0.7865913912086142;12.612063026428222
205;exponential;3751;32;0.1;9;0.0009765625;0.7000000000000001;0.7979690842530186;13.64739956855774
206;exponential;3651;2;0.1;11;0.045929202883612456;0.35000000000000003;0.78449916310876;15.963962936401368
207;log_loss;2951;32;0.4;7;0.021262343752724643;0.15000000000000002;0.781806790007429;12.45117483139038
208;exponential;3751;8;0.2;13;0.0009765625;0.8500000000000001;0.7985660965065384;49.84443187713623
209;exponential;4251;32;0.9;15;0.002109491677524035;0.1;0.7880870545903709;54.74079632759094
210;exponential;2801;8;0.5;1;0.021262343752724643;0.8500000000000001;0.7910819616372636;7.092637252807617
211;log_loss;3801;64;0.1;9;0.0009765625;0.55;0.7952753685454204;9.962463903427125
212;log_loss;3451;4;0.7000000000000001;7;0.002109491677524035;0.05;0.7964702881233049;24.51651601791382
213;log_loss;4451;32;0.4;1;0.0009765625;0.6000000000000001;0.7647391316022664;9.319211149215699
214;log_loss;3951;32;0.6;3;0.0098431332023037;0.8;0.7895858507200846;22.85109987258911
215;log_loss;3401;64;0.6;7;0.002109491677524035;0.35000000000000003;0.7994647476347753;22.163808393478394
216;exponential;151;8;0.2;15;0.0009765625;0.2;0.7973689392515417;1.2432569026947022
217;log_loss;1201;64;0.30000000000000004;5;0.004556754060844206;0.25;0.7955743222076027;3.3732395648956297
218;log_loss;3001;128;0.8;3;0.21431099571326834;0.2;0.7683337361152136;8.274295377731324
219;exponential;3601;8;0.1;3;0.0098431332023037;0.5;0.7892873445933246;7.264084243774414
220;log_loss;3801;4;0.1;7;0.002109491677524035;0.8;0.7913853906536701;21.313468265533448
221;log_loss;4801;64;0.30000000000000004;9;0.004556754060844206;0.9000000000000001;0.7821048485987666;46.839061689376834
222;log_loss;801;2;0.6;5;0.004556754060844206;0.5;0.7955743222076027;6.052497291564942
223;log_loss;3451;64;0.5;5;0.004556754060844206;0.8500000000000001;0.7913813628348685;27.902137088775635
224;log_loss;351;4;0.6;15;0.002109491677524035;1.0;0.7836031971930579;21.422992849349974
225;log_loss;4451;64;1.0;1;0.0098431332023037;0.6000000000000001;0.7901851006507166;12.126817560195922
226;log_loss;1601;2;0.2;1;0.004556754060844206;0.55;0.7773126392954002;2.5424587726593018
227;exponential;4901;32;1.0;1;0.21431099571326834;0.9000000000000001;0.784198419304888;16.837702226638793
228;log_loss;1301;32;0.1;3;0.004556754060844206;0.8;0.7988659452395657;3.0649343967437743
229;log_loss;3801;64;0.6;3;0.004556754060844206;0.15000000000000002;0.7943780600234508;9.435528421401978
230;log_loss;2151;128;0.7000000000000001;11;0.0098431332023037;0.8500000000000001;0.780906796272925;35.63900890350342
231;log_loss;4201;16;0.30000000000000004;7;0.0009765625;0.5;0.8003616086213222;27.83294548988342
232;log_loss;751;128;0.7000000000000001;7;0.004556754060844206;0.8;0.799164898901748;9.161567211151123
233;log_loss;2101;64;0.7000000000000001;5;0.004556754060844206;0.8;0.7982671428443562;20.11789140701294
234;log_loss;2551;64;0.7000000000000001;3;0.004556754060844206;0.15000000000000002;0.7928815015708494;6.600587654113769
235;exponential;3901;16;0.8;15;0.021262343752724643;0.25;0.7856936351512223;56.250487661361696
236;exponential;2851;16;0.6;1;0.021262343752724643;0.9000000000000001;0.7919797176946555;8.014208269119262
237;exponential;2251;32;0.30000000000000004;5;0.0009765625;0.2;0.7922800139631052;6.696966123580933
238;log_loss;1851;8;0.1;9;0.004556754060844206;0.8;0.7862973604360786;11.22665696144104
239;exponential;2551;16;1.0;5;0.0098431332023037;0.55;0.7886871995918476;21.468933963775633
240;log_loss;4851;64;1.0;9;0.09921256574801249;0.55;0.7710243190748548;55.492289018630984
241;log_loss;1351;8;0.7000000000000001;5;0.002109491677524035;0.3;0.7970704331247819;7.892202949523925
242;log_loss;901;64;0.7000000000000001;3;0.002109491677524035;0.35000000000000003;0.7853942339536175;3.2292829036712645
243;exponential;3551;64;0.8;7;0.0009765625;0.8500000000000001;0.7964702881233049;56.01300339698791
244;exponential;2751;64;0.9;7;0.46293735614364534;0.8;0.7695322359764775;19.76097493171692
245;exponential;4351;16;0.7000000000000001;11;0.0009765625;0.7000000000000001;0.7928783688228924;97.54397177696228
246;log_loss;1651;32;0.6;1;0.0009765625;0.5;0.7494741458786462;3.836523914337158
247;exponential;2601;8;0.9;3;0.09921256574801249;0.35000000000000003;0.7746180285169572;10.583696842193604
248;exponential;3601;16;0.4;11;0.0009765625;0.5;0.7997632537615352;45.53656196594238
249;exponential;1151;4;0.5;1;0.045929202883612456;0.15000000000000002;0.7833011107829184;1.8944613933563232
250;log_loss;4801;2;0.2;13;0.0009765625;0.7500000000000001;0.7970713281956266;115.66580300331115
251;exponential;2451;16;0.2;3;0.0009765625;0.4;0.7898848043822669;5.798130178451538
252;exponential;2501;32;0.1;5;0.0009765625;0.9500000000000001;0.7952735784037307;9.268365383148193
253;exponential;1001;16;0.4;5;0.0009765625;0.3;0.7964711831941498;4.936507654190064
254;exponential;2851;32;0.1;3;0.0009765625;0.4;0.7922782238214154;5.266018486022949
255;exponential;4901;32;0.6;7;0.09921256574801249;0.5;0.7665364338587399;39.14155459403992
256;exponential;4701;32;0.1;11;0.0009765625;0.8500000000000001;0.7964720782649947;21.048188734054566
257;log_loss;2251;8;0.7000000000000001;1;0.045929202883612456;0.6500000000000001;0.792881054035427;5.807881546020508
258;log_loss;3101;64;0.6;1;0.21431099571326834;0.7000000000000001;0.7838976755010159;7.998913812637329
259;log_loss;101;2;0.9;15;0.045929202883612456;0.8500000000000001;0.7746229514066039;9.546406793594361
260;log_loss;1301;16;0.5;5;0.09921256574801249;0.1;0.7818041047948945;5.244760894775391
261;log_loss;801;64;0.1;9;0.0098431332023037;0.35000000000000003;0.7928797114291596;2.0694056510925294
262;exponential;4751;4;0.4;1;0.045929202883612456;0.8;0.7916830017095853;12.225627565383911
263;log_loss;3801;8;0.6;5;0.021262343752724643;0.35000000000000003;0.782701413316864;20.877216625213624
264;log_loss;4651;16;0.1;1;0.0098431332023037;0.8500000000000001;0.793479408895214;7.370590019226074
265;exponential;3201;8;0.30000000000000004;9;0.0009765625;0.1;0.7976696830554139;23.669078207015993
266;exponential;2551;32;0.8;9;0.021262343752724643;0.5;0.7773144294370901;31.677997398376466
267;exponential;3201;64;0.9;5;0.002109491677524035;0.9000000000000001;0.7976656552366119;43.89157881736755
268;log_loss;201;64;0.2;5;0.002109491677524035;0.4;0.7877903386053007;0.5999951839447022
269;exponential;2001;2;0.2;1;0.0009765625;0.8500000000000001;0.75486291990011;3.697328567504883
270;log_loss;251;64;1.0;11;0.21431099571326834;0.8;0.7776133830992722;5.725329923629761
271;log_loss;2201;2;0.4;15;0.0009765625;0.2;0.8024565219337111;92.13981165885926
272;log_loss;901;4;0.5;1;0.0009765625;0.3;0.7431916436185924;1.5908378601074218
273;exponential;901;32;0.7000000000000001;13;0.045929202883612456;0.6000000000000001;0.7776138306346948;17.393050289154054
274;exponential;951;16;0.30000000000000004;15;0.0009765625;0.05;0.795572532065913;7.3027208805084225
275;exponential;2451;64;0.9;3;0.021262343752724643;0.9500000000000001;0.7874918324785406;18.74145679473877
276;exponential;1551;64;0.5;13;0.21431099571326834;0.45;0.7653392766037432;15.65165638923645
277;exponential;1201;64;0.9;1;0.21431099571326834;0.45;0.7874918324785407;2.8258294582366945
278;exponential;2451;32;0.4;15;0.0009765625;0.4;0.7988650501687208;24.32002878189087
279;log_loss;1801;64;0.2;7;0.004556754060844206;0.05;0.7961735721382348;4.957764101028443
