param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
69,6,2,6,0.4344578799791634,0.8248067360837013,0.8199616966265081,0.004623225345330108,0.822473927587564,0.8129835924707405,0.8265066994567374,0.8170691114513691,0.8207751521661296
126,5,5,2,0.1534747824072838,0.956709740916267,0.8531647285006001,0.0029875914445480762,0.8561637441415333,0.8498268283718398,0.8569671161315624,0.8500122794935814,0.8528536743644828
145,4,4,5,0.08064345763996245,0.8806608836166561,0.8513567966119295,0.0037128650761802484,0.8532934868162141,0.8458624260363306,0.856670058678637,0.848864048943432,0.852093962585034
52,8,3,1,0.47367319986224177,0.7763457824476063,0.8495370175319616,0.004250772221034656,0.8529684201817466,0.844836990421995,0.8543484232179209,0.8440876336269036,0.8514436202112424
14,3,5,8,0.32050838028080764,0.8540406522806734,0.8401230324900787,0.004634518484870763,0.8431272584165146,0.8360754738513918,0.8468805890576565,0.8341040417155935,0.8404277994092373
115,9,1,4,0.26363269886933266,0.9899605072569102,0.845303087366028,0.003555195621077745,0.8457685995134343,0.8404521762675151,0.8492693561461523,0.842075363084206,0.8489499418188328
44,7,5,6,0.2210567496251315,0.9526603352278471,0.8465642266022672,0.004263520017213476,0.847902914922543,0.8417953682533413,0.8534088601441204,0.8422420732931923,0.8474719163981381
84,4,1,2,0.27701077037490907,0.8288255343213677,0.8524218412182878,0.0039523233771947075,0.857042793638868,0.8478288233000454,0.8567064216436844,0.8482657383108452,0.8522654291979951
122,8,3,7,0.46090638283640145,0.7819992064032704,0.8057167516710539,0.006615687769657078,0.8046961647168258,0.7983287581264235,0.8180945470657045,0.8027012648158104,0.8047630236305049
74,2,2,3,0.06698555713519455,0.9374616530258209,0.8514894826271975,0.003856772164525096,0.8559982760008585,0.8463924861806746,0.8550519067340295,0.8476623928061748,0.85234235141425
56,2,1,8,0.10995053816586733,0.9781101052649319,0.8459792629013165,0.004667317102335292,0.8487783308289506,0.842288226287291,0.8537036798761196,0.8410709061035516,0.8440551714106695
139,10,4,4,0.39179693153128026,0.8658605660311878,0.832233934759069,0.0017246472515503525,0.8303895656684912,0.8318056226094845,0.8327007109798813,0.8309645192564277,0.8353092552810599
