param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
74,2,2,3,0.06698555713519455,0.9374616530258209,0.8768676635614501,0.0059225567182837335,0.8735711594020852,0.8822698153498305,0.872096110447365,0.8855834328952608,0.8708177997127096
56,2,1,8,0.10995053816586733,0.9781101052649319,0.8771712306324669,0.007168285776692533,0.8771120322684197,0.8831707351114461,0.8685978187204371,0.8869717104389807,0.8700038566230514
139,10,4,4,0.39179693153128026,0.8658605660311878,0.8651134750866583,0.006655085101193582,0.8637147762006447,0.8684950243548408,0.8616305798346923,0.8757327408525295,0.8559942541905844
99,5,2,5,0.34986870433203876,0.7566829405259341,0.8627283198943958,0.007362902212597411,0.8635961423048473,0.8715306563943668,0.8523996171232541,0.8696123023608404,0.856502881288671
23,7,4,1,0.18181310393847527,0.9002931190188974,0.8419836633040891,0.007392558918139626,0.847350277045039,0.8507892643302767,0.8315412186379928,0.845164085043353,0.8350734714637843
149,9,5,8,0.1905170469544828,0.9310079149436206,0.8686132303922486,0.009953050592795665,0.871377130176276,0.8775572583008835,0.8605224730484116,0.8797599334856456,0.8538493569500261
48,3,2,4,0.3586840646341443,0.7875202817376703,0.8754002272101677,0.0055145334259396285,0.8712082513363758,0.8772913788050077,0.8710264310717056,0.8854269285320031,0.8720481463057463
18,8,4,5,0.40066392519511285,0.834077671635896,0.8770817365333322,0.006076578567069809,0.8755209423718404,0.8821162891317393,0.8726809057690024,0.8858230802014995,0.8692674651925797
110,4,2,1,0.11870589996688069,0.9464488322846591,0.8665868097351981,0.005313988049463776,0.8707979176262055,0.8702668564809,0.8595436220978572,0.8716377762406813,0.8606878762303467
89,5,1,6,0.07222910099662841,0.9055543153081089,0.883256753372003,0.008050471356643257,0.8814093706820751,0.8903934458261805,0.8748069895966518,0.8946683714463379,0.8750055893087703
77,4,3,5,0.05136393029870867,0.750656406678726,0.8812528771747141,0.006182390888427349,0.8779494480034613,0.8853529009476755,0.8774277390010271,0.8912574147435494,0.8742768831778573
51,4,3,5,0.05208030918730176,0.7646663234125038,0.8786666342785345,0.0068452804855020375,0.8746242096889,0.8846927382098843,0.874728737415023,0.8887051359980996,0.8705823500807655
67,4,4,5,0.050164970793427424,0.7519522131682649,0.8800148770102039,0.006228943308957627,0.8768349872294101,0.885059107593965,0.8751863729415135,0.8895819796404593,0.8734119376456714
139,4,5,5,0.06261518923114688,0.7549993696095718,0.8846115159526684,0.006996793631607865,0.8817317757400662,0.8899635724155257,0.88030141063531,0.895214739357354,0.8758460816150866
48,4,3,1,0.0734633326497878,0.7705419038627037,0.8383274589556402,0.007903892217686725,0.8442923139192452,0.8469664614998117,0.8272701866174796,0.8426201904602206,0.830488142281444
77,4,3,1,0.07298091277425311,0.7747971752209282,0.8500982450942299,0.006909165960754278,0.85623037306871,0.8559268098647573,0.841118028045023,0.855011982365312,0.8422040321273467
19,4,3,1,0.07461116557894196,0.7655898637884749,0.8119067758993401,0.010623722565544193,0.8217560607963823,0.8231119764407039,0.7979228237858685,0.816156280785596,0.80058673768815
85,4,4,5,0.0631353786994014,0.9293366772741762,0.8831276228330627,0.006670717021448461,0.8794121341540007,0.8894904325252271,0.8771245117972152,0.8927595771587471,0.8768514585301236
149,3,4,6,0.06954104308754924,0.7602651495850178,0.8837730909070306,0.007693074307025477,0.8813242334156791,0.8921827241133862,0.8770630279402208,0.8934722309557246,0.8748232381101428
139,3,4,7,0.08004862930064094,0.7608768892080153,0.8805482529584795,0.0077894264142400775,0.88073804240115,0.8882119778363969,0.8729589804858622,0.8900850293795022,0.870747234689486
150,3,5,3,0.0638084637990376,0.7574157302560613,0.88303750886589,0.006066491131466157,0.8796703373389719,0.8873822384122596,0.8769987493624544,0.8927973058891754,0.8783389133265891
139,4,3,6,0.06811604329696941,0.809057094033985,0.8827963095893321,0.008124342028077628,0.8828594955965889,0.8896132534996999,0.8740754714344603,0.8938606971430967,0.8735726302728142
139,2,2,5,0.07054195587549793,0.8589767804574416,0.8836957285360008,0.00766164482613263,0.8830688495303494,0.8890396237211964,0.8756363229858797,0.8952161367177403,0.8755177097248382
140,1,2,5,0.0702407261128751,0.8619588458121922,0.8831854242727328,0.007311338033107828,0.8802844422113358,0.8894262306522074,0.8761463595268538,0.8940772880029624,0.8759928009703041
105,1,5,1,0.3139308206645374,0.8175019932980412,0.8761419519440956,0.004703605314047937,0.8733171432957891,0.8798203743248336,0.8712213628455848,0.8834964751584258,0.8728544040958455
93,6,2,8,0.3808373099551677,0.8930629764477184,0.8617778861866325,0.009532969415602,0.8667420340828205,0.8741727030384234,0.8525547241261257,0.8665967986473552,0.8488231710384377
108,9,3,8,0.15038673468827823,0.8243592377137834,0.8723654224146603,0.01029765007144407,0.8757079652193331,0.8824589317366607,0.8602318220880756,0.8833134209478295,0.8601149720814028
102,10,5,5,0.07199067862764423,0.7553933391948568,0.8847624382117477,0.00705081629544343,0.881800862538207,0.8916000223310863,0.8790654453736891,0.8945873245439365,0.8767585362718191
121,8,5,5,0.06158495929525551,0.7555988078278868,0.8846049004576331,0.00686153859309768,0.8810548646875741,0.8913997404011222,0.8792156616152088,0.8942002557169506,0.8771539798673098
128,10,3,5,0.07655077414997283,0.7538317282531347,0.8837312020996226,0.007048993813484062,0.8802453628103671,0.8907633044424904,0.8780313986878785,0.8935267280107877,0.8760892165465898
129,9,3,4,0.08369179167109654,0.7568060210962414,0.8844141788904217,0.006301015378852884,0.8821393180644531,0.8896488436684392,0.8790249219224884,0.8938124882097718,0.8774453225869556
128,9,3,5,0.07885078468017927,0.753331975970005,0.8830635321645477,0.007092806855883951,0.8810681237700455,0.8894471660455834,0.8780677300579206,0.8928979158369839,0.8738367251122052
110,4,2,4,0.14126166691776015,0.7569138819117234,0.8815673429614336,0.006216398773226488,0.8798727128082737,0.8860947117196333,0.8759814710012785,0.8911554074353546,0.8747324118426274
146,1,2,5,0.06245105947513779,0.8649750162553551,0.8839564752827084,0.008030322122875123,0.8821400159108991,0.8893578417005121,0.8748146750787762,0.896505900354231,0.8769639433691235
11,9,5,7,0.37492501976165654,0.839994516119591,0.8711666444663596,0.007617652725562704,0.8716897653840249,0.8746500300073972,0.8631627854981939,0.8833064341458984,0.8630242072962837
118,10,5,8,0.05467224596681285,0.7531971989127464,0.8803892325639364,0.008174484573233434,0.8805203143100393,0.8872712808273667,0.8723790759255765,0.8914250979898972,0.8703503937668029
98,9,3,4,0.19400771787011056,0.9681626638618488,0.8815917443799673,0.008347425040324808,0.8795628689863083,0.8896090664210248,0.8742585256450565,0.8928783527915767,0.8716499080558706
95,8,5,7,0.05531723222783038,0.7500478354169064,0.8831686408926143,0.006136841700808435,0.8812460746137419,0.8896983907660959,0.8779196098569804,0.8910464133252285,0.8759327159010246
114,8,5,8,0.06165857377341247,0.7556818649728467,0.8800952798899135,0.0072766489728979785,0.88134098173038,0.8873564180937628,0.8707469589944594,0.8883495077798039,0.8726825328511622
103,8,5,1,0.07199067862764423,0.7522819848102624,0.8556748812873991,0.006568733038882347,0.86093734734609,0.8619966782509176,0.8469541036981143,0.8600711256436592,0.8484151514982143
84,8,5,1,0.06963243053372101,0.7509013495491113,0.8509135236142316,0.006906054336600814,0.8571940990104536,0.8570412706388086,0.8419829941240997,0.8553256897720207,0.8430235645257751
146,1,5,1,0.054847957162380896,0.8331522420417692,0.8567791837900393,0.00617851766818476,0.8624481849013943,0.8623435079345141,0.8487063936224473,0.8605657912203848,0.849832041271456
123,7,5,5,0.053601237503025145,0.7555988078278868,0.8842589269629482,0.006453987635149568,0.8800304261050399,0.8900333570601126,0.8804453387550917,0.8937572924745157,0.8770282204199809
107,8,5,4,0.057179677305673506,0.7557540824693539,0.8826702179319954,0.006426163765063182,0.8795035520384096,0.8878749180030426,0.8779391729023873,0.8924828998022736,0.8755505469138632
42,10,2,8,0.48987281288500106,0.9873297056039203,0.85929469436585,0.010118328992411408,0.8630909014780388,0.8700944884087706,0.8523618883928259,0.8677803628944923,0.8431458306551228
