mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__sv1__kernel,param_model__sv1__gamma,param_model__sv1__C,param_model__kn1__weights,param_model__kn1__p,param_model__kn1__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score
3.4579967090061734,0.27038667111655834,0.1921029772077288,0.0170664355436025,rbf,6.5,2.5075,uniform,2,4,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 6.5, 'model__sv1__C': 2.5075, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 4}",0.8881118881118881,0.8741258741258742,0.8846153846153846,0.8706293706293706,0.8881118881118881,0.8422141239042646,0.8665419087954299,0.8734786340420143,0.015054265820221657,505
3.5101486274174283,0.34101456002160074,0.19610728536333358,0.016245550423131087,rbf,1.0841666666666665,8.75125,distance,1,10,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 1.0841666666666665, 'model__sv1__C': 8.75125, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 10}",0.8846153846153846,0.8671328671328671,0.8986013986013985,0.8881118881118881,0.8986013986013985,0.8350733773268985,0.8947601694080567,0.8809852119711274,0.021294403018277563,160
1.0403320789337158,0.09756869398370192,0.04729972566877093,0.0081401776116564,sigmoid,4.333666666666667,10.0,distance,2,17,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 4.333666666666667, 'model__sv1__C': 10.0, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 17}",0.8671328671328671,0.8811188811188811,0.8986013986013986,0.8636363636363635,0.8846153846153846,0.8315276273022751,0.8807495321579828,0.8724831506521648,0.01984406693581823,541
3.4789304052080428,0.30663951738583656,0.19438975197928293,0.009212237319432966,rbf,3.5212916666666665,10.0,distance,1,18,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 3.5212916666666665, 'model__sv1__C': 10.0, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 18}",0.8601398601398602,0.8741258741258742,0.9125874125874126,0.8811188811188811,0.8986013986013986,0.820988870284645,0.8948094159361766,0.8774816732563212,0.028018800671833585,369
3.458932774407523,0.29431176864929715,0.19260760716029576,0.021392105518783542,rbf,2.7089166666666666,10.0,uniform,1,16,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.7089166666666666, 'model__sv1__C': 10.0, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 16}",0.8601398601398601,0.8636363636363636,0.9090909090909092,0.8741258741258742,0.8916083916083917,0.8209150004924652,0.8843691519747858,0.8719836501526642,0.0260165564159771,550
0.9794704573495048,0.07699611555526481,0.05365777015686035,0.013512229625701916,sigmoid,6.229208333333333,7.91875,distance,1,8,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 6.229208333333333, 'model__sv1__C': 7.91875, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 8}",0.881118881118881,0.8706293706293706,0.8846153846153846,0.8776223776223777,0.8881118881118881,0.8456121343445286,0.9018270461932434,0.8785052975193821,0.01614720003653862,286
0.9699791840144566,0.08834588426065039,0.049080031258719306,0.0055788982457202,sigmoid,4.333666666666667,5.42125,distance,1,18,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 4.333666666666667, 'model__sv1__C': 5.42125, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 18}",0.8601398601398602,0.8741258741258742,0.9125874125874126,0.8776223776223777,0.8951048951048951,0.820988870284645,0.8983305426967398,0.8769856903659721,0.027978054413473546,384
3.499633550643921,0.32594850103615347,0.19218039512634277,0.01726885010394335,rbf,2.167333333333333,7.91875,uniform,2,3,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.167333333333333, 'model__sv1__C': 7.91875, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 3}",0.8951048951048951,0.8916083916083917,0.8916083916083917,0.8811188811188811,0.8916083916083917,0.845562887816409,0.8597212646508421,0.8794761576451718,0.017844146481236774,228
3.421046495437622,0.22377698028574167,0.19703377996172225,0.015965385003586335,rbf,3.2504999999999997,1.25875,uniform,1,5,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 3.2504999999999997, 'model__sv1__C': 1.25875, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 5}",0.8846153846153846,0.881118881118881,0.8951048951048951,0.8776223776223777,0.8811188811188811,0.8385206342952822,0.8807741554220427,0.8769821727568206,0.01654000620297097,397
3.4639760085514615,0.2945016550184258,0.19589597838265554,0.020321949119968537,rbf,0.813375,10.0,uniform,1,11,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 0.813375, 'model__sv1__C': 10.0, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 11}",0.8741258741258742,0.8706293706293706,0.9055944055944056,0.8706293706293706,0.881118881118881,0.8174923667881415,0.9018516694573033,0.874491705477621,0.02682951132370097,476
