,best_params,best_score,mean_score_history,param_history,model,data
0,{'C': 0.376575370067917},0.9343172926447574,"[0.93431729 0.93087392 0.93369327 0.92868349 0.9217992  0.93431729
 0.93400381 0.90614975 0.92336365 0.93149941 0.93275381 0.9330668
 0.93369229 0.93338028 0.9333793  0.93306729 0.93400528 0.93337979
 0.93431729 0.93306729]","{'C': [0.376575370067917, 0.22626032778097302, 0.9526185839190047, 0.18093733673009857, 0.11335705064465158, 0.37728948583465016, 0.32364701985954053, 0.038970291687110005, 0.12715050194435126, 0.24735382216174417, 0.6977078474687569, 0.5525548547739092, 0.8344385781381749, 1.0, 0.46956137756680366, 0.891425373109737, 0.7772454427727603, 0.6236789166947648, 0.3575880925361023, 0.8632519373489124]}",logistic-regression,kr-vs-kp
0,{'l1_ratio': 0.974640606467845},0.9349422926447574,"[0.93212784 0.93212784 0.93306583 0.93275333 0.93337979 0.9330668
 0.93337881 0.9330668  0.93275381 0.93369229 0.9327543  0.9346293
 0.9346293  0.93337979 0.93400528 0.93494229 0.93337979 0.9327543
 0.9343168  0.93462979]","{'l1_ratio': [0.6570350910448488, 0.643193539003082, 0.8522736189434772, 0.7656600723261152, 0.2810824087058876, 0.5113491534747503, 0.8700654091247545, 0.5494059077266686, 0.5271483337476397, 0.1965668633551431, 0.0010444682495538906, 0.9999773047939524, 1.0, 0.4029925204314548, 0.10828501445854324, 0.974640606467845, 0.34207460692648345, 0.0566785659576618, 0.9250165018735913, 0.9571780955967831]}",logistic-regression,kr-vs-kp
0,{'C': 0.8620321575721728},0.9755956572769954,"[0.97496968 0.97496968 0.9696562  0.93682267 0.95808147 0.96934321
 0.97528267 0.97559566 0.97465718 0.93275186 0.97434419 0.97434419
 0.97434419 0.97153022 0.97434419 0.96715571 0.97434468 0.97027973
 0.97465718 0.97528267]","{'C': [0.9378165834828304, 0.806285061516622, 0.3836588245501937, 0.0345131378292409, 0.19128079963527353, 0.39344114546697245, 0.9140659188185741, 0.8620321575721728, 0.7948643839618398, 0.04706365782253109, 0.6084748475445066, 0.6854840613865268, 1.0, 0.5291928575795679, 0.9999222814765311, 0.2828277821069622, 0.7321639109735544, 0.47143082731976793, 0.6449622823923973, 0.8394048890914829]}",svc,kr-vs-kp
0,{'degree': 3},0.9743446791862285,"[0.95400871 0.95400871 0.95651311 0.95557316 0.95369474 0.96777778
 0.96777778 0.96183441 0.95369523 0.93244083 0.97434468 0.97434468
 0.97434468 0.94619327 0.95651311 0.97434468 0.95557316 0.95369474
 0.97434468 0.97434468]","{'degree': [9, 9, 6, 8, 7, 4, 4, 5, 10, 1, 3, 3, 3, 2, 6, 3, 8, 7, 3, 3]}",svc,kr-vs-kp
0,{'coef0': 0.890074299249727},0.9759081572769952,"[0.97465718 0.97497017 0.97434468 0.97559517 0.97434468 0.97559517
 0.97497017 0.97559517 0.97434468 0.97559517 0.97434468 0.97528218
 0.97434468 0.97590816 0.97590816 0.97590816 0.97559517 0.97590816
 0.97559517 0.97403169]","{'coef0': [0.41891974864947507, 0.5751140345165442, 0.5395433443675713, 0.8548274720680449, 0.20513197641242686, 0.670047917282692, 0.3186737954512912, 0.8180219506128481, 0.46263989010560946, 0.632127155682094, 0.00011678062766815388, 0.9880486751087789, 0.10082268579619093, 0.890074299249727, 0.9155337240494241, 0.7472892016273327, 0.7814275511893604, 0.7226058225850495, 0.630693438927808, 0.21939059930009888]}",svc,kr-vs-kp
0,{'gamma': 0.10646628116121583},0.9755956572769954,"[0.96933832 0.96903218 0.96746626 0.96590131 0.97059223 0.96590131
 0.96590131 0.97277973 0.97152827 0.96590131 0.96590131 0.96590131
 0.96590131 0.97559566 0.96590131 0.89863801 0.96590131 0.96590131
 0.96590131 0.96590131]","{'gamma': [0.148351360858733, 0.06898709579921738, 0.191811017669603, 0.826563180867024, 0.08042344658036864, 0.9537126452405713, 0.26339937385976764, 0.12008951505649325, 0.12648013961834242, 0.49438819869139405, 0.6606487878550396, 0.3787709075949847, 0.577370795337241, 0.10646628116121583, 0.7435344852679463, 0.010200279615729863, 0.8904555003215169, 0.43642221015092036, 0.3209302256404892, 1.0]}",svc,kr-vs-kp
0,{'loss': 'deviance'},0.9634003325508607,"[0.94714055 0.95340131 0.95557658 0.94963762 0.9508886  0.96215082
 0.96089838 0.95714691 0.95276213 0.95808392 0.94682267 0.95683881
 0.96340033 0.95464838 0.95339104 0.94588908 0.95745599 0.95402435
 0.95589544 0.95995941]","{'loss': ['exponential', 'exponential', 'exponential', 'deviance', 'deviance', 'deviance', 'deviance', 'deviance', 'exponential', 'deviance', 'deviance', 'deviance', 'deviance', 'exponential', 'deviance', 'exponential', 'exponential', 'deviance', 'deviance', 'deviance']}",gradient-boosting,kr-vs-kp
0,{'learning_rate': 0.7180680128794176},0.9687182120500782,"[0.96027142 0.94152044 0.95401897 0.91742518 0.95089349 0.96871821
 0.93681778 0.94620207 0.92930996 0.95527142 0.95746039 0.96059028
 0.95058099 0.9574555  0.94213126 0.9527636  0.95495012 0.96089544
 0.95745745 0.96183979]","{'learning_rate': [0.8038540167650827, 0.8989077593783311, 0.3428488191041936, 0.004881216848717711, 0.1632751252679678, 0.7180680128794176, 0.08903789265136398, 0.13837122067874827, 0.05644161042859013, 0.27268143401584105, 0.576420757898046, 0.6876303352079145, 0.4729820887475387, 0.9999416346693117, 0.755759401573497, 0.6401101690604191, 1.0, 0.8336479770075497, 0.40377038196893733, 0.7076349188911896]}",gradient-boosting,kr-vs-kp
0,{'n_estimators': 200},0.9646498435054773,"[0.94526115 0.95808441 0.95527093 0.93369278 0.95339984 0.95464153
 0.95308196 0.95120403 0.95340082 0.95682658 0.94964153 0.95964691
 0.94776849 0.95245403 0.95902289 0.96464984 0.96058392 0.95433343
 0.95589446 0.96027044]","{'n_estimators': [47, 180, 189, 13, 70, 162, 188, 71, 77, 194, 119, 200, 144, 97, 200, 200, 200, 102, 200, 167]}",gradient-boosting,kr-vs-kp
0,{'subsample': 1.0},0.9696562010954617,"[0.95745745 0.95183392 0.96464838 0.94870403 0.955268   0.91866931
 0.95183343 0.96183832 0.94901946 0.94964153 0.9696562  0.96371039
 0.9480805  0.9618349  0.95995647 0.96152191 0.94275577 0.96527533
 0.9574555  0.96527924]","{'subsample': [0.8418594038199086, 0.4933312455074215, 0.9769298580025957, 0.32736055371831835, 0.4185283985745852, 0.022776782937720844, 0.31833128995839693, 0.8517754781936185, 0.34136192005126414, 0.8654020867966336, 1.0, 1.0, 0.6570099968274798, 1.0, 0.9999901459267064, 1.0, 0.5777917242221696, 1.0, 1.0, 1.0]}",gradient-boosting,kr-vs-kp
0,{'C': 0.5498992545021761},0.8578199052132701,"[0.85592417 0.8549763  0.8549763  0.8549763  0.85687204 0.8549763
 0.8436019  0.8549763  0.8549763  0.85118483 0.85687204 0.66255924
 0.85687204 0.8464455  0.85781991 0.85402844 0.85308057 0.85687204
 0.85687204 0.85687204]","{'C': [0.6498481313326767, 0.8401123840443674, 0.6699047975881992, 0.43314128761587906, 0.4570053225942715, 0.7024648244364902, 0.09655917172226473, 0.4288294841259518, 0.3365189277347677, 0.2235132514079532, 1.0, 0.0011932510033580846, 0.9266128519436259, 0.15054740334282896, 0.5498992545021761, 0.7759927872926125, 0.2797964134993814, 0.5076529471080796, 0.5950859590867059, 0.9670518056732859]}",logistic-regression,qsar-biodeq
0,{'l1_ratio': 0.37201541259410514},0.8549763033175356,"[0.85402844 0.85402844 0.8549763  0.8549763  0.8549763  0.85402844
 0.85308057 0.8549763  0.85308057 0.8549763  0.8549763  0.85402844
 0.85402844 0.8549763  0.8549763  0.8549763  0.85402844 0.8549763
 0.85402844 0.85402844]","{'l1_ratio': [0.5760021915661315, 0.008144030926847755, 0.37201541259410514, 0.3311693275881838, 0.3062118259335201, 0.843457705185772, 0.4709003048595827, 0.7393536279852795, 0.9403059349147422, 0.060545056334736086, 0.1773562410166957, 0.6596820988679561, 0.9999985399668271, 0.238094048161381, 0.11864750213306878, 0.7905547903581462, 0.5247138517918803, 0.42002788274283953, 0.8898112561433786, 0.6182959490456118]}",logistic-regression,qsar-biodeq
0,{'C': 0.47101406414366487},0.8616113744075828,"[0.84454976 0.84454976 0.81421801 0.84739336 0.85118483 0.85023697
 0.82274882 0.85118483 0.84454976 0.84834123 0.86066351 0.85592417
 0.85781991 0.8436019  0.86161137 0.85402844 0.85118483 0.85971564
 0.86161137 0.86161137]","{'C': [0.9489277717479613, 0.9421598600060473, 0.034256604641582415, 0.6920758382029227, 0.7966313499713881, 0.7564991058001046, 0.053915470814612336, 0.2855636842777369, 0.17554165932715965, 0.8446807777435975, 0.4598440260169526, 0.5431536809848411, 0.4143022101941942, 0.9999316699940229, 0.47101406414366487, 0.36519244168033793, 0.6049864633431414, 0.47561503822256207, 0.47215042780980493, 0.47273921722002565]}",svc,qsar-biodeq
0,{'degree': 2},0.8644549763033176,"[0.78862559 0.78293839 0.82938389 0.86445498 0.8492891  0.85023697
 0.86445498 0.85023697 0.7971564  0.85592417 0.81611374 0.79526066
 0.78862559 0.85592417 0.86445498 0.86445498 0.82938389 0.86445498
 0.86445498 0.86445498]","{'degree': [9, 10, 5, 2, 4, 3, 2, 3, 7, 1, 6, 8, 9, 1, 2, 2, 5, 2, 2, 2]}",svc,qsar-biodeq
0,{'coef0': 0.9773165521801809},0.8625592417061612,"[0.86066351 0.86255924 0.86066351 0.85971564 0.86161137 0.84834123
 0.85023697 0.85971564 0.84834123 0.86066351 0.84549763 0.86161137
 0.85781991 0.86161137 0.86255924 0.86255924 0.86161137 0.85118483
 0.85687204 0.86255924]","{'coef0': [0.8734608836557874, 0.9773165521801809, 0.622901011786944, 0.6016413234965223, 0.7740034327022928, 0.14208458554903086, 0.10991756799961057, 0.6705496312245393, 0.2840370788663353, 0.7123005878961336, 0.00014712793242810203, 0.999832270597895, 0.47506426939148094, 1.0, 0.9373252003820963, 0.8287704077607675, 0.9999723744641617, 0.3910874555286258, 0.531257263789982, 0.8081540704460031]}",svc,qsar-biodeq
0,{'gamma': 0.07488408902957312},0.8606635071090046,"[0.80663507 0.83696682 0.80189573 0.81611374 0.80189573 0.8
 0.8        0.80094787 0.80189573 0.80473934 0.84834123 0.79620853
 0.85402844 0.85023697 0.84549763 0.80189573 0.82274882 0.80094787
 0.86066351 0.8028436 ]","{'gamma': [0.7082458329733784, 0.18159101631868796, 0.5095623362497859, 0.2859803886599159, 0.8758100095125482, 0.9720993240196089, 0.9742370695178436, 0.9363887269422333, 0.8817025515508884, 0.6815943253514563, 0.044055537963931406, 0.01, 0.05676318514016803, 0.09656967786789801, 0.13488478982721142, 0.38632513056166534, 0.22736253252824087, 0.5950806343483467, 0.07488408902957312, 0.7866931522100428]}",svc,qsar-biodeq
0,{'loss': 'deviance'},0.8578199052132703,"[0.85592417 0.8521327  0.8492891  0.84075829 0.8521327  0.83886256
 0.85781991 0.85402844 0.8549763  0.85592417 0.84834123 0.85402844
 0.85118483 0.83507109 0.8521327  0.8521327  0.85781991 0.85118483
 0.84454976 0.85023697]","{'loss': ['exponential', 'deviance', 'deviance', 'exponential', 'exponential', 'deviance', 'deviance', 'exponential', 'exponential', 'exponential', 'exponential', 'deviance', 'deviance', 'deviance', 'exponential', 'exponential', 'exponential', 'exponential', 'deviance', 'exponential']}",gradient-boosting,qsar-biodeq
0,{'learning_rate': 0.17488610536730495},0.8578199052132701,"[0.84834123 0.83791469 0.85402844 0.83317536 0.8436019  0.84739336
 0.85781991 0.84454976 0.83886256 0.84834123 0.8549763  0.84265403
 0.66255924 0.84739336 0.8492891  0.85023697 0.84075829 0.83886256
 0.8492891  0.8492891 ]","{'learning_rate': [0.10888518914435544, 0.5910991430921899, 0.21330419951035345, 0.7786995969984395, 0.631256766173914, 0.06696038210791264, 0.17488610536730495, 0.9430867229362778, 0.9650978537208721, 0.8914399247993301, 0.3213474773403735, 0.2726789179506897, 0.0011263260487129109, 0.39295311774826697, 0.48479398399666146, 0.35187763664732086, 0.7031356875432542, 0.8391440649827533, 0.4424672128476783, 0.5335348624609435]}",gradient-boosting,qsar-biodeq
0,{'n_estimators': 51},0.8587677725118483,"[0.8492891  0.85308057 0.85308057 0.8436019  0.84265403 0.85592417
 0.8492891  0.85023697 0.84454976 0.8464455  0.84454976 0.84454976
 0.85876777 0.8521327  0.83412322 0.8464455  0.8464455  0.84549763
 0.85118483 0.85118483]","{'n_estimators': [192, 190, 106, 169, 143, 43, 104, 42, 128, 149, 69, 27, 51, 89, 10, 57, 48, 200, 116, 81]}",gradient-boosting,qsar-biodeq
0,{'subsample': 0.6300818272978155},0.8578199052132701,"[0.84454976 0.84454976 0.85118483 0.85023697 0.84834123 0.85308057
 0.83886256 0.8521327  0.85023697 0.82748815 0.85118483 0.8436019
 0.83886256 0.8492891  0.84265403 0.85118483 0.84549763 0.8492891
 0.85781991 0.83886256]","{'subsample': [0.2892976539289066, 0.46163503302670733, 0.24074359508663315, 0.6629839833938311, 0.4886224583849002, 0.35358674350396785, 0.5282919274208465, 0.8677723187500881, 0.648188643597074, 0.2210076053057898, 0.35358690245272395, 0.25457768915098583, 0.3662561007032087, 0.3517307077606029, 0.8819353062530839, 0.8564211843460166, 0.839442182255459, 0.6782651938224946, 0.6300818272978155, 0.6199503089482955]}",gradient-boosting,qsar-biodeq
0,{'C': 0.6129825607904131},0.8893872737391673,"[0.88887181 0.88938727 0.88938727 0.88938727 0.88835767 0.88938727
 0.88835767 0.88938727 0.88887181 0.88835767 0.88938727 0.88732939
 0.88938727 0.88938727 0.88835767 0.88938727 0.88835767 0.88938727
 0.88938727 0.88938727]","{'C': [0.3847894230394496, 0.6129825607904131, 0.5982886320407397, 0.6114400268884584, 0.15094083522029308, 0.8920109102542266, 0.23443418724469686, 0.5679411097252092, 0.4083056346115182, 0.16094616915412271, 0.7739032786518139, 0.014580112437008214, 0.9999626038294905, 0.518216096246441, 0.26480012674837616, 0.7055778455496617, 0.05624088761321074, 0.9479181821161023, 0.8320516663571345, 0.665389685601125]}",logistic-regression,steel-plates-fault
0,{'l1_ratio': 0.47050288108377675},0.8899014125566481,"[0.88835635 0.88887181 0.88938727 0.88835635 0.88990141 0.88990141
 0.88835635 0.88990141 0.88990141 0.88835635 0.88990141 0.88990141
 0.88990141 0.88990141 0.88990141 0.88990141 0.88835635 0.88990141
 0.88835635 0.88990141]","{'l1_ratio': [0.07794787586586498, 0.2151849376061913, 0.316143383581353, 0.13494839892778482, 0.47050288108377675, 0.7095174475482855, 0.08027016729224862, 0.42199572197332985, 0.3493020081178904, 0.06409260498994639, 0.5976339689193397, 0.8275694360861748, 0.9998541883529647, 0.9104945393188695, 0.5824891478729362, 0.8829013515483601, 0.03397737634114917, 0.48885512825384636, 0.20624297232895272, 0.4545424014085438]}",logistic-regression,steel-plates-fault
0,{'C': 0.7013944717299861},0.8811372008586649,"[0.8811372  0.88062174 0.87855988 0.88062174 0.87082792 0.8811372
 0.8811372  0.8811372  0.8811372  0.88062174 0.8811372  0.8811372
 0.8811372  0.8811372  0.8811372  0.65225665 0.87288978 0.8811372
 0.8811372  0.8811372 ]","{'C': [0.7013944717299861, 0.28406004741027724, 0.23330594196237103, 0.289724302386679, 0.07542843485424473, 0.9676346789060004, 0.6916130306784382, 0.6466247006976881, 0.577954482433664, 0.297860978433061, 0.8556480618524409, 0.45108159507744733, 0.3734540895677043, 1.0, 0.7803988046769663, 0.0010075377792155191, 0.11194480541528842, 0.5136993084165306, 0.9088638071616946, 0.4124017042858951]}",svc,steel-plates-fault
0,{'degree': 1},0.8904155513741288,"[0.82186283 0.78113985 0.88835767 0.82186283 0.84196857 0.80279199
 0.79093102 0.89041555 0.88835767 0.8522752  0.89041555 0.8811372
 0.85949434 0.89041555 0.85949434 0.8811372  0.82186283 0.82186283
 0.89041555 0.89041555]","{'degree': [7, 10, 2, 7, 6, 8, 9, 1, 2, 5, 1, 3, 4, 1, 4, 3, 7, 7, 1, 1]}",svc,steel-plates-fault
0,{'coef0': 0.9807040818883801},0.8893846235390772,"[0.8883537  0.8883537  0.8883537  0.8883537  0.8883537  0.87237431
 0.88938462 0.8883537  0.88371452 0.88783823 0.88732277 0.88938462
 0.88938462 0.88938462 0.88577638 0.87031246 0.88783823 0.8811372
 0.88886916 0.88938462]","{'coef0': [0.7103739362916079, 0.8463381714032479, 0.7712365747033244, 0.8133953274069439, 0.6789220900619369, 0.0810083135901232, 0.9807040818883801, 0.8294005176814911, 0.28703260918553214, 0.6631554305114135, 0.4616374586328789, 1.0, 1.0, 1.0, 0.37841870260260324, 0.00023879578782543762, 0.5607498325017949, 0.18400325257015268, 0.9294589278453882, 0.9798676798195759]}",svc,steel-plates-fault
0,{'gamma': 0.06725422723057502},0.883199056528768,"[0.87134339 0.87134339 0.88319906 0.87392071 0.87031246 0.87959081
 0.87134339 0.87134339 0.88165266 0.87443617 0.86001246 0.87134339
 0.87082792 0.88268359 0.87134339 0.88268359 0.87134339 0.87237431
 0.87031246 0.88268359]","{'gamma': [0.6384083458118426, 0.7148054019072931, 0.06725422723057502, 0.17429705575546925, 0.9798353454214894, 0.11609224633636404, 0.7525357941605907, 0.29802809370188726, 0.08474234469541438, 0.15603132091226815, 0.01, 0.468500212819382, 0.861550421230724, 0.07386497804539982, 0.5537848889729827, 0.05756163894592792, 0.38360360394213616, 0.23276407299800916, 0.9200715132608586, 0.0633352396847888]}",svc,steel-plates-fault
0,{'loss': 'exponential'},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'loss': ['exponential', 'exponential', 'deviance', 'deviance', 'exponential', 'deviance', 'exponential', 'deviance', 'deviance', 'deviance', 'deviance', 'deviance', 'deviance', 'exponential', 'deviance', 'exponential', 'exponential', 'exponential', 'deviance', 'deviance']}",gradient-boosting,steel-plates-fault
0,{'learning_rate': 0.905223809975995},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.65327167 0.89041555
 0.89041555 0.89041555]","{'learning_rate': [0.905223809975995, 0.6677932702519422, 0.03592715349724693, 0.9125880496696575, 0.9020603449865915, 0.4473082857739245, 0.9459835839035475, 0.5080095291770935, 0.6701464474704062, 0.7855837536014785, 0.8741515936423991, 0.8949213128701903, 0.8299054400839161, 0.44705431633326725, 0.5108479574486219, 0.2548683417248474, 0.0010736278852789495, 0.04726200458072797, 0.3390917068369165, 0.588597682030112]}",gradient-boosting,steel-plates-fault
0,{'n_estimators': 127},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'n_estimators': [127, 126, 149, 58, 12, 132, 163, 190, 195, 123, 175, 41, 190, 18, 192, 15, 10, 10, 156, 75]}",gradient-boosting,steel-plates-fault
0,{'subsample': 0.7647857046805575},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.7043397  0.88732277 0.78681128
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'subsample': [0.7647857046805575, 0.29005846642076893, 0.6158636697251982, 0.0355916232498551, 0.08451606919674805, 0.04879836390556547, 0.41377246266992246, 0.6269279793389477, 0.6701248654748959, 0.39088067481123284, 0.734702746716097, 0.647798526796281, 0.13747749389934052, 0.3379363124804232, 0.5135913331123056, 0.21707919878004928, 0.5629186645378222, 0.4639469295679403, 0.8424575219944246, 0.9078967821200403]}",gradient-boosting,steel-plates-fault
