Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
38;4;sqrt;0.6;0.4757575757575757;1405;0.5067345130367069;5.67583065032959
39;13;log2;0.47272727272727266;0.17676767676767677;902;0.7452807389704896;5.070448350906372
40;16;sqrt;0.15454545454545454;0.21313131313131314;821;0.5067345130367069;3.2950002670288088
41;9;log2;0.6636363636363636;0.19696969696969696;546;0.7428850818542287;3.5794254779815673
42;16;sqrt;0.8272727272727273;0.10808080808080808;1676;0.7761092165444896;17.017068338394164
43;5;sqrt;0.1181818181818182;0.49595959595959593;1092;0.5067345130367069;4.623742866516113
44;1;log2;0.8727272727272727;0.14444444444444446;320;0.7398946501615604;1.8624846458435058
45;3;sqrt;0.7272727272727272;0.2696969696969697;798;0.7443816403068303;5.398067998886108
46;12;sqrt;0.7818181818181817;0.29393939393939394;1255;0.7428837392479615;9.095914506912232
47;18;log2;0.4363636363636364;0.4434343434343434;1438;0.5067345130367069;6.602579879760742
48;2;log2;0.2090909090909091;0.39494949494949494;1149;0.5067345130367069;5.7061910152435305
49;3;log2;0.28181818181818186;0.37070707070707076;959;0.5067345130367069;5.009513902664184
50;8;sqrt;0.7363636363636363;0.23737373737373738;605;0.7446810415044351;4.898493528366089
51;15;log2;0.14545454545454545;0.19696969696969696;157;0.5067345130367069;0.7818920612335205
52;3;sqrt;0.1272727272727273;0.38282828282828285;1939;0.5067345130367069;13.994117212295532
53;8;log2;0.9363636363636363;0.4878787878787879;485;0.7401922612174754;3.95737566947937
54;13;log2;0.34545454545454546;0.28585858585858587;1376;0.7419877733322593;12.08839521408081
55;17;sqrt;0.23636363636363636;0.4434343434343434;231;0.5067345130367069;1.518805980682373
56;13;sqrt;0.17272727272727273;0.2777777777777778;307;0.5067345130367069;2.193188190460205
57;13;log2;0.2090909090909091;0.25757575757575757;940;0.5067345130367069;9.034383296966553
58;15;log2;0.3909090909090909;0.3181818181818182;952;0.7398937550907155;10.714033222198486
59;17;sqrt;0.8090909090909091;0.3666666666666667;1311;0.7413880758662048;22.0783757686615
60;12;log2;0.5727272727272728;0.43939393939393945;143;0.738996446568746;3.4227801322937013
