Iteracja;estimator__loss;estimator__n_estimators;estimator__max_depth;estimator__subsample;estimator__max_features;estimator__learning_rate;estimator__min_samples_split;Srednia dokladnosc;Czas
55;exponential;1151;15;0.7000000000000001;0.7000000000000001;0.21431099571326834;2;0.9538043478260871;47.780151748657225
56;log_loss;1451;3;0.8;0.45;0.021262343752724643;32;0.9519021739130435;30.277456188201903
57;exponential;4301;13;0.7000000000000001;0.3;0.46293735614364534;8;0.9529891304347826;43.48983211517334
58;log_loss;4051;9;0.1;0.1;0.0009765625;16;0.9429347826086957;34.06294450759888
59;log_loss;4101;3;0.4;0.2;0.21431099571326834;2;0.8790760869565217;41.12146224975586
60;log_loss;4751;15;0.4;1.0;0.21431099571326834;32;0.9475543478260869;202.839453125
61;log_loss;3601;15;0.2;0.15000000000000002;0.021262343752724643;32;0.9538043478260869;51.21279311180115
62;log_loss;3301;1;0.6;0.5;0.004556754060844206;64;0.9364130434782609;25.578730154037476
63;log_loss;2451;5;1.0;1.0;0.045929202883612456;4;0.9538043478260869;207.26355981826782
64;log_loss;1101;1;0.30000000000000004;0.3;1.0;8;0.7029891304347826;5.190286922454834
65;exponential;1601;1;0.4;0.5;0.21431099571326834;2;0.9429347826086956;10.347419452667236
66;log_loss;4701;11;0.5;0.05;0.002109491677524035;128;0.9527173913043478;39.92451391220093
67;exponential;801;3;0.7000000000000001;0.8500000000000001;0.045929202883612456;64;0.9483695652173912;27.0347403049469
68;log_loss;1;11;0.6;0.05;0.46293735614364534;8;0.8581521739130433;0.07255234718322753
69;log_loss;2501;3;0.1;0.3;1.0;2;0.42744565217391306;14.970464134216309
70;log_loss;4801;3;0.5;0.8;0.004556754060844206;64;0.9483695652173912;125.67449250221253
71;exponential;1601;9;0.4;0.8500000000000001;0.004556754060844206;64;0.9470108695652174;106.10911040306091
72;exponential;4251;5;0.30000000000000004;0.7000000000000001;0.21431099571326834;16;0.9505434782608695;78.89853377342224
73;exponential;2451;13;0.30000000000000004;0.8;0.0009765625;128;0.9394021739130434;132.48362202644347
74;log_loss;1051;11;0.6;0.55;0.46293735614364534;64;0.6380434782608695;69.06379504203797
75;log_loss;551;9;0.7000000000000001;0.9500000000000001;0.021262343752724643;8;0.9497282608695652;66.6291708946228
76;exponential;2151;7;0.6;0.25;1.0;8;0.9486413043478261;18.733814907073974
77;exponential;1101;15;0.1;0.5;0.045929202883612456;16;0.9364130434782609;24.498535108566283
78;exponential;101;15;0.9;0.3;0.46293735614364534;128;0.9529891304347826;6.792639541625976
79;log_loss;901;5;0.1;0.3;0.21431099571326834;64;0.5967391304347825;6.396200513839721
80;log_loss;1601;9;0.1;1.0;0.09921256574801249;32;0.6008152173913043;40.11535520553589
81;exponential;3151;3;0.9;0.4;0.0009765625;64;0.9355978260869564;74.14731326103211
82;log_loss;2551;9;0.6;0.7000000000000001;0.021262343752724643;4;0.9543478260869565;210.23814096450806
83;log_loss;2651;7;0.6;0.45;0.045929202883612456;32;0.9529891304347826;107.4296142578125
84;exponential;401;15;0.8;0.55;0.0098431332023037;4;0.9467391304347826;64.22351298332214
85;exponential;2801;13;0.6;0.7000000000000001;0.002109491677524035;32;0.9486413043478261;313.17332458496094
86;exponential;1;1;0.6;0.3;0.045929202883612456;16;0.5991847826086957;0.09541630744934082
87;log_loss;4201;5;0.6;0.45;0.0009765625;64;0.9415760869565217;124.63486652374267
88;log_loss;4201;1;0.1;0.25;1.0;64;0.7581521739130436;14.587251234054566
89;log_loss;3101;13;0.2;0.6000000000000001;1.0;8;0.575;124.63822526931763
90;log_loss;4951;13;0.4;1.0;0.004556754060844206;2;0.9516304347826086;648.0489985466004
91;log_loss;1651;5;1.0;0.6500000000000001;0.46293735614364534;128;0.9527173913043478;70.07601156234742
