,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18,0.0019555091857910156,0.0006369231746966306,0.00045037269592285156,0.0006369231746966306,0.4075120504952605,0.0053255049980383004,"OrderedDict([('alpha', 0.4075120504952605), ('l1_ratio', 0.0053255049980383004)])",0.37036305127351843,0.4079752860993676,0.4049665190598323,0.3944349521442394,0.01706566686697618,186
19,0.0031195481618245444,0.00048575647803755735,0.00017571449279785156,0.0002484978188202312,0.059996480762065,0.46435702987138705,"OrderedDict([('alpha', 0.059996480762065), ('l1_ratio', 0.46435702987138705)])",0.4754307238372736,0.4673010924629092,0.47461866916158013,0.47245016182058763,0.0036560037050233107,180
20,0.007909854253133139,0.002720997227535662,0.0018351078033447266,0.002595234343906811,0.00032126157377898595,0.6871426987480859,"OrderedDict([('alpha', 0.00032126157377898595), ('l1_ratio', 0.6871426987480859)])",0.5355934965015876,0.48490724654617634,0.4805049455926188,0.5003352295467942,0.02499605442082181,48
21,0.012544949849446615,0.003120327880554536,0.0,0.0,0.0,1.0,"OrderedDict([('alpha', 0.0), ('l1_ratio', 1.0)])",0.5361134217571826,0.4846259562526427,0.4801105066257014,0.5002832948785089,0.025402700846429056,50
22,0.008341630299886068,0.001481321235662889,0.0003992716471354167,0.0005646553784499509,0.00315274790766329,0.0026407385884490435,"OrderedDict([('alpha', 0.00315274790766329), ('l1_ratio', 0.0026407385884490435)])",0.5281415461284615,0.4848803517773702,0.48304727152669935,0.498689723144177,0.020839025147137948,177
23,0.015503644943237305,0.004252995111562935,0.0011677742004394531,0.0016514821120508717,0.00028830525226741793,0.31052692507622476,"OrderedDict([('alpha', 0.00028830525226741793), ('l1_ratio', 0.31052692507622476)])",0.5354326433861487,0.484930676076773,0.48065335805897214,0.5003388925072979,0.02487639276391013,47
24,0.013069788614908854,0.000707788492028889,0.0,0.0,0.0,0.2383213198060499,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.2383213198060499)])",0.5361134217571826,0.4846259562526427,0.4801105066257014,0.5002832948785089,0.025402700846429056,50
25,0.0036873817443847656,0.0018915505611689241,0.0007412433624267578,0.0010482764161629564,0.029053748052876867,0.0015967527606425285,"OrderedDict([('alpha', 0.029053748052876867), ('l1_ratio', 0.0015967527606425285)])",0.4971274806489985,0.47248224630314584,0.48113639952312426,0.4835820421584229,0.01020891015780468,179
26,0.0,0.0,0.001245578130086263,0.0017615134845633126,0.22221635372996112,0.00226785441612043,"OrderedDict([('alpha', 0.22221635372996112), ('l1_ratio', 0.00226785441612043)])",0.4064234879213441,0.43175243854437295,0.434679787386103,0.42428523795060674,0.012686578955499692,184
27,0.0010075569152832031,0.0007124503272281527,0.0,0.0,0.534130009263595,0.9972331958701461,"OrderedDict([('alpha', 0.534130009263595), ('l1_ratio', 0.9972331958701461)])",0.30889274712298953,0.38579511045805615,0.36601725828174947,0.35356837195426505,0.03260597542093188,193
